result/io_traces.ns44.oracleGeneral.zst S3FIFO-1 cache size      379, 3200000 req, miss ratio 0.6030, byte miss ratio 0.6030
result/io_traces.ns44.oracleGeneral.zst S3FIFO-1 cache size     1137, 3200000 req, miss ratio 0.5757, byte miss ratio 0.5757
result/io_traces.ns44.oracleGeneral.zst S3FIFO-1 cache size     3792, 3200000 req, miss ratio 0.5406, byte miss ratio 0.5406
result/io_traces.ns44.oracleGeneral.zst S3FIFO-1 cache size    11378, 3200000 req, miss ratio 0.4694, byte miss ratio 0.4694
result/io_traces.ns44.oracleGeneral.zst S3FIFO-1 cache size    37927, 3200000 req, miss ratio 0.3230, byte miss ratio 0.3230
result/io_traces.ns44.oracleGeneral.zst S3FIFO-1 cache size    75855, 3200000 req, miss ratio 0.1887, byte miss ratio 0.1887
result/io_traces.ns44.oracleGeneral.zst S3FIFO-1 cache size   151710, 3200000 req, miss ratio 0.1410, byte miss ratio 0.1410
result/io_traces.ns44.oracleGeneral.zst S3FIFO-1 cache size   303421, 3200000 req, miss ratio 0.1198, byte miss ratio 0.1198
result/io_traces.ns44.oracleGeneral.zst LIRS cache size      379, 3200000 req, miss ratio 0.6218, byte miss ratio 0.6218
result/io_traces.ns44.oracleGeneral.zst LIRS cache size     1137, 3200000 req, miss ratio 0.5916, byte miss ratio 0.5916
result/io_traces.ns44.oracleGeneral.zst LIRS cache size     3792, 3200000 req, miss ratio 0.5634, byte miss ratio 0.5634
result/io_traces.ns44.oracleGeneral.zst LIRS cache size    11378, 3200000 req, miss ratio 0.4764, byte miss ratio 0.4764
result/io_traces.ns44.oracleGeneral.zst LIRS cache size    37927, 3200000 req, miss ratio 0.2702, byte miss ratio 0.2702
result/io_traces.ns44.oracleGeneral.zst LIRS cache size    75855, 3200000 req, miss ratio 0.1930, byte miss ratio 0.1930
result/io_traces.ns44.oracleGeneral.zst LIRS cache size   151710, 3200000 req, miss ratio 0.1472, byte miss ratio 0.1472
result/io_traces.ns44.oracleGeneral.zst LIRS cache size   303421, 3200000 req, miss ratio 0.1230, byte miss ratio 0.1230
result/io_traces.ns44.oracleGeneral.zst LHD cache size      379, 3200000 req, miss ratio 0.6227, byte miss ratio 0.6227
result/io_traces.ns44.oracleGeneral.zst LHD cache size     1137, 3200000 req, miss ratio 0.5877, byte miss ratio 0.5877
result/io_traces.ns44.oracleGeneral.zst LHD cache size     3792, 3200000 req, miss ratio 0.5564, byte miss ratio 0.5564
result/io_traces.ns44.oracleGeneral.zst LHD cache size    11378, 3200000 req, miss ratio 0.5170, byte miss ratio 0.5170
result/io_traces.ns44.oracleGeneral.zst LHD cache size    37927, 3200000 req, miss ratio 0.3660, byte miss ratio 0.3660
result/io_traces.ns44.oracleGeneral.zst LHD cache size    75855, 3200000 req, miss ratio 0.1985, byte miss ratio 0.1985
