result/io_traces.ns509.oracleGeneral.zst Clock cache size     1723, 22400000 req, miss ratio 0.3080, byte miss ratio 0.3080
result/io_traces.ns509.oracleGeneral.zst Clock cache size     5169, 22400000 req, miss ratio 0.2190, byte miss ratio 0.2190
result/io_traces.ns509.oracleGeneral.zst Clock cache size    17232, 22400000 req, miss ratio 0.1622, byte miss ratio 0.1622
result/io_traces.ns509.oracleGeneral.zst Clock cache size    51698, 22400000 req, miss ratio 0.1150, byte miss ratio 0.1150
result/io_traces.ns509.oracleGeneral.zst Clock cache size   172329, 22400000 req, miss ratio 0.0843, byte miss ratio 0.0843
result/io_traces.ns509.oracleGeneral.zst Clock cache size   344659, 22400000 req, miss ratio 0.0801, byte miss ratio 0.0801
result/io_traces.ns509.oracleGeneral.zst Clock cache size   689318, 22400000 req, miss ratio 0.0789, byte miss ratio 0.0789
result/io_traces.ns509.oracleGeneral.zst Clock cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst LeCaR cache size     1723, 22400000 req, miss ratio 0.2862, byte miss ratio 0.2862
result/io_traces.ns509.oracleGeneral.zst LeCaR cache size     5169, 22400000 req, miss ratio 0.2186, byte miss ratio 0.2186
result/io_traces.ns509.oracleGeneral.zst LeCaR cache size    17232, 22400000 req, miss ratio 0.1597, byte miss ratio 0.1597
result/io_traces.ns509.oracleGeneral.zst LeCaR cache size    51698, 22400000 req, miss ratio 0.1110, byte miss ratio 0.1110
result/io_traces.ns509.oracleGeneral.zst LeCaR cache size   172329, 22400000 req, miss ratio 0.0822, byte miss ratio 0.0822
result/io_traces.ns509.oracleGeneral.zst LeCaR cache size   344659, 22400000 req, miss ratio 0.0797, byte miss ratio 0.0797
result/io_traces.ns509.oracleGeneral.zst LeCaR cache size   689318, 22400000 req, miss ratio 0.0782, byte miss ratio 0.0782
result/io_traces.ns509.oracleGeneral.zst LeCaR cache size  1378636, 22400000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns509.oracleGeneral.zst FIFO cache size     1723, 22400000 req, miss ratio 0.3771, byte miss ratio 0.3771
result/io_traces.ns509.oracleGeneral.zst FIFO cache size     5169, 22400000 req, miss ratio 0.2611, byte miss ratio 0.2611
result/io_traces.ns509.oracleGeneral.zst FIFO cache size    17232, 22400000 req, miss ratio 0.1761, byte miss ratio 0.1761
result/io_traces.ns509.oracleGeneral.zst FIFO cache size    51698, 22400000 req, miss ratio 0.1172, byte miss ratio 0.1172
result/io_traces.ns509.oracleGeneral.zst FIFO cache size   172329, 22400000 req, miss ratio 0.0929, byte miss ratio 0.0929
result/io_traces.ns509.oracleGeneral.zst FIFO cache size   344659, 22400000 req, miss ratio 0.0859, byte miss ratio 0.0859
result/io_traces.ns509.oracleGeneral.zst FIFO cache size   689318, 22400000 req, miss ratio 0.0812, byte miss ratio 0.0812
result/io_traces.ns509.oracleGeneral.zst FIFO cache size  1378636, 22400000 req, miss ratio 0.0785, byte miss ratio 0.0785
result/io_traces.ns509.oracleGeneral.zst Cacheus cache size     1723, 22400000 req, miss ratio 0.2823, byte miss ratio 0.2823
