result/io_traces.ns611.oracleGeneral.zst LIRS cache size      180, 2600000 req, miss ratio 0.7191, byte miss ratio 0.7191
result/io_traces.ns611.oracleGeneral.zst LIRS cache size      542, 2600000 req, miss ratio 0.6871, byte miss ratio 0.6871
result/io_traces.ns611.oracleGeneral.zst LIRS cache size     1809, 2600000 req, miss ratio 0.6130, byte miss ratio 0.6130
result/io_traces.ns611.oracleGeneral.zst LIRS cache size     5429, 2600000 req, miss ratio 0.5111, byte miss ratio 0.5111
result/io_traces.ns611.oracleGeneral.zst LIRS cache size    18097, 2600000 req, miss ratio 0.3830, byte miss ratio 0.3830
result/io_traces.ns611.oracleGeneral.zst LIRS cache size    36194, 2600000 req, miss ratio 0.2758, byte miss ratio 0.2758
result/io_traces.ns611.oracleGeneral.zst LIRS cache size    72388, 2600000 req, miss ratio 0.1141, byte miss ratio 0.1141
result/io_traces.ns611.oracleGeneral.zst LIRS cache size   144777, 2600000 req, miss ratio 0.0766, byte miss ratio 0.0766
result/io_traces.ns611.oracleGeneral.zst LHD cache size      180, 2600000 req, miss ratio 0.7431, byte miss ratio 0.7431
result/io_traces.ns611.oracleGeneral.zst LHD cache size      542, 2600000 req, miss ratio 0.7188, byte miss ratio 0.7188
result/io_traces.ns611.oracleGeneral.zst LHD cache size     1809, 2600000 req, miss ratio 0.6895, byte miss ratio 0.6895
result/io_traces.ns611.oracleGeneral.zst LHD cache size     5429, 2600000 req, miss ratio 0.5971, byte miss ratio 0.5971
result/io_traces.ns611.oracleGeneral.zst LHD cache size    18097, 2600000 req, miss ratio 0.3899, byte miss ratio 0.3899
result/io_traces.ns611.oracleGeneral.zst LHD cache size    36194, 2600000 req, miss ratio 0.2557, byte miss ratio 0.2557
result/io_traces.ns611.oracleGeneral.zst LHD cache size    72388, 2600000 req, miss ratio 0.1127, byte miss ratio 0.1127
result/io_traces.ns611.oracleGeneral.zst LHD cache size   144777, 2600000 req, miss ratio 0.0707, byte miss ratio 0.0707
result/io_traces.ns611.oracleGeneral.zst LeCaR cache size      180, 2600000 req, miss ratio 0.7611, byte miss ratio 0.7611
result/io_traces.ns611.oracleGeneral.zst LeCaR cache size      542, 2600000 req, miss ratio 0.7163, byte miss ratio 0.7163
result/io_traces.ns611.oracleGeneral.zst LeCaR cache size     1809, 2600000 req, miss ratio 0.6955, byte miss ratio 0.6955
result/io_traces.ns611.oracleGeneral.zst LeCaR cache size     5429, 2600000 req, miss ratio 0.6547, byte miss ratio 0.6547
result/io_traces.ns611.oracleGeneral.zst LeCaR cache size    18097, 2600000 req, miss ratio 0.4005, byte miss ratio 0.4005
result/io_traces.ns611.oracleGeneral.zst LeCaR cache size    36194, 2600000 req, miss ratio 0.2526, byte miss ratio 0.2526
result/io_traces.ns611.oracleGeneral.zst LeCaR cache size    72388, 2600000 req, miss ratio 0.1015, byte miss ratio 0.1015
result/io_traces.ns611.oracleGeneral.zst LeCaR cache size   144777, 2600000 req, miss ratio 0.0702, byte miss ratio 0.0702
result/io_traces.ns611.oracleGeneral.zst LRU cache size      180, 2600000 req, miss ratio 0.8122, byte miss ratio 0.8122
result/io_traces.ns611.oracleGeneral.zst LRU cache size      542, 2600000 req, miss ratio 0.7347, byte miss ratio 0.7347
result/io_traces.ns611.oracleGeneral.zst LRU cache size     1809, 2600000 req, miss ratio 0.7009, byte miss ratio 0.7009
result/io_traces.ns611.oracleGeneral.zst LRU cache size     5429, 2600000 req, miss ratio 0.6589, byte miss ratio 0.6589
