result/io_traces.ns66.oracleGeneral.zst LeCaR cache size     1463, 39200000 req, miss ratio 0.2523, byte miss ratio 0.2523
result/io_traces.ns66.oracleGeneral.zst LeCaR cache size     4391, 39200000 req, miss ratio 0.2102, byte miss ratio 0.2102
result/io_traces.ns66.oracleGeneral.zst LeCaR cache size    14636, 39200000 req, miss ratio 0.1847, byte miss ratio 0.1847
result/io_traces.ns66.oracleGeneral.zst LeCaR cache size    43910, 39200000 req, miss ratio 0.1374, byte miss ratio 0.1374
result/io_traces.ns66.oracleGeneral.zst LeCaR cache size   146368, 39200000 req, miss ratio 0.0748, byte miss ratio 0.0748
result/io_traces.ns66.oracleGeneral.zst LeCaR cache size   292737, 39200000 req, miss ratio 0.0566, byte miss ratio 0.0566
result/io_traces.ns66.oracleGeneral.zst LeCaR cache size   585474, 39200000 req, miss ratio 0.0501, byte miss ratio 0.0501
result/io_traces.ns66.oracleGeneral.zst LeCaR cache size  1170949, 39200000 req, miss ratio 0.0403, byte miss ratio 0.0403
result/io_traces.ns66.oracleGeneral.zst LRU cache size     1463, 39200000 req, miss ratio 0.2557, byte miss ratio 0.2557
result/io_traces.ns66.oracleGeneral.zst LRU cache size     4391, 39200000 req, miss ratio 0.2114, byte miss ratio 0.2114
result/io_traces.ns66.oracleGeneral.zst LRU cache size    14636, 39200000 req, miss ratio 0.1851, byte miss ratio 0.1851
result/io_traces.ns66.oracleGeneral.zst LRU cache size    43910, 39200000 req, miss ratio 0.1365, byte miss ratio 0.1365
result/io_traces.ns66.oracleGeneral.zst LRU cache size   146368, 39200000 req, miss ratio 0.0747, byte miss ratio 0.0747
result/io_traces.ns66.oracleGeneral.zst LRU cache size   292737, 39200000 req, miss ratio 0.0560, byte miss ratio 0.0560
result/io_traces.ns66.oracleGeneral.zst LRU cache size   585474, 39200000 req, miss ratio 0.0493, byte miss ratio 0.0493
result/io_traces.ns66.oracleGeneral.zst LRU cache size  1170949, 39200000 req, miss ratio 0.0406, byte miss ratio 0.0406
result/io_traces.ns66.oracleGeneral.zst ARC cache size     1463, 39200000 req, miss ratio 0.2217, byte miss ratio 0.2217
result/io_traces.ns66.oracleGeneral.zst ARC cache size     4391, 39200000 req, miss ratio 0.2016, byte miss ratio 0.2016
result/io_traces.ns66.oracleGeneral.zst ARC cache size    14636, 39200000 req, miss ratio 0.1828, byte miss ratio 0.1828
result/io_traces.ns66.oracleGeneral.zst ARC cache size    43910, 39200000 req, miss ratio 0.1385, byte miss ratio 0.1385
result/io_traces.ns66.oracleGeneral.zst ARC cache size   146368, 39200000 req, miss ratio 0.0801, byte miss ratio 0.0801
result/io_traces.ns66.oracleGeneral.zst ARC cache size   292737, 39200000 req, miss ratio 0.0573, byte miss ratio 0.0573
result/io_traces.ns66.oracleGeneral.zst ARC cache size   585474, 39200000 req, miss ratio 0.0495, byte miss ratio 0.0495
result/io_traces.ns66.oracleGeneral.zst ARC cache size  1170949, 39200000 req, miss ratio 0.0399, byte miss ratio 0.0399
result/io_traces.ns66.oracleGeneral.zst Clock cache size     1463, 39200000 req, miss ratio 0.2570, byte miss ratio 0.2570
result/io_traces.ns66.oracleGeneral.zst Clock cache size     4391, 39200000 req, miss ratio 0.2121, byte miss ratio 0.2121
result/io_traces.ns66.oracleGeneral.zst Clock cache size    14636, 39200000 req, miss ratio 0.1865, byte miss ratio 0.1865
result/io_traces.ns66.oracleGeneral.zst Clock cache size    43910, 39200000 req, miss ratio 0.1427, byte miss ratio 0.1427
result/io_traces.ns66.oracleGeneral.zst Clock cache size   146368, 39200000 req, miss ratio 0.0780, byte miss ratio 0.0780
result/io_traces.ns66.oracleGeneral.zst Clock cache size   292737, 39200000 req, miss ratio 0.0569, byte miss ratio 0.0569
result/io_traces.ns66.oracleGeneral.zst Clock cache size   585474, 39200000 req, miss ratio 0.0502, byte miss ratio 0.0502
result/io_traces.ns66.oracleGeneral.zst Clock cache size  1170949, 39200000 req, miss ratio 0.0400, byte miss ratio 0.0400
