result/io_traces.ns825.oracleGeneral.zst S3FIFO-1 cache size     1940, 2800000 req, miss ratio 0.7547, byte miss ratio 0.7547
result/io_traces.ns825.oracleGeneral.zst S3FIFO-1 cache size     5821, 2800000 req, miss ratio 0.7491, byte miss ratio 0.7491
result/io_traces.ns825.oracleGeneral.zst S3FIFO-1 cache size    19404, 2800000 req, miss ratio 0.7432, byte miss ratio 0.7432
result/io_traces.ns825.oracleGeneral.zst S3FIFO-1 cache size    58214, 2800000 req, miss ratio 0.7393, byte miss ratio 0.7393
result/io_traces.ns825.oracleGeneral.zst S3FIFO-1 cache size   194048, 2800000 req, miss ratio 0.7334, byte miss ratio 0.7334
result/io_traces.ns825.oracleGeneral.zst S3FIFO-1 cache size   388096, 2800000 req, miss ratio 0.7295, byte miss ratio 0.7295
result/io_traces.ns825.oracleGeneral.zst S3FIFO-1 cache size   776192, 2800000 req, miss ratio 0.7145, byte miss ratio 0.7145
result/io_traces.ns825.oracleGeneral.zst S3FIFO-1 cache size  1552385, 2800000 req, miss ratio 0.6943, byte miss ratio 0.6943
result/io_traces.ns825.oracleGeneral.zst LeCaR cache size     1940, 2800000 req, miss ratio 0.7563, byte miss ratio 0.7563
result/io_traces.ns825.oracleGeneral.zst LeCaR cache size     5821, 2800000 req, miss ratio 0.7501, byte miss ratio 0.7501
result/io_traces.ns825.oracleGeneral.zst LeCaR cache size    19404, 2800000 req, miss ratio 0.7441, byte miss ratio 0.7441
result/io_traces.ns825.oracleGeneral.zst LeCaR cache size    58214, 2800000 req, miss ratio 0.7415, byte miss ratio 0.7415
result/io_traces.ns825.oracleGeneral.zst LeCaR cache size   194048, 2800000 req, miss ratio 0.7338, byte miss ratio 0.7338
result/io_traces.ns825.oracleGeneral.zst LeCaR cache size   388096, 2800000 req, miss ratio 0.7312, byte miss ratio 0.7312
result/io_traces.ns825.oracleGeneral.zst LeCaR cache size   776192, 2800000 req, miss ratio 0.7160, byte miss ratio 0.7160
result/io_traces.ns825.oracleGeneral.zst LeCaR cache size  1552385, 2800000 req, miss ratio 0.6945, byte miss ratio 0.6945
result/io_traces.ns825.oracleGeneral.zst Cacheus cache size     1940, 2800000 req, miss ratio 0.7542, byte miss ratio 0.7542
result/io_traces.ns825.oracleGeneral.zst Cacheus cache size     5821, 2800000 req, miss ratio 0.7496, byte miss ratio 0.7496
result/io_traces.ns825.oracleGeneral.zst Cacheus cache size    19404, 2800000 req, miss ratio 0.7434, byte miss ratio 0.7434
result/io_traces.ns825.oracleGeneral.zst Cacheus cache size    58214, 2800000 req, miss ratio 0.7412, byte miss ratio 0.7412
result/io_traces.ns825.oracleGeneral.zst Cacheus cache size   194048, 2800000 req, miss ratio 0.7345, byte miss ratio 0.7345
result/io_traces.ns825.oracleGeneral.zst Cacheus cache size   388096, 2800000 req, miss ratio 0.7305, byte miss ratio 0.7305
result/io_traces.ns825.oracleGeneral.zst Cacheus cache size   776192, 2800000 req, miss ratio 0.7279, byte miss ratio 0.7279
result/io_traces.ns825.oracleGeneral.zst Cacheus cache size  1552385, 2800000 req, miss ratio 0.7132, byte miss ratio 0.7132
result/io_traces.ns825.oracleGeneral.zst FIFO cache size     1940, 2800000 req, miss ratio 0.7654, byte miss ratio 0.7654
result/io_traces.ns825.oracleGeneral.zst FIFO cache size     5821, 2800000 req, miss ratio 0.7537, byte miss ratio 0.7537
result/io_traces.ns825.oracleGeneral.zst FIFO cache size    19404, 2800000 req, miss ratio 0.7467, byte miss ratio 0.7467
result/io_traces.ns825.oracleGeneral.zst FIFO cache size    58214, 2800000 req, miss ratio 0.7429, byte miss ratio 0.7429
result/io_traces.ns825.oracleGeneral.zst FIFO cache size   194048, 2800000 req, miss ratio 0.7370, byte miss ratio 0.7370
result/io_traces.ns825.oracleGeneral.zst FIFO cache size   388096, 2800000 req, miss ratio 0.7325, byte miss ratio 0.7325
result/io_traces.ns825.oracleGeneral.zst FIFO cache size   776192, 2800000 req, miss ratio 0.7169, byte miss ratio 0.7169
result/io_traces.ns825.oracleGeneral.zst FIFO cache size  1552385, 2800000 req, miss ratio 0.6970, byte miss ratio 0.6970
result/io_traces.ns825.oracleGeneral.zst LIRS cache size     1940, 2800000 req, miss ratio 0.7736, byte miss ratio 0.7736
result/io_traces.ns825.oracleGeneral.zst LIRS cache size     5821, 2800000 req, miss ratio 0.7583, byte miss ratio 0.7583
result/io_traces.ns825.oracleGeneral.zst LIRS cache size    19404, 2800000 req, miss ratio 0.7452, byte miss ratio 0.7452
result/io_traces.ns825.oracleGeneral.zst LIRS cache size    58214, 2800000 req, miss ratio 0.7401, byte miss ratio 0.7401
result/io_traces.ns825.oracleGeneral.zst LIRS cache size   194048, 2800000 req, miss ratio 0.7267, byte miss ratio 0.7267
result/io_traces.ns825.oracleGeneral.zst LIRS cache size   388096, 2800000 req, miss ratio 0.7126, byte miss ratio 0.7126
result/io_traces.ns825.oracleGeneral.zst LIRS cache size   776192, 2800000 req, miss ratio 0.7003, byte miss ratio 0.7003
result/io_traces.ns825.oracleGeneral.zst LIRS cache size  1552385, 2800000 req, miss ratio 0.6950, byte miss ratio 0.6950
result/io_traces.ns825.oracleGeneral.zst LHD cache size     1940, 2800000 req, miss ratio 0.7558, byte miss ratio 0.7558
result/io_traces.ns825.oracleGeneral.zst LHD cache size     5821, 2800000 req, miss ratio 0.7506, byte miss ratio 0.7506
result/io_traces.ns825.oracleGeneral.zst LHD cache size    19404, 2800000 req, miss ratio 0.7453, byte miss ratio 0.7453
result/io_traces.ns825.oracleGeneral.zst LHD cache size    58214, 2800000 req, miss ratio 0.7418, byte miss ratio 0.7418
result/io_traces.ns825.oracleGeneral.zst LHD cache size   194048, 2800000 req, miss ratio 0.7365, byte miss ratio 0.7365
result/io_traces.ns825.oracleGeneral.zst LHD cache size   388096, 2800000 req, miss ratio 0.7332, byte miss ratio 0.7332
result/io_traces.ns825.oracleGeneral.zst LHD cache size   776192, 2800000 req, miss ratio 0.7171, byte miss ratio 0.7171
result/io_traces.ns825.oracleGeneral.zst LHD cache size  1552385, 2800000 req, miss ratio 0.6941, byte miss ratio 0.6941
result/io_traces.ns825.oracleGeneral.zst ARC cache size     1940, 2800000 req, miss ratio 0.7550, byte miss ratio 0.7550
result/io_traces.ns825.oracleGeneral.zst ARC cache size     5821, 2800000 req, miss ratio 0.7496, byte miss ratio 0.7496
result/io_traces.ns825.oracleGeneral.zst ARC cache size    19404, 2800000 req, miss ratio 0.7443, byte miss ratio 0.7443
result/io_traces.ns825.oracleGeneral.zst ARC cache size    58214, 2800000 req, miss ratio 0.7400, byte miss ratio 0.7400
result/io_traces.ns825.oracleGeneral.zst ARC cache size   194048, 2800000 req, miss ratio 0.7337, byte miss ratio 0.7337
result/io_traces.ns825.oracleGeneral.zst ARC cache size   388096, 2800000 req, miss ratio 0.7298, byte miss ratio 0.7298
result/io_traces.ns825.oracleGeneral.zst ARC cache size   776192, 2800000 req, miss ratio 0.7145, byte miss ratio 0.7145
result/io_traces.ns825.oracleGeneral.zst ARC cache size  1552385, 2800000 req, miss ratio 0.6943, byte miss ratio 0.6943
result/io_traces.ns825.oracleGeneral.zst Clock cache size     1940, 2800000 req, miss ratio 0.7565, byte miss ratio 0.7565
result/io_traces.ns825.oracleGeneral.zst Clock cache size     5821, 2800000 req, miss ratio 0.7501, byte miss ratio 0.7501
result/io_traces.ns825.oracleGeneral.zst Clock cache size    19404, 2800000 req, miss ratio 0.7452, byte miss ratio 0.7452
