result/io_traces.ns9.oracleGeneral.zst LRU cache size      720, 22600000 req, miss ratio 0.2091, byte miss ratio 0.2091
result/io_traces.ns9.oracleGeneral.zst LRU cache size     2160, 22600000 req, miss ratio 0.1495, byte miss ratio 0.1495
result/io_traces.ns9.oracleGeneral.zst LRU cache size     7202, 22600000 req, miss ratio 0.1356, byte miss ratio 0.1356
result/io_traces.ns9.oracleGeneral.zst LRU cache size    21606, 22600000 req, miss ratio 0.1308, byte miss ratio 0.1308
result/io_traces.ns9.oracleGeneral.zst LRU cache size    72020, 22600000 req, miss ratio 0.1184, byte miss ratio 0.1184
result/io_traces.ns9.oracleGeneral.zst LRU cache size   144041, 22600000 req, miss ratio 0.0877, byte miss ratio 0.0877
result/io_traces.ns9.oracleGeneral.zst LRU cache size   288082, 22600000 req, miss ratio 0.0662, byte miss ratio 0.0662
result/io_traces.ns9.oracleGeneral.zst LRU cache size   576164, 22600000 req, miss ratio 0.0367, byte miss ratio 0.0367
result/io_traces.ns9.oracleGeneral.zst clock2 cache size      720, 22600000 req, miss ratio 0.1970, byte miss ratio 0.1970
result/io_traces.ns9.oracleGeneral.zst clock2 cache size     2160, 22600000 req, miss ratio 0.1467, byte miss ratio 0.1467
result/io_traces.ns9.oracleGeneral.zst clock2 cache size     7202, 22600000 req, miss ratio 0.1353, byte miss ratio 0.1353
result/io_traces.ns9.oracleGeneral.zst clock2 cache size    21606, 22600000 req, miss ratio 0.1305, byte miss ratio 0.1305
result/io_traces.ns9.oracleGeneral.zst clock2 cache size    72020, 22600000 req, miss ratio 0.1131, byte miss ratio 0.1131
result/io_traces.ns9.oracleGeneral.zst clock2 cache size   144041, 22600000 req, miss ratio 0.0837, byte miss ratio 0.0837
result/io_traces.ns9.oracleGeneral.zst clock2 cache size   288082, 22600000 req, miss ratio 0.0652, byte miss ratio 0.0652
result/io_traces.ns9.oracleGeneral.zst clock2 cache size   576164, 22600000 req, miss ratio 0.0367, byte miss ratio 0.0367
result/io_traces.ns9.oracleGeneral.zst LeCaR cache size      720, 22600000 req, miss ratio 0.1909, byte miss ratio 0.1909
result/io_traces.ns9.oracleGeneral.zst LeCaR cache size     2160, 22600000 req, miss ratio 0.1471, byte miss ratio 0.1471
result/io_traces.ns9.oracleGeneral.zst LeCaR cache size     7202, 22600000 req, miss ratio 0.1351, byte miss ratio 0.1351
result/io_traces.ns9.oracleGeneral.zst LeCaR cache size    21606, 22600000 req, miss ratio 0.1301, byte miss ratio 0.1301
result/io_traces.ns9.oracleGeneral.zst LeCaR cache size    72020, 22600000 req, miss ratio 0.1029, byte miss ratio 0.1029
result/io_traces.ns9.oracleGeneral.zst LeCaR cache size   144041, 22600000 req, miss ratio 0.0822, byte miss ratio 0.0822
result/io_traces.ns9.oracleGeneral.zst LeCaR cache size   288082, 22600000 req, miss ratio 0.0615, byte miss ratio 0.0615
result/io_traces.ns9.oracleGeneral.zst LeCaR cache size   576164, 22600000 req, miss ratio 0.0359, byte miss ratio 0.0359
result/io_traces.ns9.oracleGeneral.zst LIRS cache size      720, 22600000 req, miss ratio 0.1755, byte miss ratio 0.1755
result/io_traces.ns9.oracleGeneral.zst LIRS cache size     2160, 22600000 req, miss ratio 0.1462, byte miss ratio 0.1462
result/io_traces.ns9.oracleGeneral.zst LIRS cache size     7202, 22600000 req, miss ratio 0.1357, byte miss ratio 0.1357
result/io_traces.ns9.oracleGeneral.zst LIRS cache size    21606, 22600000 req, miss ratio 0.1277, byte miss ratio 0.1277
result/io_traces.ns9.oracleGeneral.zst LIRS cache size    72020, 22600000 req, miss ratio 0.0910, byte miss ratio 0.0910
result/io_traces.ns9.oracleGeneral.zst LIRS cache size   144041, 22600000 req, miss ratio 0.0790, byte miss ratio 0.0790
result/io_traces.ns9.oracleGeneral.zst LIRS cache size   288082, 22600000 req, miss ratio 0.0597, byte miss ratio 0.0597
result/io_traces.ns9.oracleGeneral.zst LIRS cache size   576164, 22600000 req, miss ratio 0.0355, byte miss ratio 0.0355
result/io_traces.ns9.oracleGeneral.zst FIFO cache size      720, 22600000 req, miss ratio 0.2670, byte miss ratio 0.2670
result/io_traces.ns9.oracleGeneral.zst FIFO cache size     2160, 22600000 req, miss ratio 0.1799, byte miss ratio 0.1799
