result/tencentBlock.ns11509.oracleGeneral.zst Cacheus cache size     1477, 7191319 req, miss ratio 0.6644, byte miss ratio 0.6644
result/tencentBlock.ns11509.oracleGeneral.zst Cacheus cache size     4432, 7191319 req, miss ratio 0.5391, byte miss ratio 0.5391
result/tencentBlock.ns11509.oracleGeneral.zst Cacheus cache size    14775, 7191319 req, miss ratio 0.4788, byte miss ratio 0.4788
result/tencentBlock.ns11509.oracleGeneral.zst Cacheus cache size    44325, 7191319 req, miss ratio 0.4206, byte miss ratio 0.4206
result/tencentBlock.ns11509.oracleGeneral.zst Cacheus cache size   147751, 7191319 req, miss ratio 0.3437, byte miss ratio 0.3437
result/tencentBlock.ns11509.oracleGeneral.zst Cacheus cache size   295503, 7191319 req, miss ratio 0.2889, byte miss ratio 0.2889
result/tencentBlock.ns11509.oracleGeneral.zst Cacheus cache size   591006, 7191319 req, miss ratio 0.2530, byte miss ratio 0.2530
result/tencentBlock.ns11509.oracleGeneral.zst Cacheus cache size  1182012, 7191319 req, miss ratio 0.2182, byte miss ratio 0.2182
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-1 cache size     1477, 7191319 req, miss ratio 0.6163, byte miss ratio 0.6163
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-1 cache size     4432, 7191319 req, miss ratio 0.5242, byte miss ratio 0.5242
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-1 cache size    14775, 7191319 req, miss ratio 0.4737, byte miss ratio 0.4737
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-1 cache size    44325, 7191319 req, miss ratio 0.4234, byte miss ratio 0.4234
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-1 cache size   147751, 7191319 req, miss ratio 0.3514, byte miss ratio 0.3514
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-1 cache size   295503, 7191319 req, miss ratio 0.2886, byte miss ratio 0.2886
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-1 cache size   591006, 7191319 req, miss ratio 0.2506, byte miss ratio 0.2506
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-1 cache size  1182012, 7191319 req, miss ratio 0.2097, byte miss ratio 0.2097
result/tencentBlock.ns11509.oracleGeneral.zst LRU cache size     1477, 7191319 req, miss ratio 0.6977, byte miss ratio 0.6977
result/tencentBlock.ns11509.oracleGeneral.zst LRU cache size     4432, 7191319 req, miss ratio 0.5584, byte miss ratio 0.5584
result/tencentBlock.ns11509.oracleGeneral.zst LRU cache size    14775, 7191319 req, miss ratio 0.4901, byte miss ratio 0.4901
result/tencentBlock.ns11509.oracleGeneral.zst LRU cache size    44325, 7191319 req, miss ratio 0.4320, byte miss ratio 0.4320
result/tencentBlock.ns11509.oracleGeneral.zst LRU cache size   147751, 7191319 req, miss ratio 0.3511, byte miss ratio 0.3511
result/tencentBlock.ns11509.oracleGeneral.zst LRU cache size   295503, 7191319 req, miss ratio 0.3003, byte miss ratio 0.3003
result/tencentBlock.ns11509.oracleGeneral.zst LRU cache size   591006, 7191319 req, miss ratio 0.2693, byte miss ratio 0.2693
result/tencentBlock.ns11509.oracleGeneral.zst LRU cache size  1182012, 7191319 req, miss ratio 0.2093, byte miss ratio 0.2093
result/tencentBlock.ns11509.oracleGeneral.zst FIFO cache size     1477, 7191319 req, miss ratio 0.7044, byte miss ratio 0.7044
result/tencentBlock.ns11509.oracleGeneral.zst FIFO cache size     4432, 7191319 req, miss ratio 0.5903, byte miss ratio 0.5903
result/tencentBlock.ns11509.oracleGeneral.zst FIFO cache size    14775, 7191319 req, miss ratio 0.5075, byte miss ratio 0.5075
result/tencentBlock.ns11509.oracleGeneral.zst FIFO cache size    44325, 7191319 req, miss ratio 0.4434, byte miss ratio 0.4434
result/tencentBlock.ns11509.oracleGeneral.zst FIFO cache size   147751, 7191319 req, miss ratio 0.3605, byte miss ratio 0.3605
result/tencentBlock.ns11509.oracleGeneral.zst FIFO cache size   295503, 7191319 req, miss ratio 0.3077, byte miss ratio 0.3077
result/tencentBlock.ns11509.oracleGeneral.zst FIFO cache size   591006, 7191319 req, miss ratio 0.2755, byte miss ratio 0.2755
result/tencentBlock.ns11509.oracleGeneral.zst FIFO cache size  1182012, 7191319 req, miss ratio 0.2201, byte miss ratio 0.2201
result/tencentBlock.ns11509.oracleGeneral.zst ARC cache size     1477, 7191319 req, miss ratio 0.6158, byte miss ratio 0.6158
result/tencentBlock.ns11509.oracleGeneral.zst ARC cache size     4432, 7191319 req, miss ratio 0.5259, byte miss ratio 0.5259
result/tencentBlock.ns11509.oracleGeneral.zst ARC cache size    14775, 7191319 req, miss ratio 0.4773, byte miss ratio 0.4773
result/tencentBlock.ns11509.oracleGeneral.zst ARC cache size    44325, 7191319 req, miss ratio 0.4241, byte miss ratio 0.4241
result/tencentBlock.ns11509.oracleGeneral.zst ARC cache size   147751, 7191319 req, miss ratio 0.3519, byte miss ratio 0.3519
result/tencentBlock.ns11509.oracleGeneral.zst ARC cache size   295503, 7191319 req, miss ratio 0.2909, byte miss ratio 0.2909
result/tencentBlock.ns11509.oracleGeneral.zst ARC cache size   591006, 7191319 req, miss ratio 0.2472, byte miss ratio 0.2472
result/tencentBlock.ns11509.oracleGeneral.zst ARC cache size  1182012, 7191319 req, miss ratio 0.2097, byte miss ratio 0.2097
result/tencentBlock.ns11509.oracleGeneral.zst LHD cache size     1477, 7191319 req, miss ratio 0.6384, byte miss ratio 0.6384
result/tencentBlock.ns11509.oracleGeneral.zst LHD cache size     4432, 7191319 req, miss ratio 0.5426, byte miss ratio 0.5426
result/tencentBlock.ns11509.oracleGeneral.zst LHD cache size    14775, 7191319 req, miss ratio 0.4809, byte miss ratio 0.4809
result/tencentBlock.ns11509.oracleGeneral.zst LHD cache size    44325, 7191319 req, miss ratio 0.4270, byte miss ratio 0.4270
result/tencentBlock.ns11509.oracleGeneral.zst LHD cache size   147751, 7191319 req, miss ratio 0.3651, byte miss ratio 0.3651
result/tencentBlock.ns11509.oracleGeneral.zst LHD cache size   295503, 7191319 req, miss ratio 0.3056, byte miss ratio 0.3056
result/tencentBlock.ns11509.oracleGeneral.zst LHD cache size   591006, 7191319 req, miss ratio 0.2596, byte miss ratio 0.2596
result/tencentBlock.ns11509.oracleGeneral.zst LHD cache size  1182012, 7191319 req, miss ratio 0.2134, byte miss ratio 0.2134
result/tencentBlock.ns11509.oracleGeneral.zst LIRS cache size     1477, 7191319 req, miss ratio 0.6059, byte miss ratio 0.6059
result/tencentBlock.ns11509.oracleGeneral.zst LIRS cache size     4432, 7191319 req, miss ratio 0.5249, byte miss ratio 0.5249
result/tencentBlock.ns11509.oracleGeneral.zst LIRS cache size    14775, 7191319 req, miss ratio 0.4784, byte miss ratio 0.4784
result/tencentBlock.ns11509.oracleGeneral.zst LIRS cache size    44325, 7191319 req, miss ratio 0.4327, byte miss ratio 0.4327
result/tencentBlock.ns11509.oracleGeneral.zst LIRS cache size   147751, 7191319 req, miss ratio 0.3607, byte miss ratio 0.3607
result/tencentBlock.ns11509.oracleGeneral.zst LIRS cache size   295503, 7191319 req, miss ratio 0.2985, byte miss ratio 0.2985
result/tencentBlock.ns11509.oracleGeneral.zst LIRS cache size   591006, 7191319 req, miss ratio 0.2579, byte miss ratio 0.2579
result/tencentBlock.ns11509.oracleGeneral.zst LIRS cache size  1182012, 7191319 req, miss ratio 0.2185, byte miss ratio 0.2185
result/tencentBlock.ns11509.oracleGeneral.zst clock2 cache size     1477, 7191319 req, miss ratio 0.6933, byte miss ratio 0.6933
result/tencentBlock.ns11509.oracleGeneral.zst clock2 cache size     4432, 7191319 req, miss ratio 0.5482, byte miss ratio 0.5482
result/tencentBlock.ns11509.oracleGeneral.zst clock2 cache size    14775, 7191319 req, miss ratio 0.4875, byte miss ratio 0.4875
result/tencentBlock.ns11509.oracleGeneral.zst clock2 cache size    44325, 7191319 req, miss ratio 0.4265, byte miss ratio 0.4265
result/tencentBlock.ns11509.oracleGeneral.zst clock2 cache size   147751, 7191319 req, miss ratio 0.3500, byte miss ratio 0.3500
result/tencentBlock.ns11509.oracleGeneral.zst clock2 cache size   295503, 7191319 req, miss ratio 0.2988, byte miss ratio 0.2988
result/tencentBlock.ns11509.oracleGeneral.zst clock2 cache size   591006, 7191319 req, miss ratio 0.2508, byte miss ratio 0.2508
result/tencentBlock.ns11509.oracleGeneral.zst clock2 cache size  1182012, 7191319 req, miss ratio 0.2097, byte miss ratio 0.2097
result/tencentBlock.ns11509.oracleGeneral.zst LeCaR cache size     1477, 7191319 req, miss ratio 0.6778, byte miss ratio 0.6778
result/tencentBlock.ns11509.oracleGeneral.zst LeCaR cache size     4432, 7191319 req, miss ratio 0.5468, byte miss ratio 0.5468
result/tencentBlock.ns11509.oracleGeneral.zst LeCaR cache size    14775, 7191319 req, miss ratio 0.4867, byte miss ratio 0.4867
result/tencentBlock.ns11509.oracleGeneral.zst LeCaR cache size    44325, 7191319 req, miss ratio 0.4287, byte miss ratio 0.4287
result/tencentBlock.ns11509.oracleGeneral.zst LeCaR cache size   147751, 7191319 req, miss ratio 0.3490, byte miss ratio 0.3490
result/tencentBlock.ns11509.oracleGeneral.zst LeCaR cache size   295503, 7191319 req, miss ratio 0.2955, byte miss ratio 0.2955
result/tencentBlock.ns11509.oracleGeneral.zst LeCaR cache size   591006, 7191319 req, miss ratio 0.2626, byte miss ratio 0.2626
result/tencentBlock.ns11509.oracleGeneral.zst LeCaR cache size  1182012, 7191319 req, miss ratio 0.2093, byte miss ratio 0.2093
result/tencentBlock.ns11509.oracleGeneral.zst Clock cache size     1477, 7191319 req, miss ratio 0.6948, byte miss ratio 0.6948
result/tencentBlock.ns11509.oracleGeneral.zst Clock cache size     4432, 7191319 req, miss ratio 0.5542, byte miss ratio 0.5542
result/tencentBlock.ns11509.oracleGeneral.zst Clock cache size    14775, 7191319 req, miss ratio 0.4890, byte miss ratio 0.4890
result/tencentBlock.ns11509.oracleGeneral.zst Clock cache size    44325, 7191319 req, miss ratio 0.4296, byte miss ratio 0.4296
result/tencentBlock.ns11509.oracleGeneral.zst Clock cache size   147751, 7191319 req, miss ratio 0.3497, byte miss ratio 0.3497
result/tencentBlock.ns11509.oracleGeneral.zst Clock cache size   295503, 7191319 req, miss ratio 0.3004, byte miss ratio 0.3004
result/tencentBlock.ns11509.oracleGeneral.zst Clock cache size   591006, 7191319 req, miss ratio 0.2557, byte miss ratio 0.2557
result/tencentBlock.ns11509.oracleGeneral.zst Clock cache size  1182012, 7191319 req, miss ratio 0.2097, byte miss ratio 0.2097
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d-1 cache size     1477, 7191319 req, miss ratio 0.6132, byte miss ratio 0.6132
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d-1 cache size     4432, 7191319 req, miss ratio 0.5239, byte miss ratio 0.5239
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d-1 cache size    14775, 7191319 req, miss ratio 0.4731, byte miss ratio 0.4731
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d-1 cache size    44325, 7191319 req, miss ratio 0.4209, byte miss ratio 0.4209
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d-1 cache size   147751, 7191319 req, miss ratio 0.3463, byte miss ratio 0.3463
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d-1 cache size   295503, 7191319 req, miss ratio 0.2866, byte miss ratio 0.2866
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d-1 cache size   591006, 7191319 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d-1 cache size  1182012, 7191319 req, miss ratio 0.2097, byte miss ratio 0.2097
