result/tencentBlock.ns12103.oracleGeneral.zst LRU cache size       55, 1283191 req, miss ratio 0.3229, byte miss ratio 0.3229
result/tencentBlock.ns12103.oracleGeneral.zst LRU cache size      166, 1283191 req, miss ratio 0.2076, byte miss ratio 0.2076
result/tencentBlock.ns12103.oracleGeneral.zst LRU cache size      553, 1283191 req, miss ratio 0.1812, byte miss ratio 0.1812
result/tencentBlock.ns12103.oracleGeneral.zst LRU cache size     1660, 1283191 req, miss ratio 0.1700, byte miss ratio 0.1700
result/tencentBlock.ns12103.oracleGeneral.zst LRU cache size     5533, 1283191 req, miss ratio 0.1564, byte miss ratio 0.1564
result/tencentBlock.ns12103.oracleGeneral.zst LRU cache size    11066, 1283191 req, miss ratio 0.1520, byte miss ratio 0.1520
result/tencentBlock.ns12103.oracleGeneral.zst LRU cache size    22133, 1283191 req, miss ratio 0.0771, byte miss ratio 0.0771
result/tencentBlock.ns12103.oracleGeneral.zst LRU cache size    44267, 1283191 req, miss ratio 0.0493, byte miss ratio 0.0493
result/tencentBlock.ns12103.oracleGeneral.zst ARC cache size       55, 1283191 req, miss ratio 0.2721, byte miss ratio 0.2721
result/tencentBlock.ns12103.oracleGeneral.zst ARC cache size      166, 1283191 req, miss ratio 0.1874, byte miss ratio 0.1874
result/tencentBlock.ns12103.oracleGeneral.zst ARC cache size      553, 1283191 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns12103.oracleGeneral.zst ARC cache size     1660, 1283191 req, miss ratio 0.1577, byte miss ratio 0.1577
result/tencentBlock.ns12103.oracleGeneral.zst ARC cache size     5533, 1283191 req, miss ratio 0.1452, byte miss ratio 0.1452
result/tencentBlock.ns12103.oracleGeneral.zst ARC cache size    11066, 1283191 req, miss ratio 0.1375, byte miss ratio 0.1375
result/tencentBlock.ns12103.oracleGeneral.zst ARC cache size    22133, 1283191 req, miss ratio 0.0724, byte miss ratio 0.0724
result/tencentBlock.ns12103.oracleGeneral.zst ARC cache size    44267, 1283191 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tencentBlock.ns12103.oracleGeneral.zst clock2 cache size       55, 1283191 req, miss ratio 0.2953, byte miss ratio 0.2953
result/tencentBlock.ns12103.oracleGeneral.zst clock2 cache size      166, 1283191 req, miss ratio 0.2428, byte miss ratio 0.2428
result/tencentBlock.ns12103.oracleGeneral.zst clock2 cache size      553, 1283191 req, miss ratio 0.1793, byte miss ratio 0.1793
result/tencentBlock.ns12103.oracleGeneral.zst clock2 cache size     1660, 1283191 req, miss ratio 0.1712, byte miss ratio 0.1712
result/tencentBlock.ns12103.oracleGeneral.zst clock2 cache size     5533, 1283191 req, miss ratio 0.1546, byte miss ratio 0.1546
result/tencentBlock.ns12103.oracleGeneral.zst clock2 cache size    11066, 1283191 req, miss ratio 0.1479, byte miss ratio 0.1479
result/tencentBlock.ns12103.oracleGeneral.zst clock2 cache size    22133, 1283191 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns12103.oracleGeneral.zst clock2 cache size    44267, 1283191 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tencentBlock.ns12103.oracleGeneral.zst LeCaR cache size       55, 1283191 req, miss ratio 0.2896, byte miss ratio 0.2896
result/tencentBlock.ns12103.oracleGeneral.zst LeCaR cache size      166, 1283191 req, miss ratio 0.1978, byte miss ratio 0.1978
result/tencentBlock.ns12103.oracleGeneral.zst LeCaR cache size      553, 1283191 req, miss ratio 0.1794, byte miss ratio 0.1794
result/tencentBlock.ns12103.oracleGeneral.zst LeCaR cache size     1660, 1283191 req, miss ratio 0.1667, byte miss ratio 0.1667
result/tencentBlock.ns12103.oracleGeneral.zst LeCaR cache size     5533, 1283191 req, miss ratio 0.1526, byte miss ratio 0.1526
result/tencentBlock.ns12103.oracleGeneral.zst LeCaR cache size    11066, 1283191 req, miss ratio 0.1455, byte miss ratio 0.1455
result/tencentBlock.ns12103.oracleGeneral.zst LeCaR cache size    22133, 1283191 req, miss ratio 0.0741, byte miss ratio 0.0741
result/tencentBlock.ns12103.oracleGeneral.zst LeCaR cache size    44267, 1283191 req, miss ratio 0.0451, byte miss ratio 0.0451
result/tencentBlock.ns12103.oracleGeneral.zst LIRS cache size       55, 1283191 req, miss ratio 0.2877, byte miss ratio 0.2877
result/tencentBlock.ns12103.oracleGeneral.zst LIRS cache size      166, 1283191 req, miss ratio 0.2065, byte miss ratio 0.2065
