result/tencentBlock.ns12341.oracleGeneral.zst Cacheus cache size       56, 3950682 req, miss ratio 0.7069, byte miss ratio 0.7069
result/tencentBlock.ns12341.oracleGeneral.zst Cacheus cache size      169, 3950682 req, miss ratio 0.6800, byte miss ratio 0.6800
result/tencentBlock.ns12341.oracleGeneral.zst Cacheus cache size      563, 3950682 req, miss ratio 0.6674, byte miss ratio 0.6674
result/tencentBlock.ns12341.oracleGeneral.zst Cacheus cache size     1691, 3950682 req, miss ratio 0.6463, byte miss ratio 0.6463
result/tencentBlock.ns12341.oracleGeneral.zst Cacheus cache size     5638, 3950682 req, miss ratio 0.5773, byte miss ratio 0.5773
result/tencentBlock.ns12341.oracleGeneral.zst Cacheus cache size    11276, 3950682 req, miss ratio 0.2010, byte miss ratio 0.2010
result/tencentBlock.ns12341.oracleGeneral.zst Cacheus cache size    22552, 3950682 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns12341.oracleGeneral.zst Cacheus cache size    45104, 3950682 req, miss ratio 0.0146, byte miss ratio 0.0146
result/tencentBlock.ns12341.oracleGeneral.zst FIFO cache size       56, 3950682 req, miss ratio 0.7557, byte miss ratio 0.7557
result/tencentBlock.ns12341.oracleGeneral.zst FIFO cache size      169, 3950682 req, miss ratio 0.7129, byte miss ratio 0.7129
result/tencentBlock.ns12341.oracleGeneral.zst FIFO cache size      563, 3950682 req, miss ratio 0.6910, byte miss ratio 0.6910
result/tencentBlock.ns12341.oracleGeneral.zst FIFO cache size     1691, 3950682 req, miss ratio 0.6816, byte miss ratio 0.6816
result/tencentBlock.ns12341.oracleGeneral.zst FIFO cache size     5638, 3950682 req, miss ratio 0.6770, byte miss ratio 0.6770
result/tencentBlock.ns12341.oracleGeneral.zst FIFO cache size    11276, 3950682 req, miss ratio 0.3770, byte miss ratio 0.3770
result/tencentBlock.ns12341.oracleGeneral.zst FIFO cache size    22552, 3950682 req, miss ratio 0.1047, byte miss ratio 0.1047
result/tencentBlock.ns12341.oracleGeneral.zst FIFO cache size    45104, 3950682 req, miss ratio 0.0223, byte miss ratio 0.0223
result/tencentBlock.ns12341.oracleGeneral.zst clock2 cache size       56, 3950682 req, miss ratio 0.7260, byte miss ratio 0.7260
result/tencentBlock.ns12341.oracleGeneral.zst clock2 cache size      169, 3950682 req, miss ratio 0.6958, byte miss ratio 0.6958
result/tencentBlock.ns12341.oracleGeneral.zst clock2 cache size      563, 3950682 req, miss ratio 0.6822, byte miss ratio 0.6822
result/tencentBlock.ns12341.oracleGeneral.zst clock2 cache size     1691, 3950682 req, miss ratio 0.6767, byte miss ratio 0.6767
result/tencentBlock.ns12341.oracleGeneral.zst clock2 cache size     5638, 3950682 req, miss ratio 0.6665, byte miss ratio 0.6665
result/tencentBlock.ns12341.oracleGeneral.zst clock2 cache size    11276, 3950682 req, miss ratio 0.2780, byte miss ratio 0.2780
result/tencentBlock.ns12341.oracleGeneral.zst clock2 cache size    22552, 3950682 req, miss ratio 0.0506, byte miss ratio 0.0506
result/tencentBlock.ns12341.oracleGeneral.zst clock2 cache size    45104, 3950682 req, miss ratio 0.0146, byte miss ratio 0.0146
result/tencentBlock.ns12341.oracleGeneral.zst LHD cache size       56, 3950682 req, miss ratio 0.7210, byte miss ratio 0.7210
result/tencentBlock.ns12341.oracleGeneral.zst LHD cache size      169, 3950682 req, miss ratio 0.6928, byte miss ratio 0.6928
result/tencentBlock.ns12341.oracleGeneral.zst LHD cache size      563, 3950682 req, miss ratio 0.6817, byte miss ratio 0.6817
result/tencentBlock.ns12341.oracleGeneral.zst LHD cache size     1691, 3950682 req, miss ratio 0.6593, byte miss ratio 0.6593
result/tencentBlock.ns12341.oracleGeneral.zst LHD cache size     5638, 3950682 req, miss ratio 0.4988, byte miss ratio 0.4988
result/tencentBlock.ns12341.oracleGeneral.zst LHD cache size    11276, 3950682 req, miss ratio 0.2298, byte miss ratio 0.2298
result/tencentBlock.ns12341.oracleGeneral.zst LHD cache size    22552, 3950682 req, miss ratio 0.0493, byte miss ratio 0.0493
