result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-1 cache size       89, 2983217 req, miss ratio 0.3083, byte miss ratio 0.3083
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-1 cache size      267, 2983217 req, miss ratio 0.1931, byte miss ratio 0.1931
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-1 cache size      892, 2983217 req, miss ratio 0.1531, byte miss ratio 0.1531
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-1 cache size     2676, 2983217 req, miss ratio 0.1373, byte miss ratio 0.1373
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-1 cache size     8921, 2983217 req, miss ratio 0.1093, byte miss ratio 0.1093
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-1 cache size    17842, 2983217 req, miss ratio 0.0819, byte miss ratio 0.0819
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-1 cache size    35684, 2983217 req, miss ratio 0.0374, byte miss ratio 0.0374
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-1 cache size    71368, 2983217 req, miss ratio 0.0304, byte miss ratio 0.0304
result/tencentBlock.ns12690.oracleGeneral.zst Clock cache size       89, 2983217 req, miss ratio 0.4165, byte miss ratio 0.4165
result/tencentBlock.ns12690.oracleGeneral.zst Clock cache size      267, 2983217 req, miss ratio 0.2293, byte miss ratio 0.2293
result/tencentBlock.ns12690.oracleGeneral.zst Clock cache size      892, 2983217 req, miss ratio 0.1598, byte miss ratio 0.1598
result/tencentBlock.ns12690.oracleGeneral.zst Clock cache size     2676, 2983217 req, miss ratio 0.1484, byte miss ratio 0.1484
result/tencentBlock.ns12690.oracleGeneral.zst Clock cache size     8921, 2983217 req, miss ratio 0.1323, byte miss ratio 0.1323
result/tencentBlock.ns12690.oracleGeneral.zst Clock cache size    17842, 2983217 req, miss ratio 0.0880, byte miss ratio 0.0880
result/tencentBlock.ns12690.oracleGeneral.zst Clock cache size    35684, 2983217 req, miss ratio 0.0416, byte miss ratio 0.0416
result/tencentBlock.ns12690.oracleGeneral.zst Clock cache size    71368, 2983217 req, miss ratio 0.0304, byte miss ratio 0.0304
result/tencentBlock.ns12690.oracleGeneral.zst LHD cache size       89, 2983217 req, miss ratio 0.3622, byte miss ratio 0.3622
result/tencentBlock.ns12690.oracleGeneral.zst LHD cache size      267, 2983217 req, miss ratio 0.2020, byte miss ratio 0.2020
result/tencentBlock.ns12690.oracleGeneral.zst LHD cache size      892, 2983217 req, miss ratio 0.1581, byte miss ratio 0.1581
result/tencentBlock.ns12690.oracleGeneral.zst LHD cache size     2676, 2983217 req, miss ratio 0.1441, byte miss ratio 0.1441
result/tencentBlock.ns12690.oracleGeneral.zst LHD cache size     8921, 2983217 req, miss ratio 0.1140, byte miss ratio 0.1140
result/tencentBlock.ns12690.oracleGeneral.zst LHD cache size    17842, 2983217 req, miss ratio 0.0771, byte miss ratio 0.0771
result/tencentBlock.ns12690.oracleGeneral.zst LHD cache size    35684, 2983217 req, miss ratio 0.0381, byte miss ratio 0.0381
result/tencentBlock.ns12690.oracleGeneral.zst LHD cache size    71368, 2983217 req, miss ratio 0.0312, byte miss ratio 0.0312
result/tencentBlock.ns12690.oracleGeneral.zst Cacheus cache size       89, 2983217 req, miss ratio 0.3638, byte miss ratio 0.3638
result/tencentBlock.ns12690.oracleGeneral.zst Cacheus cache size      267, 2983217 req, miss ratio 0.2118, byte miss ratio 0.2118
result/tencentBlock.ns12690.oracleGeneral.zst Cacheus cache size      892, 2983217 req, miss ratio 0.1556, byte miss ratio 0.1556
result/tencentBlock.ns12690.oracleGeneral.zst Cacheus cache size     2676, 2983217 req, miss ratio 0.1415, byte miss ratio 0.1415
result/tencentBlock.ns12690.oracleGeneral.zst Cacheus cache size     8921, 2983217 req, miss ratio 0.1129, byte miss ratio 0.1129
result/tencentBlock.ns12690.oracleGeneral.zst Cacheus cache size    17842, 2983217 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns12690.oracleGeneral.zst Cacheus cache size    35684, 2983217 req, miss ratio 0.0379, byte miss ratio 0.0379
result/tencentBlock.ns12690.oracleGeneral.zst Cacheus cache size    71368, 2983217 req, miss ratio 0.0310, byte miss ratio 0.0310
result/tencentBlock.ns12690.oracleGeneral.zst LIRS cache size       89, 2983217 req, miss ratio 0.3007, byte miss ratio 0.3007
result/tencentBlock.ns12690.oracleGeneral.zst LIRS cache size      267, 2983217 req, miss ratio 0.2013, byte miss ratio 0.2013
result/tencentBlock.ns12690.oracleGeneral.zst LIRS cache size      892, 2983217 req, miss ratio 0.1635, byte miss ratio 0.1635
result/tencentBlock.ns12690.oracleGeneral.zst LIRS cache size     2676, 2983217 req, miss ratio 0.1415, byte miss ratio 0.1415
result/tencentBlock.ns12690.oracleGeneral.zst LIRS cache size     8921, 2983217 req, miss ratio 0.1087, byte miss ratio 0.1087
result/tencentBlock.ns12690.oracleGeneral.zst LIRS cache size    17842, 2983217 req, miss ratio 0.0781, byte miss ratio 0.0781
result/tencentBlock.ns12690.oracleGeneral.zst LIRS cache size    35684, 2983217 req, miss ratio 0.0363, byte miss ratio 0.0363
result/tencentBlock.ns12690.oracleGeneral.zst LIRS cache size    71368, 2983217 req, miss ratio 0.0309, byte miss ratio 0.0309
result/tencentBlock.ns12690.oracleGeneral.zst LRU cache size       89, 2983217 req, miss ratio 0.4333, byte miss ratio 0.4333
result/tencentBlock.ns12690.oracleGeneral.zst LRU cache size      267, 2983217 req, miss ratio 0.2314, byte miss ratio 0.2314
result/tencentBlock.ns12690.oracleGeneral.zst LRU cache size      892, 2983217 req, miss ratio 0.1608, byte miss ratio 0.1608
result/tencentBlock.ns12690.oracleGeneral.zst LRU cache size     2676, 2983217 req, miss ratio 0.1494, byte miss ratio 0.1494
result/tencentBlock.ns12690.oracleGeneral.zst LRU cache size     8921, 2983217 req, miss ratio 0.1225, byte miss ratio 0.1225
result/tencentBlock.ns12690.oracleGeneral.zst LRU cache size    17842, 2983217 req, miss ratio 0.0825, byte miss ratio 0.0825
result/tencentBlock.ns12690.oracleGeneral.zst LRU cache size    35684, 2983217 req, miss ratio 0.0410, byte miss ratio 0.0410
result/tencentBlock.ns12690.oracleGeneral.zst LRU cache size    71368, 2983217 req, miss ratio 0.0308, byte miss ratio 0.0308
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size       89, 2983217 req, miss ratio 0.4132, byte miss ratio 0.4132
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size      267, 2983217 req, miss ratio 0.2338, byte miss ratio 0.2338
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size      892, 2983217 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size     2676, 2983217 req, miss ratio 0.1481, byte miss ratio 0.1481
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size     8921, 2983217 req, miss ratio 0.1333, byte miss ratio 0.1333
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size    17842, 2983217 req, miss ratio 0.0879, byte miss ratio 0.0879
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size    35684, 2983217 req, miss ratio 0.0402, byte miss ratio 0.0402
result/tencentBlock.ns12690.oracleGeneral.zst clock2 cache size    71368, 2983217 req, miss ratio 0.0304, byte miss ratio 0.0304
