result/tencentBlock.ns12963.oracleGeneral.zst LHD cache size       69, 15000762 req, miss ratio 0.7736, byte miss ratio 0.7736
result/tencentBlock.ns12963.oracleGeneral.zst LHD cache size      207, 15000762 req, miss ratio 0.5456, byte miss ratio 0.5456
result/tencentBlock.ns12963.oracleGeneral.zst LHD cache size      690, 15000762 req, miss ratio 0.2914, byte miss ratio 0.2914
result/tencentBlock.ns12963.oracleGeneral.zst LHD cache size     2072, 15000762 req, miss ratio 0.1137, byte miss ratio 0.1137
result/tencentBlock.ns12963.oracleGeneral.zst LHD cache size     6908, 15000762 req, miss ratio 0.0871, byte miss ratio 0.0871
result/tencentBlock.ns12963.oracleGeneral.zst LHD cache size    13817, 15000762 req, miss ratio 0.0552, byte miss ratio 0.0552
result/tencentBlock.ns12963.oracleGeneral.zst LHD cache size    27635, 15000762 req, miss ratio 0.0243, byte miss ratio 0.0243
result/tencentBlock.ns12963.oracleGeneral.zst LHD cache size    55271, 15000762 req, miss ratio 0.0089, byte miss ratio 0.0089
result/tencentBlock.ns12963.oracleGeneral.zst LIRS cache size       69, 15000762 req, miss ratio 0.6554, byte miss ratio 0.6554
result/tencentBlock.ns12963.oracleGeneral.zst LIRS cache size      207, 15000762 req, miss ratio 0.4725, byte miss ratio 0.4725
result/tencentBlock.ns12963.oracleGeneral.zst LIRS cache size      690, 15000762 req, miss ratio 0.2125, byte miss ratio 0.2125
result/tencentBlock.ns12963.oracleGeneral.zst LIRS cache size     2072, 15000762 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns12963.oracleGeneral.zst LIRS cache size     6908, 15000762 req, miss ratio 0.0841, byte miss ratio 0.0841
result/tencentBlock.ns12963.oracleGeneral.zst LIRS cache size    13817, 15000762 req, miss ratio 0.0497, byte miss ratio 0.0497
result/tencentBlock.ns12963.oracleGeneral.zst LIRS cache size    27635, 15000762 req, miss ratio 0.0213, byte miss ratio 0.0213
result/tencentBlock.ns12963.oracleGeneral.zst LIRS cache size    55271, 15000762 req, miss ratio 0.0078, byte miss ratio 0.0078
result/tencentBlock.ns12963.oracleGeneral.zst Cacheus cache size       69, 15000762 req, miss ratio 0.7440, byte miss ratio 0.7440
