result/tencentBlock.ns14030.oracleGeneral.zst Clock cache size       62, 2545649 req, miss ratio 0.5280, byte miss ratio 0.5280
result/tencentBlock.ns14030.oracleGeneral.zst Clock cache size      188, 2545649 req, miss ratio 0.3935, byte miss ratio 0.3935
result/tencentBlock.ns14030.oracleGeneral.zst Clock cache size      627, 2545649 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns14030.oracleGeneral.zst Clock cache size     1883, 2545649 req, miss ratio 0.0846, byte miss ratio 0.0846
result/tencentBlock.ns14030.oracleGeneral.zst Clock cache size     6277, 2545649 req, miss ratio 0.0752, byte miss ratio 0.0752
result/tencentBlock.ns14030.oracleGeneral.zst Clock cache size    12554, 2545649 req, miss ratio 0.0596, byte miss ratio 0.0596
result/tencentBlock.ns14030.oracleGeneral.zst Clock cache size    25109, 2545649 req, miss ratio 0.0363, byte miss ratio 0.0363
result/tencentBlock.ns14030.oracleGeneral.zst Clock cache size    50219, 2545649 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-1 cache size       62, 2545649 req, miss ratio 0.4511, byte miss ratio 0.4511
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-1 cache size      188, 2545649 req, miss ratio 0.2847, byte miss ratio 0.2847
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-1 cache size      627, 2545649 req, miss ratio 0.1034, byte miss ratio 0.1034
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-1 cache size     1883, 2545649 req, miss ratio 0.0787, byte miss ratio 0.0787
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-1 cache size     6277, 2545649 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-1 cache size    12554, 2545649 req, miss ratio 0.0577, byte miss ratio 0.0577
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-1 cache size    25109, 2545649 req, miss ratio 0.0356, byte miss ratio 0.0356
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-1 cache size    50219, 2545649 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns14030.oracleGeneral.zst Cacheus cache size       62, 2545649 req, miss ratio 0.4396, byte miss ratio 0.4396
result/tencentBlock.ns14030.oracleGeneral.zst Cacheus cache size      188, 2545649 req, miss ratio 0.3807, byte miss ratio 0.3807
result/tencentBlock.ns14030.oracleGeneral.zst Cacheus cache size      627, 2545649 req, miss ratio 0.1133, byte miss ratio 0.1133
result/tencentBlock.ns14030.oracleGeneral.zst Cacheus cache size     1883, 2545649 req, miss ratio 0.0797, byte miss ratio 0.0797
result/tencentBlock.ns14030.oracleGeneral.zst Cacheus cache size     6277, 2545649 req, miss ratio 0.0729, byte miss ratio 0.0729
result/tencentBlock.ns14030.oracleGeneral.zst Cacheus cache size    12554, 2545649 req, miss ratio 0.0609, byte miss ratio 0.0609
result/tencentBlock.ns14030.oracleGeneral.zst Cacheus cache size    25109, 2545649 req, miss ratio 0.0347, byte miss ratio 0.0347
result/tencentBlock.ns14030.oracleGeneral.zst Cacheus cache size    50219, 2545649 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns14030.oracleGeneral.zst LIRS cache size       62, 2545649 req, miss ratio 0.4460, byte miss ratio 0.4460
result/tencentBlock.ns14030.oracleGeneral.zst LIRS cache size      188, 2545649 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns14030.oracleGeneral.zst LIRS cache size      627, 2545649 req, miss ratio 0.1075, byte miss ratio 0.1075
result/tencentBlock.ns14030.oracleGeneral.zst LIRS cache size     1883, 2545649 req, miss ratio 0.0809, byte miss ratio 0.0809
result/tencentBlock.ns14030.oracleGeneral.zst LIRS cache size     6277, 2545649 req, miss ratio 0.0699, byte miss ratio 0.0699
result/tencentBlock.ns14030.oracleGeneral.zst LIRS cache size    12554, 2545649 req, miss ratio 0.0570, byte miss ratio 0.0570
result/tencentBlock.ns14030.oracleGeneral.zst LIRS cache size    25109, 2545649 req, miss ratio 0.0368, byte miss ratio 0.0368
result/tencentBlock.ns14030.oracleGeneral.zst LIRS cache size    50219, 2545649 req, miss ratio 0.0253, byte miss ratio 0.0253
result/tencentBlock.ns14030.oracleGeneral.zst LeCaR cache size       62, 2545649 req, miss ratio 0.5225, byte miss ratio 0.5225
