result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-1 cache size     1508, 10364967 req, miss ratio 0.3960, byte miss ratio 0.3960
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-1 cache size     4524, 10364967 req, miss ratio 0.3690, byte miss ratio 0.3690
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-1 cache size    15080, 10364967 req, miss ratio 0.3235, byte miss ratio 0.3235
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-1 cache size    45241, 10364967 req, miss ratio 0.2692, byte miss ratio 0.2692
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-1 cache size   150805, 10364967 req, miss ratio 0.1869, byte miss ratio 0.1869
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-1 cache size   301610, 10364967 req, miss ratio 0.1595, byte miss ratio 0.1595
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-1 cache size   603220, 10364967 req, miss ratio 0.1505, byte miss ratio 0.1505
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-1 cache size  1206440, 10364967 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns14067.oracleGeneral.zst LHD cache size     1508, 10364967 req, miss ratio 0.4893, byte miss ratio 0.4893
result/tencentBlock.ns14067.oracleGeneral.zst LHD cache size     4524, 10364967 req, miss ratio 0.3745, byte miss ratio 0.3745
result/tencentBlock.ns14067.oracleGeneral.zst LHD cache size    15080, 10364967 req, miss ratio 0.3189, byte miss ratio 0.3189
result/tencentBlock.ns14067.oracleGeneral.zst LHD cache size    45241, 10364967 req, miss ratio 0.2475, byte miss ratio 0.2475
result/tencentBlock.ns14067.oracleGeneral.zst LHD cache size   150805, 10364967 req, miss ratio 0.1753, byte miss ratio 0.1753
result/tencentBlock.ns14067.oracleGeneral.zst LHD cache size   301610, 10364967 req, miss ratio 0.1563, byte miss ratio 0.1563
result/tencentBlock.ns14067.oracleGeneral.zst LHD cache size   603220, 10364967 req, miss ratio 0.1493, byte miss ratio 0.1493
result/tencentBlock.ns14067.oracleGeneral.zst LHD cache size  1206440, 10364967 req, miss ratio 0.1459, byte miss ratio 0.1459
result/tencentBlock.ns14067.oracleGeneral.zst LeCaR cache size     1508, 10364967 req, miss ratio 0.4985, byte miss ratio 0.4985
result/tencentBlock.ns14067.oracleGeneral.zst LeCaR cache size     4524, 10364967 req, miss ratio 0.3728, byte miss ratio 0.3728
result/tencentBlock.ns14067.oracleGeneral.zst LeCaR cache size    15080, 10364967 req, miss ratio 0.3334, byte miss ratio 0.3334
result/tencentBlock.ns14067.oracleGeneral.zst LeCaR cache size    45241, 10364967 req, miss ratio 0.2494, byte miss ratio 0.2494
result/tencentBlock.ns14067.oracleGeneral.zst LeCaR cache size   150805, 10364967 req, miss ratio 0.1858, byte miss ratio 0.1858
result/tencentBlock.ns14067.oracleGeneral.zst LeCaR cache size   301610, 10364967 req, miss ratio 0.1619, byte miss ratio 0.1619
result/tencentBlock.ns14067.oracleGeneral.zst LeCaR cache size   603220, 10364967 req, miss ratio 0.1486, byte miss ratio 0.1486
result/tencentBlock.ns14067.oracleGeneral.zst LeCaR cache size  1206440, 10364967 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns14067.oracleGeneral.zst Clock cache size     1508, 10364967 req, miss ratio 0.5187, byte miss ratio 0.5187
result/tencentBlock.ns14067.oracleGeneral.zst Clock cache size     4524, 10364967 req, miss ratio 0.3728, byte miss ratio 0.3728
result/tencentBlock.ns14067.oracleGeneral.zst Clock cache size    15080, 10364967 req, miss ratio 0.3336, byte miss ratio 0.3336
result/tencentBlock.ns14067.oracleGeneral.zst Clock cache size    45241, 10364967 req, miss ratio 0.2549, byte miss ratio 0.2549
