result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-1 cache size      153, 2182987 req, miss ratio 0.4798, byte miss ratio 0.4798
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-1 cache size      460, 2182987 req, miss ratio 0.3960, byte miss ratio 0.3960
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-1 cache size     1533, 2182987 req, miss ratio 0.3657, byte miss ratio 0.3657
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-1 cache size     4601, 2182987 req, miss ratio 0.3209, byte miss ratio 0.3209
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-1 cache size    15337, 2182987 req, miss ratio 0.2705, byte miss ratio 0.2705
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-1 cache size    30675, 2182987 req, miss ratio 0.2301, byte miss ratio 0.2301
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-1 cache size    61350, 2182987 req, miss ratio 0.1715, byte miss ratio 0.1715
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-1 cache size   122700, 2182987 req, miss ratio 0.0907, byte miss ratio 0.0907
result/tencentBlock.ns16764.oracleGeneral.zst clock2 cache size      153, 2182987 req, miss ratio 0.5080, byte miss ratio 0.5080
result/tencentBlock.ns16764.oracleGeneral.zst clock2 cache size      460, 2182987 req, miss ratio 0.4382, byte miss ratio 0.4382
result/tencentBlock.ns16764.oracleGeneral.zst clock2 cache size     1533, 2182987 req, miss ratio 0.3756, byte miss ratio 0.3756
result/tencentBlock.ns16764.oracleGeneral.zst clock2 cache size     4601, 2182987 req, miss ratio 0.3570, byte miss ratio 0.3570
result/tencentBlock.ns16764.oracleGeneral.zst clock2 cache size    15337, 2182987 req, miss ratio 0.2936, byte miss ratio 0.2936
result/tencentBlock.ns16764.oracleGeneral.zst clock2 cache size    30675, 2182987 req, miss ratio 0.2561, byte miss ratio 0.2561
result/tencentBlock.ns16764.oracleGeneral.zst clock2 cache size    61350, 2182987 req, miss ratio 0.2104, byte miss ratio 0.2104
result/tencentBlock.ns16764.oracleGeneral.zst clock2 cache size   122700, 2182987 req, miss ratio 0.0878, byte miss ratio 0.0878
result/tencentBlock.ns16764.oracleGeneral.zst LeCaR cache size      153, 2182987 req, miss ratio 0.5049, byte miss ratio 0.5049
