result/tencentBlock.ns16918.oracleGeneral.zst ARC cache size     2562, 56997689 req, miss ratio 0.7488, byte miss ratio 0.7488
result/tencentBlock.ns16918.oracleGeneral.zst ARC cache size     7688, 56997689 req, miss ratio 0.6355, byte miss ratio 0.6355
result/tencentBlock.ns16918.oracleGeneral.zst ARC cache size    25629, 56997689 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns16918.oracleGeneral.zst ARC cache size    76889, 56997689 req, miss ratio 0.4178, byte miss ratio 0.4178
result/tencentBlock.ns16918.oracleGeneral.zst ARC cache size   256297, 56997689 req, miss ratio 0.2328, byte miss ratio 0.2328
result/tencentBlock.ns16918.oracleGeneral.zst ARC cache size   512594, 56997689 req, miss ratio 0.1505, byte miss ratio 0.1505
result/tencentBlock.ns16918.oracleGeneral.zst ARC cache size  1025189, 56997689 req, miss ratio 0.0637, byte miss ratio 0.0637
result/tencentBlock.ns16918.oracleGeneral.zst ARC cache size  2050379, 56997689 req, miss ratio 0.0458, byte miss ratio 0.0458
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-1 cache size     2562, 56997689 req, miss ratio 0.7567, byte miss ratio 0.7567
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-1 cache size     7688, 56997689 req, miss ratio 0.6556, byte miss ratio 0.6556
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-1 cache size    25629, 56997689 req, miss ratio 0.5304, byte miss ratio 0.5304
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-1 cache size    76889, 56997689 req, miss ratio 0.4021, byte miss ratio 0.4021
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-1 cache size   256297, 56997689 req, miss ratio 0.2198, byte miss ratio 0.2198
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-1 cache size   512594, 56997689 req, miss ratio 0.1311, byte miss ratio 0.1311
