result/tencentBlock.ns17102.oracleGeneral.zst FIFO cache size       44, 1305417 req, miss ratio 0.4670, byte miss ratio 0.4670
result/tencentBlock.ns17102.oracleGeneral.zst FIFO cache size      132, 1305417 req, miss ratio 0.2682, byte miss ratio 0.2682
result/tencentBlock.ns17102.oracleGeneral.zst FIFO cache size      442, 1305417 req, miss ratio 0.2084, byte miss ratio 0.2084
result/tencentBlock.ns17102.oracleGeneral.zst FIFO cache size     1327, 1305417 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns17102.oracleGeneral.zst FIFO cache size     4426, 1305417 req, miss ratio 0.1318, byte miss ratio 0.1318
result/tencentBlock.ns17102.oracleGeneral.zst FIFO cache size     8852, 1305417 req, miss ratio 0.1098, byte miss ratio 0.1098
result/tencentBlock.ns17102.oracleGeneral.zst FIFO cache size    17704, 1305417 req, miss ratio 0.0729, byte miss ratio 0.0729
result/tencentBlock.ns17102.oracleGeneral.zst FIFO cache size    35408, 1305417 req, miss ratio 0.0423, byte miss ratio 0.0423
result/tencentBlock.ns17102.oracleGeneral.zst clock2 cache size       44, 1305417 req, miss ratio 0.3921, byte miss ratio 0.3921
result/tencentBlock.ns17102.oracleGeneral.zst clock2 cache size      132, 1305417 req, miss ratio 0.2077, byte miss ratio 0.2077
result/tencentBlock.ns17102.oracleGeneral.zst clock2 cache size      442, 1305417 req, miss ratio 0.1833, byte miss ratio 0.1833
result/tencentBlock.ns17102.oracleGeneral.zst clock2 cache size     1327, 1305417 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns17102.oracleGeneral.zst clock2 cache size     4426, 1305417 req, miss ratio 0.1132, byte miss ratio 0.1132
result/tencentBlock.ns17102.oracleGeneral.zst clock2 cache size     8852, 1305417 req, miss ratio 0.0984, byte miss ratio 0.0984
result/tencentBlock.ns17102.oracleGeneral.zst clock2 cache size    17704, 1305417 req, miss ratio 0.0769, byte miss ratio 0.0769
result/tencentBlock.ns17102.oracleGeneral.zst clock2 cache size    35408, 1305417 req, miss ratio 0.0387, byte miss ratio 0.0387
result/tencentBlock.ns17102.oracleGeneral.zst Cacheus cache size       44, 1305417 req, miss ratio 0.2830, byte miss ratio 0.2830
result/tencentBlock.ns17102.oracleGeneral.zst Cacheus cache size      132, 1305417 req, miss ratio 0.2060, byte miss ratio 0.2060
result/tencentBlock.ns17102.oracleGeneral.zst Cacheus cache size      442, 1305417 req, miss ratio 0.1792, byte miss ratio 0.1792
result/tencentBlock.ns17102.oracleGeneral.zst Cacheus cache size     1327, 1305417 req, miss ratio 0.1661, byte miss ratio 0.1661
result/tencentBlock.ns17102.oracleGeneral.zst Cacheus cache size     4426, 1305417 req, miss ratio 0.1112, byte miss ratio 0.1112
result/tencentBlock.ns17102.oracleGeneral.zst Cacheus cache size     8852, 1305417 req, miss ratio 0.0981, byte miss ratio 0.0981
result/tencentBlock.ns17102.oracleGeneral.zst Cacheus cache size    17704, 1305417 req, miss ratio 0.0689, byte miss ratio 0.0689
result/tencentBlock.ns17102.oracleGeneral.zst Cacheus cache size    35408, 1305417 req, miss ratio 0.0365, byte miss ratio 0.0365
result/tencentBlock.ns17102.oracleGeneral.zst LIRS cache size       44, 1305417 req, miss ratio 0.2715, byte miss ratio 0.2715
result/tencentBlock.ns17102.oracleGeneral.zst LIRS cache size      132, 1305417 req, miss ratio 0.2185, byte miss ratio 0.2185
result/tencentBlock.ns17102.oracleGeneral.zst LIRS cache size      442, 1305417 req, miss ratio 0.1851, byte miss ratio 0.1851
result/tencentBlock.ns17102.oracleGeneral.zst LIRS cache size     1327, 1305417 req, miss ratio 0.1415, byte miss ratio 0.1415
result/tencentBlock.ns17102.oracleGeneral.zst LIRS cache size     4426, 1305417 req, miss ratio 0.1107, byte miss ratio 0.1107
result/tencentBlock.ns17102.oracleGeneral.zst LIRS cache size     8852, 1305417 req, miss ratio 0.0943, byte miss ratio 0.0943
result/tencentBlock.ns17102.oracleGeneral.zst LIRS cache size    17704, 1305417 req, miss ratio 0.0662, byte miss ratio 0.0662
result/tencentBlock.ns17102.oracleGeneral.zst LIRS cache size    35408, 1305417 req, miss ratio 0.0375, byte miss ratio 0.0375
result/tencentBlock.ns17102.oracleGeneral.zst LeCaR cache size       44, 1305417 req, miss ratio 0.3854, byte miss ratio 0.3854
result/tencentBlock.ns17102.oracleGeneral.zst LeCaR cache size      132, 1305417 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns17102.oracleGeneral.zst LeCaR cache size      442, 1305417 req, miss ratio 0.1833, byte miss ratio 0.1833
result/tencentBlock.ns17102.oracleGeneral.zst LeCaR cache size     1327, 1305417 req, miss ratio 0.1696, byte miss ratio 0.1696
result/tencentBlock.ns17102.oracleGeneral.zst LeCaR cache size     4426, 1305417 req, miss ratio 0.1115, byte miss ratio 0.1115
result/tencentBlock.ns17102.oracleGeneral.zst LeCaR cache size     8852, 1305417 req, miss ratio 0.0981, byte miss ratio 0.0981
result/tencentBlock.ns17102.oracleGeneral.zst LeCaR cache size    17704, 1305417 req, miss ratio 0.0696, byte miss ratio 0.0696
result/tencentBlock.ns17102.oracleGeneral.zst LeCaR cache size    35408, 1305417 req, miss ratio 0.0372, byte miss ratio 0.0372
result/tencentBlock.ns17102.oracleGeneral.zst ARC cache size       44, 1305417 req, miss ratio 0.2717, byte miss ratio 0.2717
result/tencentBlock.ns17102.oracleGeneral.zst ARC cache size      132, 1305417 req, miss ratio 0.1986, byte miss ratio 0.1986
result/tencentBlock.ns17102.oracleGeneral.zst ARC cache size      442, 1305417 req, miss ratio 0.1772, byte miss ratio 0.1772
result/tencentBlock.ns17102.oracleGeneral.zst ARC cache size     1327, 1305417 req, miss ratio 0.1513, byte miss ratio 0.1513
result/tencentBlock.ns17102.oracleGeneral.zst ARC cache size     4426, 1305417 req, miss ratio 0.1109, byte miss ratio 0.1109
result/tencentBlock.ns17102.oracleGeneral.zst ARC cache size     8852, 1305417 req, miss ratio 0.0996, byte miss ratio 0.0996
result/tencentBlock.ns17102.oracleGeneral.zst ARC cache size    17704, 1305417 req, miss ratio 0.0679, byte miss ratio 0.0679
result/tencentBlock.ns17102.oracleGeneral.zst ARC cache size    35408, 1305417 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns17102.oracleGeneral.zst Clock cache size       44, 1305417 req, miss ratio 0.3893, byte miss ratio 0.3893
result/tencentBlock.ns17102.oracleGeneral.zst Clock cache size      132, 1305417 req, miss ratio 0.2078, byte miss ratio 0.2078
result/tencentBlock.ns17102.oracleGeneral.zst Clock cache size      442, 1305417 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns17102.oracleGeneral.zst Clock cache size     1327, 1305417 req, miss ratio 0.1714, byte miss ratio 0.1714
result/tencentBlock.ns17102.oracleGeneral.zst Clock cache size     4426, 1305417 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns17102.oracleGeneral.zst Clock cache size     8852, 1305417 req, miss ratio 0.0995, byte miss ratio 0.0995
result/tencentBlock.ns17102.oracleGeneral.zst Clock cache size    17704, 1305417 req, miss ratio 0.0719, byte miss ratio 0.0719
result/tencentBlock.ns17102.oracleGeneral.zst Clock cache size    35408, 1305417 req, miss ratio 0.0386, byte miss ratio 0.0386
result/tencentBlock.ns17102.oracleGeneral.zst LHD cache size       44, 1305417 req, miss ratio 0.4511, byte miss ratio 0.4511
result/tencentBlock.ns17102.oracleGeneral.zst LHD cache size      132, 1305417 req, miss ratio 0.2108, byte miss ratio 0.2108
result/tencentBlock.ns17102.oracleGeneral.zst LHD cache size      442, 1305417 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns17102.oracleGeneral.zst LHD cache size     1327, 1305417 req, miss ratio 0.1679, byte miss ratio 0.1679
result/tencentBlock.ns17102.oracleGeneral.zst LHD cache size     4426, 1305417 req, miss ratio 0.1118, byte miss ratio 0.1118
result/tencentBlock.ns17102.oracleGeneral.zst LHD cache size     8852, 1305417 req, miss ratio 0.0978, byte miss ratio 0.0978
result/tencentBlock.ns17102.oracleGeneral.zst LHD cache size    17704, 1305417 req, miss ratio 0.0701, byte miss ratio 0.0701
result/tencentBlock.ns17102.oracleGeneral.zst LHD cache size    35408, 1305417 req, miss ratio 0.0376, byte miss ratio 0.0376
result/tencentBlock.ns17102.oracleGeneral.zst LRU cache size       44, 1305417 req, miss ratio 0.3942, byte miss ratio 0.3942
result/tencentBlock.ns17102.oracleGeneral.zst LRU cache size      132, 1305417 req, miss ratio 0.2083, byte miss ratio 0.2083
result/tencentBlock.ns17102.oracleGeneral.zst LRU cache size      442, 1305417 req, miss ratio 0.1873, byte miss ratio 0.1873
result/tencentBlock.ns17102.oracleGeneral.zst LRU cache size     1327, 1305417 req, miss ratio 0.1729, byte miss ratio 0.1729
result/tencentBlock.ns17102.oracleGeneral.zst LRU cache size     4426, 1305417 req, miss ratio 0.1118, byte miss ratio 0.1118
result/tencentBlock.ns17102.oracleGeneral.zst LRU cache size     8852, 1305417 req, miss ratio 0.0982, byte miss ratio 0.0982
result/tencentBlock.ns17102.oracleGeneral.zst LRU cache size    17704, 1305417 req, miss ratio 0.0687, byte miss ratio 0.0687
result/tencentBlock.ns17102.oracleGeneral.zst LRU cache size    35408, 1305417 req, miss ratio 0.0373, byte miss ratio 0.0373
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-1 cache size       44, 1305417 req, miss ratio 0.2982, byte miss ratio 0.2982
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-1 cache size      132, 1305417 req, miss ratio 0.1975, byte miss ratio 0.1975
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-1 cache size      442, 1305417 req, miss ratio 0.1762, byte miss ratio 0.1762
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-1 cache size     1327, 1305417 req, miss ratio 0.1349, byte miss ratio 0.1349
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-1 cache size     4426, 1305417 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-1 cache size     8852, 1305417 req, miss ratio 0.0971, byte miss ratio 0.0971
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-1 cache size    17704, 1305417 req, miss ratio 0.0703, byte miss ratio 0.0703
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-1 cache size    35408, 1305417 req, miss ratio 0.0380, byte miss ratio 0.0380
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d-1 cache size       44, 1305417 req, miss ratio 0.3273, byte miss ratio 0.3273
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d-1 cache size      132, 1305417 req, miss ratio 0.1974, byte miss ratio 0.1974
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d-1 cache size      442, 1305417 req, miss ratio 0.1761, byte miss ratio 0.1761
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d-1 cache size     1327, 1305417 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d-1 cache size     4426, 1305417 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d-1 cache size     8852, 1305417 req, miss ratio 0.0972, byte miss ratio 0.0972
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d-1 cache size    17704, 1305417 req, miss ratio 0.0703, byte miss ratio 0.0703
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d-1 cache size    35408, 1305417 req, miss ratio 0.0380, byte miss ratio 0.0380
result/tencentBlock.ns17102.oracleGeneral.zst LRB cache size       44, 1305417 req, miss ratio 0.3572, byte miss ratio 0.3572
result/tencentBlock.ns17102.oracleGeneral.zst LRB cache size      132, 1305417 req, miss ratio 0.2251, byte miss ratio 0.2251
result/tencentBlock.ns17102.oracleGeneral.zst LRB cache size      442, 1305417 req, miss ratio 0.1835, byte miss ratio 0.1835
result/tencentBlock.ns17102.oracleGeneral.zst LRB cache size     1327, 1305417 req, miss ratio 0.1349, byte miss ratio 0.1349
result/tencentBlock.ns17102.oracleGeneral.zst LRB cache size     4426, 1305417 req, miss ratio 0.1066, byte miss ratio 0.1066
result/tencentBlock.ns17102.oracleGeneral.zst LRB cache size     8852, 1305417 req, miss ratio 0.0917, byte miss ratio 0.0917
result/tencentBlock.ns17102.oracleGeneral.zst LRB cache size    17704, 1305417 req, miss ratio 0.0640, byte miss ratio 0.0640
result/tencentBlock.ns17102.oracleGeneral.zst LRB cache size    35408, 1305417 req, miss ratio 0.0369, byte miss ratio 0.0369
result/tencentBlock.ns17102.oracleGeneral.zst TwoQ cache size       44, 1305417 req, miss ratio 0.2897, byte miss ratio 0.2897
result/tencentBlock.ns17102.oracleGeneral.zst TwoQ cache size      132, 1305417 req, miss ratio 0.2026, byte miss ratio 0.2026
result/tencentBlock.ns17102.oracleGeneral.zst TwoQ cache size      442, 1305417 req, miss ratio 0.1758, byte miss ratio 0.1758
result/tencentBlock.ns17102.oracleGeneral.zst TwoQ cache size     1327, 1305417 req, miss ratio 0.1557, byte miss ratio 0.1557
result/tencentBlock.ns17102.oracleGeneral.zst TwoQ cache size     4426, 1305417 req, miss ratio 0.1071, byte miss ratio 0.1071
result/tencentBlock.ns17102.oracleGeneral.zst TwoQ cache size     8852, 1305417 req, miss ratio 0.0925, byte miss ratio 0.0925
result/tencentBlock.ns17102.oracleGeneral.zst TwoQ cache size    17704, 1305417 req, miss ratio 0.0663, byte miss ratio 0.0663
result/tencentBlock.ns17102.oracleGeneral.zst TwoQ cache size    35408, 1305417 req, miss ratio 0.0423, byte miss ratio 0.0423
result/tencentBlock.ns17102.oracleGeneral.zst S4LRU(25:25:25:25) cache size       44, 1305417 req, miss ratio 0.4055, byte miss ratio 0.4055
result/tencentBlock.ns17102.oracleGeneral.zst S4LRU(25:25:25:25) cache size      132, 1305417 req, miss ratio 0.2112, byte miss ratio 0.2112
result/tencentBlock.ns17102.oracleGeneral.zst S4LRU(25:25:25:25) cache size      442, 1305417 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns17102.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1327, 1305417 req, miss ratio 0.1614, byte miss ratio 0.1614
result/tencentBlock.ns17102.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4426, 1305417 req, miss ratio 0.1145, byte miss ratio 0.1145
result/tencentBlock.ns17102.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8852, 1305417 req, miss ratio 0.0983, byte miss ratio 0.0983
result/tencentBlock.ns17102.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17704, 1305417 req, miss ratio 0.0768, byte miss ratio 0.0768
result/tencentBlock.ns17102.oracleGeneral.zst S4LRU(25:25:25:25) cache size    35408, 1305417 req, miss ratio 0.0378, byte miss ratio 0.0378
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size       44, 1305417 req, miss ratio 0.3913, byte miss ratio 0.3913
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size      132, 1305417 req, miss ratio 0.2197, byte miss ratio 0.2197
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size      442, 1305417 req, miss ratio 0.1974, byte miss ratio 0.1974
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size     1327, 1305417 req, miss ratio 0.1843, byte miss ratio 0.1843
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size     4426, 1305417 req, miss ratio 0.1250, byte miss ratio 0.1250
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size     8852, 1305417 req, miss ratio 0.1125, byte miss ratio 0.1125
