result/tencentBlock.ns17709.oracleGeneral.zst LIRS cache size       97, 5755608 req, miss ratio 0.6227, byte miss ratio 0.6227
result/tencentBlock.ns17709.oracleGeneral.zst LIRS cache size      291, 5755608 req, miss ratio 0.2393, byte miss ratio 0.2393
result/tencentBlock.ns17709.oracleGeneral.zst LIRS cache size      971, 5755608 req, miss ratio 0.0942, byte miss ratio 0.0942
result/tencentBlock.ns17709.oracleGeneral.zst LIRS cache size     2915, 5755608 req, miss ratio 0.0889, byte miss ratio 0.0889
result/tencentBlock.ns17709.oracleGeneral.zst LIRS cache size     9718, 5755608 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns17709.oracleGeneral.zst LIRS cache size    19437, 5755608 req, miss ratio 0.0680, byte miss ratio 0.0680
result/tencentBlock.ns17709.oracleGeneral.zst LIRS cache size    38875, 5755608 req, miss ratio 0.0498, byte miss ratio 0.0498
result/tencentBlock.ns17709.oracleGeneral.zst LIRS cache size    77751, 5755608 req, miss ratio 0.0174, byte miss ratio 0.0174
result/tencentBlock.ns17709.oracleGeneral.zst ARC cache size       97, 5755608 req, miss ratio 0.6372, byte miss ratio 0.6372
result/tencentBlock.ns17709.oracleGeneral.zst ARC cache size      291, 5755608 req, miss ratio 0.3942, byte miss ratio 0.3942
result/tencentBlock.ns17709.oracleGeneral.zst ARC cache size      971, 5755608 req, miss ratio 0.0918, byte miss ratio 0.0918
result/tencentBlock.ns17709.oracleGeneral.zst ARC cache size     2915, 5755608 req, miss ratio 0.0879, byte miss ratio 0.0879
result/tencentBlock.ns17709.oracleGeneral.zst ARC cache size     9718, 5755608 req, miss ratio 0.0834, byte miss ratio 0.0834
result/tencentBlock.ns17709.oracleGeneral.zst ARC cache size    19437, 5755608 req, miss ratio 0.0698, byte miss ratio 0.0698
result/tencentBlock.ns17709.oracleGeneral.zst ARC cache size    38875, 5755608 req, miss ratio 0.0575, byte miss ratio 0.0575
result/tencentBlock.ns17709.oracleGeneral.zst ARC cache size    77751, 5755608 req, miss ratio 0.0171, byte miss ratio 0.0171
result/tencentBlock.ns17709.oracleGeneral.zst Clock cache size       97, 5755608 req, miss ratio 0.8377, byte miss ratio 0.8377
result/tencentBlock.ns17709.oracleGeneral.zst Clock cache size      291, 5755608 req, miss ratio 0.5059, byte miss ratio 0.5059
result/tencentBlock.ns17709.oracleGeneral.zst Clock cache size      971, 5755608 req, miss ratio 0.0949, byte miss ratio 0.0949
result/tencentBlock.ns17709.oracleGeneral.zst Clock cache size     2915, 5755608 req, miss ratio 0.0888, byte miss ratio 0.0888
result/tencentBlock.ns17709.oracleGeneral.zst Clock cache size     9718, 5755608 req, miss ratio 0.0868, byte miss ratio 0.0868
result/tencentBlock.ns17709.oracleGeneral.zst Clock cache size    19437, 5755608 req, miss ratio 0.0851, byte miss ratio 0.0851
result/tencentBlock.ns17709.oracleGeneral.zst Clock cache size    38875, 5755608 req, miss ratio 0.0696, byte miss ratio 0.0696
result/tencentBlock.ns17709.oracleGeneral.zst Clock cache size    77751, 5755608 req, miss ratio 0.0172, byte miss ratio 0.0172
result/tencentBlock.ns17709.oracleGeneral.zst clock2 cache size       97, 5755608 req, miss ratio 0.8360, byte miss ratio 0.8360
result/tencentBlock.ns17709.oracleGeneral.zst clock2 cache size      291, 5755608 req, miss ratio 0.4837, byte miss ratio 0.4837
result/tencentBlock.ns17709.oracleGeneral.zst clock2 cache size      971, 5755608 req, miss ratio 0.0944, byte miss ratio 0.0944
result/tencentBlock.ns17709.oracleGeneral.zst clock2 cache size     2915, 5755608 req, miss ratio 0.0886, byte miss ratio 0.0886
result/tencentBlock.ns17709.oracleGeneral.zst clock2 cache size     9718, 5755608 req, miss ratio 0.0866, byte miss ratio 0.0866
result/tencentBlock.ns17709.oracleGeneral.zst clock2 cache size    19437, 5755608 req, miss ratio 0.0851, byte miss ratio 0.0851
result/tencentBlock.ns17709.oracleGeneral.zst clock2 cache size    38875, 5755608 req, miss ratio 0.0655, byte miss ratio 0.0655
result/tencentBlock.ns17709.oracleGeneral.zst clock2 cache size    77751, 5755608 req, miss ratio 0.0171, byte miss ratio 0.0171
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-1 cache size       97, 5755608 req, miss ratio 0.6427, byte miss ratio 0.6427
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-1 cache size      291, 5755608 req, miss ratio 0.3321, byte miss ratio 0.3321
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-1 cache size      971, 5755608 req, miss ratio 0.0912, byte miss ratio 0.0912
