result/tencentBlock.ns1841.oracleGeneral.zst clock2 cache size       58, 1205120 req, miss ratio 0.2828, byte miss ratio 0.2828
result/tencentBlock.ns1841.oracleGeneral.zst clock2 cache size      174, 1205120 req, miss ratio 0.2106, byte miss ratio 0.2106
result/tencentBlock.ns1841.oracleGeneral.zst clock2 cache size      582, 1205120 req, miss ratio 0.1898, byte miss ratio 0.1898
result/tencentBlock.ns1841.oracleGeneral.zst clock2 cache size     1747, 1205120 req, miss ratio 0.1851, byte miss ratio 0.1851
result/tencentBlock.ns1841.oracleGeneral.zst clock2 cache size     5825, 1205120 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns1841.oracleGeneral.zst clock2 cache size    11650, 1205120 req, miss ratio 0.1684, byte miss ratio 0.1684
result/tencentBlock.ns1841.oracleGeneral.zst clock2 cache size    23301, 1205120 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns1841.oracleGeneral.zst clock2 cache size    46603, 1205120 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns1841.oracleGeneral.zst ARC cache size       58, 1205120 req, miss ratio 0.2607, byte miss ratio 0.2607
result/tencentBlock.ns1841.oracleGeneral.zst ARC cache size      174, 1205120 req, miss ratio 0.1935, byte miss ratio 0.1935
result/tencentBlock.ns1841.oracleGeneral.zst ARC cache size      582, 1205120 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencentBlock.ns1841.oracleGeneral.zst ARC cache size     1747, 1205120 req, miss ratio 0.1826, byte miss ratio 0.1826
result/tencentBlock.ns1841.oracleGeneral.zst ARC cache size     5825, 1205120 req, miss ratio 0.1720, byte miss ratio 0.1720
result/tencentBlock.ns1841.oracleGeneral.zst ARC cache size    11650, 1205120 req, miss ratio 0.1406, byte miss ratio 0.1406
result/tencentBlock.ns1841.oracleGeneral.zst ARC cache size    23301, 1205120 req, miss ratio 0.0585, byte miss ratio 0.0585
result/tencentBlock.ns1841.oracleGeneral.zst ARC cache size    46603, 1205120 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns1841.oracleGeneral.zst Cacheus cache size       58, 1205120 req, miss ratio 0.2687, byte miss ratio 0.2687
result/tencentBlock.ns1841.oracleGeneral.zst Cacheus cache size      174, 1205120 req, miss ratio 0.1963, byte miss ratio 0.1963
result/tencentBlock.ns1841.oracleGeneral.zst Cacheus cache size      582, 1205120 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencentBlock.ns1841.oracleGeneral.zst Cacheus cache size     1747, 1205120 req, miss ratio 0.1830, byte miss ratio 0.1830
result/tencentBlock.ns1841.oracleGeneral.zst Cacheus cache size     5825, 1205120 req, miss ratio 0.1715, byte miss ratio 0.1715
result/tencentBlock.ns1841.oracleGeneral.zst Cacheus cache size    11650, 1205120 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns1841.oracleGeneral.zst Cacheus cache size    23301, 1205120 req, miss ratio 0.0612, byte miss ratio 0.0612
result/tencentBlock.ns1841.oracleGeneral.zst Cacheus cache size    46603, 1205120 req, miss ratio 0.0490, byte miss ratio 0.0490
result/tencentBlock.ns1841.oracleGeneral.zst LHD cache size       58, 1205120 req, miss ratio 0.2961, byte miss ratio 0.2961
result/tencentBlock.ns1841.oracleGeneral.zst LHD cache size      174, 1205120 req, miss ratio 0.2000, byte miss ratio 0.2000
result/tencentBlock.ns1841.oracleGeneral.zst LHD cache size      582, 1205120 req, miss ratio 0.1895, byte miss ratio 0.1895
result/tencentBlock.ns1841.oracleGeneral.zst LHD cache size     1747, 1205120 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns1841.oracleGeneral.zst LHD cache size     5825, 1205120 req, miss ratio 0.1785, byte miss ratio 0.1785
result/tencentBlock.ns1841.oracleGeneral.zst LHD cache size    11650, 1205120 req, miss ratio 0.1534, byte miss ratio 0.1534
result/tencentBlock.ns1841.oracleGeneral.zst LHD cache size    23301, 1205120 req, miss ratio 0.0716, byte miss ratio 0.0716
result/tencentBlock.ns1841.oracleGeneral.zst LHD cache size    46603, 1205120 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns1841.oracleGeneral.zst LeCaR cache size       58, 1205120 req, miss ratio 0.2734, byte miss ratio 0.2734
result/tencentBlock.ns1841.oracleGeneral.zst LeCaR cache size      174, 1205120 req, miss ratio 0.2067, byte miss ratio 0.2067
result/tencentBlock.ns1841.oracleGeneral.zst LeCaR cache size      582, 1205120 req, miss ratio 0.1902, byte miss ratio 0.1902
result/tencentBlock.ns1841.oracleGeneral.zst LeCaR cache size     1747, 1205120 req, miss ratio 0.1844, byte miss ratio 0.1844
result/tencentBlock.ns1841.oracleGeneral.zst LeCaR cache size     5825, 1205120 req, miss ratio 0.1756, byte miss ratio 0.1756
result/tencentBlock.ns1841.oracleGeneral.zst LeCaR cache size    11650, 1205120 req, miss ratio 0.1604, byte miss ratio 0.1604
result/tencentBlock.ns1841.oracleGeneral.zst LeCaR cache size    23301, 1205120 req, miss ratio 0.0612, byte miss ratio 0.0612
result/tencentBlock.ns1841.oracleGeneral.zst LeCaR cache size    46603, 1205120 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns1841.oracleGeneral.zst FIFO cache size       58, 1205120 req, miss ratio 0.3714, byte miss ratio 0.3714
result/tencentBlock.ns1841.oracleGeneral.zst FIFO cache size      174, 1205120 req, miss ratio 0.2545, byte miss ratio 0.2545
result/tencentBlock.ns1841.oracleGeneral.zst FIFO cache size      582, 1205120 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns1841.oracleGeneral.zst FIFO cache size     1747, 1205120 req, miss ratio 0.1925, byte miss ratio 0.1925
result/tencentBlock.ns1841.oracleGeneral.zst FIFO cache size     5825, 1205120 req, miss ratio 0.1847, byte miss ratio 0.1847
result/tencentBlock.ns1841.oracleGeneral.zst FIFO cache size    11650, 1205120 req, miss ratio 0.1512, byte miss ratio 0.1512
result/tencentBlock.ns1841.oracleGeneral.zst FIFO cache size    23301, 1205120 req, miss ratio 0.0819, byte miss ratio 0.0819
result/tencentBlock.ns1841.oracleGeneral.zst FIFO cache size    46603, 1205120 req, miss ratio 0.0627, byte miss ratio 0.0627
result/tencentBlock.ns1841.oracleGeneral.zst LIRS cache size       58, 1205120 req, miss ratio 0.2817, byte miss ratio 0.2817
result/tencentBlock.ns1841.oracleGeneral.zst LIRS cache size      174, 1205120 req, miss ratio 0.2184, byte miss ratio 0.2184
result/tencentBlock.ns1841.oracleGeneral.zst LIRS cache size      582, 1205120 req, miss ratio 0.1935, byte miss ratio 0.1935
result/tencentBlock.ns1841.oracleGeneral.zst LIRS cache size     1747, 1205120 req, miss ratio 0.1828, byte miss ratio 0.1828
result/tencentBlock.ns1841.oracleGeneral.zst LIRS cache size     5825, 1205120 req, miss ratio 0.1638, byte miss ratio 0.1638
result/tencentBlock.ns1841.oracleGeneral.zst LIRS cache size    11650, 1205120 req, miss ratio 0.1216, byte miss ratio 0.1216
result/tencentBlock.ns1841.oracleGeneral.zst LIRS cache size    23301, 1205120 req, miss ratio 0.0579, byte miss ratio 0.0579
result/tencentBlock.ns1841.oracleGeneral.zst LIRS cache size    46603, 1205120 req, miss ratio 0.0490, byte miss ratio 0.0490
result/tencentBlock.ns1841.oracleGeneral.zst LRU cache size       58, 1205120 req, miss ratio 0.2991, byte miss ratio 0.2991
result/tencentBlock.ns1841.oracleGeneral.zst LRU cache size      174, 1205120 req, miss ratio 0.2097, byte miss ratio 0.2097
result/tencentBlock.ns1841.oracleGeneral.zst LRU cache size      582, 1205120 req, miss ratio 0.1910, byte miss ratio 0.1910
result/tencentBlock.ns1841.oracleGeneral.zst LRU cache size     1747, 1205120 req, miss ratio 0.1858, byte miss ratio 0.1858
result/tencentBlock.ns1841.oracleGeneral.zst LRU cache size     5825, 1205120 req, miss ratio 0.1820, byte miss ratio 0.1820
result/tencentBlock.ns1841.oracleGeneral.zst LRU cache size    11650, 1205120 req, miss ratio 0.1687, byte miss ratio 0.1687
result/tencentBlock.ns1841.oracleGeneral.zst LRU cache size    23301, 1205120 req, miss ratio 0.0699, byte miss ratio 0.0699
result/tencentBlock.ns1841.oracleGeneral.zst LRU cache size    46603, 1205120 req, miss ratio 0.0488, byte miss ratio 0.0488
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-1 cache size       58, 1205120 req, miss ratio 0.2664, byte miss ratio 0.2664
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-1 cache size      174, 1205120 req, miss ratio 0.1933, byte miss ratio 0.1933
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-1 cache size      582, 1205120 req, miss ratio 0.1863, byte miss ratio 0.1863
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-1 cache size     1747, 1205120 req, miss ratio 0.1822, byte miss ratio 0.1822
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-1 cache size     5825, 1205120 req, miss ratio 0.1659, byte miss ratio 0.1659
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-1 cache size    11650, 1205120 req, miss ratio 0.1338, byte miss ratio 0.1338
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-1 cache size    23301, 1205120 req, miss ratio 0.0606, byte miss ratio 0.0606
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-1 cache size    46603, 1205120 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns1841.oracleGeneral.zst Clock cache size       58, 1205120 req, miss ratio 0.2857, byte miss ratio 0.2857
result/tencentBlock.ns1841.oracleGeneral.zst Clock cache size      174, 1205120 req, miss ratio 0.2096, byte miss ratio 0.2096
result/tencentBlock.ns1841.oracleGeneral.zst Clock cache size      582, 1205120 req, miss ratio 0.1903, byte miss ratio 0.1903
result/tencentBlock.ns1841.oracleGeneral.zst Clock cache size     1747, 1205120 req, miss ratio 0.1852, byte miss ratio 0.1852
result/tencentBlock.ns1841.oracleGeneral.zst Clock cache size     5825, 1205120 req, miss ratio 0.1809, byte miss ratio 0.1809
result/tencentBlock.ns1841.oracleGeneral.zst Clock cache size    11650, 1205120 req, miss ratio 0.1671, byte miss ratio 0.1671
result/tencentBlock.ns1841.oracleGeneral.zst Clock cache size    23301, 1205120 req, miss ratio 0.0711, byte miss ratio 0.0711
result/tencentBlock.ns1841.oracleGeneral.zst Clock cache size    46603, 1205120 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d-1 cache size       58, 1205120 req, miss ratio 0.2608, byte miss ratio 0.2608
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d-1 cache size      174, 1205120 req, miss ratio 0.1927, byte miss ratio 0.1927
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d-1 cache size      582, 1205120 req, miss ratio 0.1863, byte miss ratio 0.1863
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d-1 cache size     1747, 1205120 req, miss ratio 0.1822, byte miss ratio 0.1822
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d-1 cache size     5825, 1205120 req, miss ratio 0.1659, byte miss ratio 0.1659
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d-1 cache size    11650, 1205120 req, miss ratio 0.1325, byte miss ratio 0.1325
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d-1 cache size    23301, 1205120 req, miss ratio 0.0608, byte miss ratio 0.0608
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d-1 cache size    46603, 1205120 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns1841.oracleGeneral.zst LRB cache size       58, 1205120 req, miss ratio 0.2885, byte miss ratio 0.2885
result/tencentBlock.ns1841.oracleGeneral.zst LRB cache size      174, 1205120 req, miss ratio 0.2019, byte miss ratio 0.2019
result/tencentBlock.ns1841.oracleGeneral.zst LRB cache size      582, 1205120 req, miss ratio 0.1887, byte miss ratio 0.1887
result/tencentBlock.ns1841.oracleGeneral.zst LRB cache size     1747, 1205120 req, miss ratio 0.1786, byte miss ratio 0.1786
result/tencentBlock.ns1841.oracleGeneral.zst LRB cache size     5825, 1205120 req, miss ratio 0.1591, byte miss ratio 0.1591
result/tencentBlock.ns1841.oracleGeneral.zst LRB cache size    11650, 1205120 req, miss ratio 0.1412, byte miss ratio 0.1412
result/tencentBlock.ns1841.oracleGeneral.zst LRB cache size    23301, 1205120 req, miss ratio 0.0752, byte miss ratio 0.0752
