result/tencentBlock.ns1849.oracleGeneral.zst LRU cache size      351, 3272425 req, miss ratio 0.5281, byte miss ratio 0.5281
result/tencentBlock.ns1849.oracleGeneral.zst LRU cache size     1055, 3272425 req, miss ratio 0.4487, byte miss ratio 0.4487
result/tencentBlock.ns1849.oracleGeneral.zst LRU cache size     3519, 3272425 req, miss ratio 0.3419, byte miss ratio 0.3419
result/tencentBlock.ns1849.oracleGeneral.zst LRU cache size    10559, 3272425 req, miss ratio 0.3014, byte miss ratio 0.3014
result/tencentBlock.ns1849.oracleGeneral.zst LRU cache size    35199, 3272425 req, miss ratio 0.2434, byte miss ratio 0.2434
result/tencentBlock.ns1849.oracleGeneral.zst LRU cache size    70399, 3272425 req, miss ratio 0.1866, byte miss ratio 0.1866
result/tencentBlock.ns1849.oracleGeneral.zst LRU cache size   140799, 3272425 req, miss ratio 0.1200, byte miss ratio 0.1200
result/tencentBlock.ns1849.oracleGeneral.zst LRU cache size   281598, 3272425 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-1 cache size      351, 3272425 req, miss ratio 0.5272, byte miss ratio 0.5272
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-1 cache size     1055, 3272425 req, miss ratio 0.3981, byte miss ratio 0.3981
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-1 cache size     3519, 3272425 req, miss ratio 0.3157, byte miss ratio 0.3157
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-1 cache size    10559, 3272425 req, miss ratio 0.2892, byte miss ratio 0.2892
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-1 cache size    35199, 3272425 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-1 cache size    70399, 3272425 req, miss ratio 0.1947, byte miss ratio 0.1947
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-1 cache size   140799, 3272425 req, miss ratio 0.1250, byte miss ratio 0.1250
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-1 cache size   281598, 3272425 req, miss ratio 0.1083, byte miss ratio 0.1083
result/tencentBlock.ns1849.oracleGeneral.zst FIFO cache size      351, 3272425 req, miss ratio 0.6079, byte miss ratio 0.6079
result/tencentBlock.ns1849.oracleGeneral.zst FIFO cache size     1055, 3272425 req, miss ratio 0.4865, byte miss ratio 0.4865
result/tencentBlock.ns1849.oracleGeneral.zst FIFO cache size     3519, 3272425 req, miss ratio 0.3841, byte miss ratio 0.3841
result/tencentBlock.ns1849.oracleGeneral.zst FIFO cache size    10559, 3272425 req, miss ratio 0.3265, byte miss ratio 0.3265
result/tencentBlock.ns1849.oracleGeneral.zst FIFO cache size    35199, 3272425 req, miss ratio 0.2590, byte miss ratio 0.2590
result/tencentBlock.ns1849.oracleGeneral.zst FIFO cache size    70399, 3272425 req, miss ratio 0.1970, byte miss ratio 0.1970
result/tencentBlock.ns1849.oracleGeneral.zst FIFO cache size   140799, 3272425 req, miss ratio 0.1427, byte miss ratio 0.1427
result/tencentBlock.ns1849.oracleGeneral.zst FIFO cache size   281598, 3272425 req, miss ratio 0.1158, byte miss ratio 0.1158
result/tencentBlock.ns1849.oracleGeneral.zst LIRS cache size      351, 3272425 req, miss ratio 0.5532, byte miss ratio 0.5532
result/tencentBlock.ns1849.oracleGeneral.zst LIRS cache size     1055, 3272425 req, miss ratio 0.4210, byte miss ratio 0.4210
result/tencentBlock.ns1849.oracleGeneral.zst LIRS cache size     3519, 3272425 req, miss ratio 0.3263, byte miss ratio 0.3263
result/tencentBlock.ns1849.oracleGeneral.zst LIRS cache size    10559, 3272425 req, miss ratio 0.2923, byte miss ratio 0.2923
result/tencentBlock.ns1849.oracleGeneral.zst LIRS cache size    35199, 3272425 req, miss ratio 0.2463, byte miss ratio 0.2463
result/tencentBlock.ns1849.oracleGeneral.zst LIRS cache size    70399, 3272425 req, miss ratio 0.1938, byte miss ratio 0.1938
result/tencentBlock.ns1849.oracleGeneral.zst LIRS cache size   140799, 3272425 req, miss ratio 0.1297, byte miss ratio 0.1297
result/tencentBlock.ns1849.oracleGeneral.zst LIRS cache size   281598, 3272425 req, miss ratio 0.1108, byte miss ratio 0.1108
result/tencentBlock.ns1849.oracleGeneral.zst LHD cache size      351, 3272425 req, miss ratio 0.5228, byte miss ratio 0.5228
result/tencentBlock.ns1849.oracleGeneral.zst LHD cache size     1055, 3272425 req, miss ratio 0.4417, byte miss ratio 0.4417
result/tencentBlock.ns1849.oracleGeneral.zst LHD cache size     3519, 3272425 req, miss ratio 0.3248, byte miss ratio 0.3248
result/tencentBlock.ns1849.oracleGeneral.zst LHD cache size    10559, 3272425 req, miss ratio 0.2949, byte miss ratio 0.2949
result/tencentBlock.ns1849.oracleGeneral.zst LHD cache size    35199, 3272425 req, miss ratio 0.2355, byte miss ratio 0.2355
result/tencentBlock.ns1849.oracleGeneral.zst LHD cache size    70399, 3272425 req, miss ratio 0.1765, byte miss ratio 0.1765
result/tencentBlock.ns1849.oracleGeneral.zst LHD cache size   140799, 3272425 req, miss ratio 0.1188, byte miss ratio 0.1188
result/tencentBlock.ns1849.oracleGeneral.zst LHD cache size   281598, 3272425 req, miss ratio 0.1083, byte miss ratio 0.1083
result/tencentBlock.ns1849.oracleGeneral.zst clock2 cache size      351, 3272425 req, miss ratio 0.5256, byte miss ratio 0.5256
result/tencentBlock.ns1849.oracleGeneral.zst clock2 cache size     1055, 3272425 req, miss ratio 0.4536, byte miss ratio 0.4536
result/tencentBlock.ns1849.oracleGeneral.zst clock2 cache size     3519, 3272425 req, miss ratio 0.3276, byte miss ratio 0.3276
result/tencentBlock.ns1849.oracleGeneral.zst clock2 cache size    10559, 3272425 req, miss ratio 0.3027, byte miss ratio 0.3027
result/tencentBlock.ns1849.oracleGeneral.zst clock2 cache size    35199, 3272425 req, miss ratio 0.2506, byte miss ratio 0.2506
result/tencentBlock.ns1849.oracleGeneral.zst clock2 cache size    70399, 3272425 req, miss ratio 0.2153, byte miss ratio 0.2153
result/tencentBlock.ns1849.oracleGeneral.zst clock2 cache size   140799, 3272425 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns1849.oracleGeneral.zst clock2 cache size   281598, 3272425 req, miss ratio 0.1083, byte miss ratio 0.1083
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size      351, 3272425 req, miss ratio 0.5209, byte miss ratio 0.5209
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size     1055, 3272425 req, miss ratio 0.4478, byte miss ratio 0.4478
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size     3519, 3272425 req, miss ratio 0.3239, byte miss ratio 0.3239
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size    10559, 3272425 req, miss ratio 0.3003, byte miss ratio 0.3003
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size    35199, 3272425 req, miss ratio 0.2405, byte miss ratio 0.2405
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size    70399, 3272425 req, miss ratio 0.1822, byte miss ratio 0.1822
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size   140799, 3272425 req, miss ratio 0.1201, byte miss ratio 0.1201
result/tencentBlock.ns1849.oracleGeneral.zst LeCaR cache size   281598, 3272425 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size      351, 3272425 req, miss ratio 0.5241, byte miss ratio 0.5241
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size     1055, 3272425 req, miss ratio 0.4482, byte miss ratio 0.4482
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size     3519, 3272425 req, miss ratio 0.3367, byte miss ratio 0.3367
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size    10559, 3272425 req, miss ratio 0.3015, byte miss ratio 0.3015
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size    35199, 3272425 req, miss ratio 0.2463, byte miss ratio 0.2463
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size    70399, 3272425 req, miss ratio 0.2072, byte miss ratio 0.2072
result/tencentBlock.ns1849.oracleGeneral.zst Clock cache size   140799, 3272425 req, miss ratio 0.1284, byte miss ratio 0.1284
