result/tencentBlock.ns18981.oracleGeneral.zst Clock cache size      215, 1666608 req, miss ratio 0.5103, byte miss ratio 0.5103
result/tencentBlock.ns18981.oracleGeneral.zst Clock cache size      645, 1666608 req, miss ratio 0.4761, byte miss ratio 0.4761
result/tencentBlock.ns18981.oracleGeneral.zst Clock cache size     2150, 1666608 req, miss ratio 0.4452, byte miss ratio 0.4452
result/tencentBlock.ns18981.oracleGeneral.zst Clock cache size     6452, 1666608 req, miss ratio 0.3993, byte miss ratio 0.3993
result/tencentBlock.ns18981.oracleGeneral.zst Clock cache size    21508, 1666608 req, miss ratio 0.3757, byte miss ratio 0.3757
result/tencentBlock.ns18981.oracleGeneral.zst Clock cache size    43017, 1666608 req, miss ratio 0.3175, byte miss ratio 0.3175
result/tencentBlock.ns18981.oracleGeneral.zst Clock cache size    86034, 1666608 req, miss ratio 0.1979, byte miss ratio 0.1979
result/tencentBlock.ns18981.oracleGeneral.zst Clock cache size   172068, 1666608 req, miss ratio 0.1295, byte miss ratio 0.1295
result/tencentBlock.ns18981.oracleGeneral.zst ARC cache size      215, 1666608 req, miss ratio 0.4880, byte miss ratio 0.4880
result/tencentBlock.ns18981.oracleGeneral.zst ARC cache size      645, 1666608 req, miss ratio 0.4677, byte miss ratio 0.4677
result/tencentBlock.ns18981.oracleGeneral.zst ARC cache size     2150, 1666608 req, miss ratio 0.4014, byte miss ratio 0.4014
result/tencentBlock.ns18981.oracleGeneral.zst ARC cache size     6452, 1666608 req, miss ratio 0.3825, byte miss ratio 0.3825
result/tencentBlock.ns18981.oracleGeneral.zst ARC cache size    21508, 1666608 req, miss ratio 0.3367, byte miss ratio 0.3367
result/tencentBlock.ns18981.oracleGeneral.zst ARC cache size    43017, 1666608 req, miss ratio 0.3061, byte miss ratio 0.3061
result/tencentBlock.ns18981.oracleGeneral.zst ARC cache size    86034, 1666608 req, miss ratio 0.1728, byte miss ratio 0.1728
result/tencentBlock.ns18981.oracleGeneral.zst ARC cache size   172068, 1666608 req, miss ratio 0.1295, byte miss ratio 0.1295
result/tencentBlock.ns18981.oracleGeneral.zst Cacheus cache size      215, 1666608 req, miss ratio 0.4870, byte miss ratio 0.4870
result/tencentBlock.ns18981.oracleGeneral.zst Cacheus cache size      645, 1666608 req, miss ratio 0.4683, byte miss ratio 0.4683
result/tencentBlock.ns18981.oracleGeneral.zst Cacheus cache size     2150, 1666608 req, miss ratio 0.4199, byte miss ratio 0.4199
result/tencentBlock.ns18981.oracleGeneral.zst Cacheus cache size     6452, 1666608 req, miss ratio 0.3844, byte miss ratio 0.3844
result/tencentBlock.ns18981.oracleGeneral.zst Cacheus cache size    21508, 1666608 req, miss ratio 0.3476, byte miss ratio 0.3476
result/tencentBlock.ns18981.oracleGeneral.zst Cacheus cache size    43017, 1666608 req, miss ratio 0.3090, byte miss ratio 0.3090
result/tencentBlock.ns18981.oracleGeneral.zst Cacheus cache size    86034, 1666608 req, miss ratio 0.1786, byte miss ratio 0.1786
result/tencentBlock.ns18981.oracleGeneral.zst Cacheus cache size   172068, 1666608 req, miss ratio 0.1299, byte miss ratio 0.1299
result/tencentBlock.ns18981.oracleGeneral.zst FIFO cache size      215, 1666608 req, miss ratio 0.6477, byte miss ratio 0.6477
result/tencentBlock.ns18981.oracleGeneral.zst FIFO cache size      645, 1666608 req, miss ratio 0.5276, byte miss ratio 0.5276
result/tencentBlock.ns18981.oracleGeneral.zst FIFO cache size     2150, 1666608 req, miss ratio 0.4671, byte miss ratio 0.4671
result/tencentBlock.ns18981.oracleGeneral.zst FIFO cache size     6452, 1666608 req, miss ratio 0.4260, byte miss ratio 0.4260
result/tencentBlock.ns18981.oracleGeneral.zst FIFO cache size    21508, 1666608 req, miss ratio 0.3680, byte miss ratio 0.3680
result/tencentBlock.ns18981.oracleGeneral.zst FIFO cache size    43017, 1666608 req, miss ratio 0.3318, byte miss ratio 0.3318
