result/tencentBlock.ns19067.oracleGeneral.zst LHD cache size      623, 3914028 req, miss ratio 0.6021, byte miss ratio 0.6021
result/tencentBlock.ns19067.oracleGeneral.zst LHD cache size     1870, 3914028 req, miss ratio 0.5688, byte miss ratio 0.5688
result/tencentBlock.ns19067.oracleGeneral.zst LHD cache size     6236, 3914028 req, miss ratio 0.5225, byte miss ratio 0.5225
result/tencentBlock.ns19067.oracleGeneral.zst LHD cache size    18708, 3914028 req, miss ratio 0.4798, byte miss ratio 0.4798
result/tencentBlock.ns19067.oracleGeneral.zst LHD cache size    62360, 3914028 req, miss ratio 0.3831, byte miss ratio 0.3831
result/tencentBlock.ns19067.oracleGeneral.zst LHD cache size   124720, 3914028 req, miss ratio 0.2860, byte miss ratio 0.2860
result/tencentBlock.ns19067.oracleGeneral.zst LHD cache size   249440, 3914028 req, miss ratio 0.1976, byte miss ratio 0.1976
result/tencentBlock.ns19067.oracleGeneral.zst LHD cache size   498880, 3914028 req, miss ratio 0.1624, byte miss ratio 0.1624
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-1 cache size      623, 3914028 req, miss ratio 0.5870, byte miss ratio 0.5870
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-1 cache size     1870, 3914028 req, miss ratio 0.5380, byte miss ratio 0.5380
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-1 cache size     6236, 3914028 req, miss ratio 0.5060, byte miss ratio 0.5060
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-1 cache size    18708, 3914028 req, miss ratio 0.4636, byte miss ratio 0.4636
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-1 cache size    62360, 3914028 req, miss ratio 0.3685, byte miss ratio 0.3685
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-1 cache size   124720, 3914028 req, miss ratio 0.2679, byte miss ratio 0.2679
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-1 cache size   249440, 3914028 req, miss ratio 0.1963, byte miss ratio 0.1963
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-1 cache size   498880, 3914028 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns19067.oracleGeneral.zst ARC cache size      623, 3914028 req, miss ratio 0.5845, byte miss ratio 0.5845
result/tencentBlock.ns19067.oracleGeneral.zst ARC cache size     1870, 3914028 req, miss ratio 0.5497, byte miss ratio 0.5497
result/tencentBlock.ns19067.oracleGeneral.zst ARC cache size     6236, 3914028 req, miss ratio 0.5094, byte miss ratio 0.5094
result/tencentBlock.ns19067.oracleGeneral.zst ARC cache size    18708, 3914028 req, miss ratio 0.4680, byte miss ratio 0.4680
result/tencentBlock.ns19067.oracleGeneral.zst ARC cache size    62360, 3914028 req, miss ratio 0.3721, byte miss ratio 0.3721
result/tencentBlock.ns19067.oracleGeneral.zst ARC cache size   124720, 3914028 req, miss ratio 0.2717, byte miss ratio 0.2717
result/tencentBlock.ns19067.oracleGeneral.zst ARC cache size   249440, 3914028 req, miss ratio 0.1966, byte miss ratio 0.1966
result/tencentBlock.ns19067.oracleGeneral.zst ARC cache size   498880, 3914028 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns19067.oracleGeneral.zst LRU cache size      623, 3914028 req, miss ratio 0.6083, byte miss ratio 0.6083
result/tencentBlock.ns19067.oracleGeneral.zst LRU cache size     1870, 3914028 req, miss ratio 0.5769, byte miss ratio 0.5769
result/tencentBlock.ns19067.oracleGeneral.zst LRU cache size     6236, 3914028 req, miss ratio 0.5393, byte miss ratio 0.5393
result/tencentBlock.ns19067.oracleGeneral.zst LRU cache size    18708, 3914028 req, miss ratio 0.4944, byte miss ratio 0.4944
result/tencentBlock.ns19067.oracleGeneral.zst LRU cache size    62360, 3914028 req, miss ratio 0.3983, byte miss ratio 0.3983
result/tencentBlock.ns19067.oracleGeneral.zst LRU cache size   124720, 3914028 req, miss ratio 0.2987, byte miss ratio 0.2987
result/tencentBlock.ns19067.oracleGeneral.zst LRU cache size   249440, 3914028 req, miss ratio 0.2058, byte miss ratio 0.2058
result/tencentBlock.ns19067.oracleGeneral.zst LRU cache size   498880, 3914028 req, miss ratio 0.1635, byte miss ratio 0.1635
result/tencentBlock.ns19067.oracleGeneral.zst Clock cache size      623, 3914028 req, miss ratio 0.6069, byte miss ratio 0.6069
result/tencentBlock.ns19067.oracleGeneral.zst Clock cache size     1870, 3914028 req, miss ratio 0.5753, byte miss ratio 0.5753
result/tencentBlock.ns19067.oracleGeneral.zst Clock cache size     6236, 3914028 req, miss ratio 0.5339, byte miss ratio 0.5339
result/tencentBlock.ns19067.oracleGeneral.zst Clock cache size    18708, 3914028 req, miss ratio 0.4899, byte miss ratio 0.4899
result/tencentBlock.ns19067.oracleGeneral.zst Clock cache size    62360, 3914028 req, miss ratio 0.3953, byte miss ratio 0.3953
result/tencentBlock.ns19067.oracleGeneral.zst Clock cache size   124720, 3914028 req, miss ratio 0.2988, byte miss ratio 0.2988
result/tencentBlock.ns19067.oracleGeneral.zst Clock cache size   249440, 3914028 req, miss ratio 0.2048, byte miss ratio 0.2048
result/tencentBlock.ns19067.oracleGeneral.zst Clock cache size   498880, 3914028 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns19067.oracleGeneral.zst LIRS cache size      623, 3914028 req, miss ratio 0.6068, byte miss ratio 0.6068
result/tencentBlock.ns19067.oracleGeneral.zst LIRS cache size     1870, 3914028 req, miss ratio 0.5624, byte miss ratio 0.5624
