result/tencentBlock.ns19342.oracleGeneral.zst LeCaR cache size       84, 3163841 req, miss ratio 0.4715, byte miss ratio 0.4715
result/tencentBlock.ns19342.oracleGeneral.zst LeCaR cache size      252, 3163841 req, miss ratio 0.3203, byte miss ratio 0.3203
result/tencentBlock.ns19342.oracleGeneral.zst LeCaR cache size      842, 3163841 req, miss ratio 0.1717, byte miss ratio 0.1717
result/tencentBlock.ns19342.oracleGeneral.zst LeCaR cache size     2527, 3163841 req, miss ratio 0.1661, byte miss ratio 0.1661
result/tencentBlock.ns19342.oracleGeneral.zst LeCaR cache size     8424, 3163841 req, miss ratio 0.1528, byte miss ratio 0.1528
result/tencentBlock.ns19342.oracleGeneral.zst LeCaR cache size    16848, 3163841 req, miss ratio 0.1498, byte miss ratio 0.1498
result/tencentBlock.ns19342.oracleGeneral.zst LeCaR cache size    33696, 3163841 req, miss ratio 0.1083, byte miss ratio 0.1083
result/tencentBlock.ns19342.oracleGeneral.zst LeCaR cache size    67392, 3163841 req, miss ratio 0.0287, byte miss ratio 0.0287
result/tencentBlock.ns19342.oracleGeneral.zst clock2 cache size       84, 3163841 req, miss ratio 0.4889, byte miss ratio 0.4889
result/tencentBlock.ns19342.oracleGeneral.zst clock2 cache size      252, 3163841 req, miss ratio 0.3563, byte miss ratio 0.3563
result/tencentBlock.ns19342.oracleGeneral.zst clock2 cache size      842, 3163841 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns19342.oracleGeneral.zst clock2 cache size     2527, 3163841 req, miss ratio 0.1667, byte miss ratio 0.1667
result/tencentBlock.ns19342.oracleGeneral.zst clock2 cache size     8424, 3163841 req, miss ratio 0.1595, byte miss ratio 0.1595
result/tencentBlock.ns19342.oracleGeneral.zst clock2 cache size    16848, 3163841 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns19342.oracleGeneral.zst clock2 cache size    33696, 3163841 req, miss ratio 0.1195, byte miss ratio 0.1195
result/tencentBlock.ns19342.oracleGeneral.zst clock2 cache size    67392, 3163841 req, miss ratio 0.0310, byte miss ratio 0.0310
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-1 cache size       84, 3163841 req, miss ratio 0.3979, byte miss ratio 0.3979
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-1 cache size      252, 3163841 req, miss ratio 0.2710, byte miss ratio 0.2710
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-1 cache size      842, 3163841 req, miss ratio 0.1682, byte miss ratio 0.1682
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-1 cache size     2527, 3163841 req, miss ratio 0.1600, byte miss ratio 0.1600
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-1 cache size     8424, 3163841 req, miss ratio 0.1498, byte miss ratio 0.1498
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-1 cache size    16848, 3163841 req, miss ratio 0.1253, byte miss ratio 0.1253
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-1 cache size    33696, 3163841 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-1 cache size    67392, 3163841 req, miss ratio 0.0277, byte miss ratio 0.0277
result/tencentBlock.ns19342.oracleGeneral.zst LRU cache size       84, 3163841 req, miss ratio 0.5039, byte miss ratio 0.5039
result/tencentBlock.ns19342.oracleGeneral.zst LRU cache size      252, 3163841 req, miss ratio 0.3734, byte miss ratio 0.3734
result/tencentBlock.ns19342.oracleGeneral.zst LRU cache size      842, 3163841 req, miss ratio 0.1740, byte miss ratio 0.1740
result/tencentBlock.ns19342.oracleGeneral.zst LRU cache size     2527, 3163841 req, miss ratio 0.1684, byte miss ratio 0.1684
result/tencentBlock.ns19342.oracleGeneral.zst LRU cache size     8424, 3163841 req, miss ratio 0.1611, byte miss ratio 0.1611
result/tencentBlock.ns19342.oracleGeneral.zst LRU cache size    16848, 3163841 req, miss ratio 0.1593, byte miss ratio 0.1593
result/tencentBlock.ns19342.oracleGeneral.zst LRU cache size    33696, 3163841 req, miss ratio 0.1289, byte miss ratio 0.1289
result/tencentBlock.ns19342.oracleGeneral.zst LRU cache size    67392, 3163841 req, miss ratio 0.0345, byte miss ratio 0.0345
result/tencentBlock.ns19342.oracleGeneral.zst Cacheus cache size       84, 3163841 req, miss ratio 0.3907, byte miss ratio 0.3907
result/tencentBlock.ns19342.oracleGeneral.zst Cacheus cache size      252, 3163841 req, miss ratio 0.3290, byte miss ratio 0.3290
result/tencentBlock.ns19342.oracleGeneral.zst Cacheus cache size      842, 3163841 req, miss ratio 0.1704, byte miss ratio 0.1704
result/tencentBlock.ns19342.oracleGeneral.zst Cacheus cache size     2527, 3163841 req, miss ratio 0.1619, byte miss ratio 0.1619
result/tencentBlock.ns19342.oracleGeneral.zst Cacheus cache size     8424, 3163841 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns19342.oracleGeneral.zst Cacheus cache size    16848, 3163841 req, miss ratio 0.1244, byte miss ratio 0.1244
result/tencentBlock.ns19342.oracleGeneral.zst Cacheus cache size    33696, 3163841 req, miss ratio 0.1016, byte miss ratio 0.1016
result/tencentBlock.ns19342.oracleGeneral.zst Cacheus cache size    67392, 3163841 req, miss ratio 0.0312, byte miss ratio 0.0312
result/tencentBlock.ns19342.oracleGeneral.zst FIFO cache size       84, 3163841 req, miss ratio 0.5785, byte miss ratio 0.5785
result/tencentBlock.ns19342.oracleGeneral.zst FIFO cache size      252, 3163841 req, miss ratio 0.4199, byte miss ratio 0.4199
result/tencentBlock.ns19342.oracleGeneral.zst FIFO cache size      842, 3163841 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns19342.oracleGeneral.zst FIFO cache size     2527, 3163841 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns19342.oracleGeneral.zst FIFO cache size     8424, 3163841 req, miss ratio 0.1661, byte miss ratio 0.1661
result/tencentBlock.ns19342.oracleGeneral.zst FIFO cache size    16848, 3163841 req, miss ratio 0.1625, byte miss ratio 0.1625
result/tencentBlock.ns19342.oracleGeneral.zst FIFO cache size    33696, 3163841 req, miss ratio 0.1409, byte miss ratio 0.1409
result/tencentBlock.ns19342.oracleGeneral.zst FIFO cache size    67392, 3163841 req, miss ratio 0.0453, byte miss ratio 0.0453
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size       84, 3163841 req, miss ratio 0.4915, byte miss ratio 0.4915
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size      252, 3163841 req, miss ratio 0.3643, byte miss ratio 0.3643
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size      842, 3163841 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size     2527, 3163841 req, miss ratio 0.1675, byte miss ratio 0.1675
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size     8424, 3163841 req, miss ratio 0.1603, byte miss ratio 0.1603
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size    16848, 3163841 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size    33696, 3163841 req, miss ratio 0.1233, byte miss ratio 0.1233
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size    67392, 3163841 req, miss ratio 0.0382, byte miss ratio 0.0382
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size       84, 3163841 req, miss ratio 0.3903, byte miss ratio 0.3903
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size      252, 3163841 req, miss ratio 0.2988, byte miss ratio 0.2988
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size      842, 3163841 req, miss ratio 0.1682, byte miss ratio 0.1682
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size     2527, 3163841 req, miss ratio 0.1621, byte miss ratio 0.1621
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size     8424, 3163841 req, miss ratio 0.1485, byte miss ratio 0.1485
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size    16848, 3163841 req, miss ratio 0.1443, byte miss ratio 0.1443
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size    33696, 3163841 req, miss ratio 0.1044, byte miss ratio 0.1044
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size    67392, 3163841 req, miss ratio 0.0271, byte miss ratio 0.0271
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size       84, 3163841 req, miss ratio 0.3920, byte miss ratio 0.3920
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size      252, 3163841 req, miss ratio 0.2470, byte miss ratio 0.2470
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size      842, 3163841 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size     2527, 3163841 req, miss ratio 0.1635, byte miss ratio 0.1635
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size     8424, 3163841 req, miss ratio 0.1443, byte miss ratio 0.1443
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size    16848, 3163841 req, miss ratio 0.1192, byte miss ratio 0.1192
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size    33696, 3163841 req, miss ratio 0.0943, byte miss ratio 0.0943
