result/tencentBlock.ns19618.oracleGeneral.zst LIRS cache size      276, 3270647 req, miss ratio 0.4674, byte miss ratio 0.4674
result/tencentBlock.ns19618.oracleGeneral.zst LIRS cache size      829, 3270647 req, miss ratio 0.3873, byte miss ratio 0.3873
result/tencentBlock.ns19618.oracleGeneral.zst LIRS cache size     2765, 3270647 req, miss ratio 0.2878, byte miss ratio 0.2878
result/tencentBlock.ns19618.oracleGeneral.zst LIRS cache size     8296, 3270647 req, miss ratio 0.2583, byte miss ratio 0.2583
result/tencentBlock.ns19618.oracleGeneral.zst LIRS cache size    27656, 3270647 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns19618.oracleGeneral.zst LIRS cache size    55312, 3270647 req, miss ratio 0.1690, byte miss ratio 0.1690
result/tencentBlock.ns19618.oracleGeneral.zst LIRS cache size   110625, 3270647 req, miss ratio 0.1119, byte miss ratio 0.1119
result/tencentBlock.ns19618.oracleGeneral.zst LIRS cache size   221250, 3270647 req, miss ratio 0.0866, byte miss ratio 0.0866
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-1 cache size      276, 3270647 req, miss ratio 0.4621, byte miss ratio 0.4621
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-1 cache size      829, 3270647 req, miss ratio 0.3712, byte miss ratio 0.3712
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-1 cache size     2765, 3270647 req, miss ratio 0.2757, byte miss ratio 0.2757
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-1 cache size     8296, 3270647 req, miss ratio 0.2573, byte miss ratio 0.2573
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-1 cache size    27656, 3270647 req, miss ratio 0.2158, byte miss ratio 0.2158
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-1 cache size    55312, 3270647 req, miss ratio 0.1844, byte miss ratio 0.1844
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-1 cache size   110625, 3270647 req, miss ratio 0.1112, byte miss ratio 0.1112
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-1 cache size   221250, 3270647 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns19618.oracleGeneral.zst clock2 cache size      276, 3270647 req, miss ratio 0.4864, byte miss ratio 0.4864
result/tencentBlock.ns19618.oracleGeneral.zst clock2 cache size      829, 3270647 req, miss ratio 0.4025, byte miss ratio 0.4025
result/tencentBlock.ns19618.oracleGeneral.zst clock2 cache size     2765, 3270647 req, miss ratio 0.2949, byte miss ratio 0.2949
result/tencentBlock.ns19618.oracleGeneral.zst clock2 cache size     8296, 3270647 req, miss ratio 0.2638, byte miss ratio 0.2638
result/tencentBlock.ns19618.oracleGeneral.zst clock2 cache size    27656, 3270647 req, miss ratio 0.2218, byte miss ratio 0.2218
result/tencentBlock.ns19618.oracleGeneral.zst clock2 cache size    55312, 3270647 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns19618.oracleGeneral.zst clock2 cache size   110625, 3270647 req, miss ratio 0.1230, byte miss ratio 0.1230
result/tencentBlock.ns19618.oracleGeneral.zst clock2 cache size   221250, 3270647 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns19618.oracleGeneral.zst LeCaR cache size      276, 3270647 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns19618.oracleGeneral.zst LeCaR cache size      829, 3270647 req, miss ratio 0.4048, byte miss ratio 0.4048
result/tencentBlock.ns19618.oracleGeneral.zst LeCaR cache size     2765, 3270647 req, miss ratio 0.2915, byte miss ratio 0.2915
result/tencentBlock.ns19618.oracleGeneral.zst LeCaR cache size     8296, 3270647 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns19618.oracleGeneral.zst LeCaR cache size    27656, 3270647 req, miss ratio 0.2182, byte miss ratio 0.2182
result/tencentBlock.ns19618.oracleGeneral.zst LeCaR cache size    55312, 3270647 req, miss ratio 0.1855, byte miss ratio 0.1855
result/tencentBlock.ns19618.oracleGeneral.zst LeCaR cache size   110625, 3270647 req, miss ratio 0.1100, byte miss ratio 0.1100
result/tencentBlock.ns19618.oracleGeneral.zst LeCaR cache size   221250, 3270647 req, miss ratio 0.0848, byte miss ratio 0.0848
result/tencentBlock.ns19618.oracleGeneral.zst Clock cache size      276, 3270647 req, miss ratio 0.4908, byte miss ratio 0.4908
result/tencentBlock.ns19618.oracleGeneral.zst Clock cache size      829, 3270647 req, miss ratio 0.4036, byte miss ratio 0.4036
result/tencentBlock.ns19618.oracleGeneral.zst Clock cache size     2765, 3270647 req, miss ratio 0.3068, byte miss ratio 0.3068
result/tencentBlock.ns19618.oracleGeneral.zst Clock cache size     8296, 3270647 req, miss ratio 0.2655, byte miss ratio 0.2655
