result/tencentBlock.ns21298.oracleGeneral.zst ARC cache size      150, 1586158 req, miss ratio 0.4255, byte miss ratio 0.4255
result/tencentBlock.ns21298.oracleGeneral.zst ARC cache size      451, 1586158 req, miss ratio 0.4066, byte miss ratio 0.4066
result/tencentBlock.ns21298.oracleGeneral.zst ARC cache size     1505, 1586158 req, miss ratio 0.4007, byte miss ratio 0.4007
result/tencentBlock.ns21298.oracleGeneral.zst ARC cache size     4515, 1586158 req, miss ratio 0.3983, byte miss ratio 0.3983
result/tencentBlock.ns21298.oracleGeneral.zst ARC cache size    15052, 1586158 req, miss ratio 0.3712, byte miss ratio 0.3712
result/tencentBlock.ns21298.oracleGeneral.zst ARC cache size    30104, 1586158 req, miss ratio 0.3151, byte miss ratio 0.3151
result/tencentBlock.ns21298.oracleGeneral.zst ARC cache size    60209, 1586158 req, miss ratio 0.2560, byte miss ratio 0.2560
result/tencentBlock.ns21298.oracleGeneral.zst ARC cache size   120419, 1586158 req, miss ratio 0.1149, byte miss ratio 0.1149
result/tencentBlock.ns21298.oracleGeneral.zst FIFO cache size      150, 1586158 req, miss ratio 0.5832, byte miss ratio 0.5832
result/tencentBlock.ns21298.oracleGeneral.zst FIFO cache size      451, 1586158 req, miss ratio 0.4695, byte miss ratio 0.4695
result/tencentBlock.ns21298.oracleGeneral.zst FIFO cache size     1505, 1586158 req, miss ratio 0.4216, byte miss ratio 0.4216
result/tencentBlock.ns21298.oracleGeneral.zst FIFO cache size     4515, 1586158 req, miss ratio 0.4069, byte miss ratio 0.4069
result/tencentBlock.ns21298.oracleGeneral.zst FIFO cache size    15052, 1586158 req, miss ratio 0.3675, byte miss ratio 0.3675
result/tencentBlock.ns21298.oracleGeneral.zst FIFO cache size    30104, 1586158 req, miss ratio 0.3372, byte miss ratio 0.3372
result/tencentBlock.ns21298.oracleGeneral.zst FIFO cache size    60209, 1586158 req, miss ratio 0.2299, byte miss ratio 0.2299
result/tencentBlock.ns21298.oracleGeneral.zst FIFO cache size   120419, 1586158 req, miss ratio 0.1359, byte miss ratio 0.1359
result/tencentBlock.ns21298.oracleGeneral.zst Cacheus cache size      150, 1586158 req, miss ratio 0.4302, byte miss ratio 0.4302
result/tencentBlock.ns21298.oracleGeneral.zst Cacheus cache size      451, 1586158 req, miss ratio 0.4055, byte miss ratio 0.4055
result/tencentBlock.ns21298.oracleGeneral.zst Cacheus cache size     1505, 1586158 req, miss ratio 0.4002, byte miss ratio 0.4002
result/tencentBlock.ns21298.oracleGeneral.zst Cacheus cache size     4515, 1586158 req, miss ratio 0.3984, byte miss ratio 0.3984
result/tencentBlock.ns21298.oracleGeneral.zst Cacheus cache size    15052, 1586158 req, miss ratio 0.3622, byte miss ratio 0.3622
result/tencentBlock.ns21298.oracleGeneral.zst Cacheus cache size    30104, 1586158 req, miss ratio 0.3225, byte miss ratio 0.3225
result/tencentBlock.ns21298.oracleGeneral.zst Cacheus cache size    60209, 1586158 req, miss ratio 0.2319, byte miss ratio 0.2319
result/tencentBlock.ns21298.oracleGeneral.zst Cacheus cache size   120419, 1586158 req, miss ratio 0.1139, byte miss ratio 0.1139
result/tencentBlock.ns21298.oracleGeneral.zst LRU cache size      150, 1586158 req, miss ratio 0.4857, byte miss ratio 0.4857
result/tencentBlock.ns21298.oracleGeneral.zst LRU cache size      451, 1586158 req, miss ratio 0.4137, byte miss ratio 0.4137
result/tencentBlock.ns21298.oracleGeneral.zst LRU cache size     1505, 1586158 req, miss ratio 0.4030, byte miss ratio 0.4030
result/tencentBlock.ns21298.oracleGeneral.zst LRU cache size     4515, 1586158 req, miss ratio 0.3994, byte miss ratio 0.3994
result/tencentBlock.ns21298.oracleGeneral.zst LRU cache size    15052, 1586158 req, miss ratio 0.3760, byte miss ratio 0.3760
result/tencentBlock.ns21298.oracleGeneral.zst LRU cache size    30104, 1586158 req, miss ratio 0.3173, byte miss ratio 0.3173
result/tencentBlock.ns21298.oracleGeneral.zst LRU cache size    60209, 1586158 req, miss ratio 0.2196, byte miss ratio 0.2196
result/tencentBlock.ns21298.oracleGeneral.zst LRU cache size   120419, 1586158 req, miss ratio 0.1127, byte miss ratio 0.1127
result/tencentBlock.ns21298.oracleGeneral.zst LHD cache size      150, 1586158 req, miss ratio 0.4778, byte miss ratio 0.4778
result/tencentBlock.ns21298.oracleGeneral.zst LHD cache size      451, 1586158 req, miss ratio 0.4128, byte miss ratio 0.4128
result/tencentBlock.ns21298.oracleGeneral.zst LHD cache size     1505, 1586158 req, miss ratio 0.4019, byte miss ratio 0.4019
result/tencentBlock.ns21298.oracleGeneral.zst LHD cache size     4515, 1586158 req, miss ratio 0.3991, byte miss ratio 0.3991
result/tencentBlock.ns21298.oracleGeneral.zst LHD cache size    15052, 1586158 req, miss ratio 0.3633, byte miss ratio 0.3633
result/tencentBlock.ns21298.oracleGeneral.zst LHD cache size    30104, 1586158 req, miss ratio 0.3128, byte miss ratio 0.3128
result/tencentBlock.ns21298.oracleGeneral.zst LHD cache size    60209, 1586158 req, miss ratio 0.2332, byte miss ratio 0.2332
result/tencentBlock.ns21298.oracleGeneral.zst LHD cache size   120419, 1586158 req, miss ratio 0.1090, byte miss ratio 0.1090
result/tencentBlock.ns21298.oracleGeneral.zst LIRS cache size      150, 1586158 req, miss ratio 0.4769, byte miss ratio 0.4769
result/tencentBlock.ns21298.oracleGeneral.zst LIRS cache size      451, 1586158 req, miss ratio 0.4554, byte miss ratio 0.4554
result/tencentBlock.ns21298.oracleGeneral.zst LIRS cache size     1505, 1586158 req, miss ratio 0.4089, byte miss ratio 0.4089
result/tencentBlock.ns21298.oracleGeneral.zst LIRS cache size     4515, 1586158 req, miss ratio 0.4009, byte miss ratio 0.4009
result/tencentBlock.ns21298.oracleGeneral.zst LIRS cache size    15052, 1586158 req, miss ratio 0.3533, byte miss ratio 0.3533
result/tencentBlock.ns21298.oracleGeneral.zst LIRS cache size    30104, 1586158 req, miss ratio 0.3178, byte miss ratio 0.3178
result/tencentBlock.ns21298.oracleGeneral.zst LIRS cache size    60209, 1586158 req, miss ratio 0.2689, byte miss ratio 0.2689
