result/tencentBlock.ns2252.oracleGeneral.zst clock2 cache size      481, 6346130 req, miss ratio 0.4770, byte miss ratio 0.4770
result/tencentBlock.ns2252.oracleGeneral.zst clock2 cache size     1443, 6346130 req, miss ratio 0.3510, byte miss ratio 0.3510
result/tencentBlock.ns2252.oracleGeneral.zst clock2 cache size     4812, 6346130 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns2252.oracleGeneral.zst clock2 cache size    14438, 6346130 req, miss ratio 0.2374, byte miss ratio 0.2374
result/tencentBlock.ns2252.oracleGeneral.zst clock2 cache size    48127, 6346130 req, miss ratio 0.1977, byte miss ratio 0.1977
result/tencentBlock.ns2252.oracleGeneral.zst clock2 cache size    96254, 6346130 req, miss ratio 0.1835, byte miss ratio 0.1835
result/tencentBlock.ns2252.oracleGeneral.zst clock2 cache size   192508, 6346130 req, miss ratio 0.1159, byte miss ratio 0.1159
result/tencentBlock.ns2252.oracleGeneral.zst clock2 cache size   385016, 6346130 req, miss ratio 0.0782, byte miss ratio 0.0782
result/tencentBlock.ns2252.oracleGeneral.zst LIRS cache size      481, 6346130 req, miss ratio 0.4660, byte miss ratio 0.4660
result/tencentBlock.ns2252.oracleGeneral.zst LIRS cache size     1443, 6346130 req, miss ratio 0.3070, byte miss ratio 0.3070
result/tencentBlock.ns2252.oracleGeneral.zst LIRS cache size     4812, 6346130 req, miss ratio 0.2700, byte miss ratio 0.2700
result/tencentBlock.ns2252.oracleGeneral.zst LIRS cache size    14438, 6346130 req, miss ratio 0.2334, byte miss ratio 0.2334
result/tencentBlock.ns2252.oracleGeneral.zst LIRS cache size    48127, 6346130 req, miss ratio 0.2068, byte miss ratio 0.2068
result/tencentBlock.ns2252.oracleGeneral.zst LIRS cache size    96254, 6346130 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns2252.oracleGeneral.zst LIRS cache size   192508, 6346130 req, miss ratio 0.1063, byte miss ratio 0.1063
result/tencentBlock.ns2252.oracleGeneral.zst LIRS cache size   385016, 6346130 req, miss ratio 0.0786, byte miss ratio 0.0786
result/tencentBlock.ns2252.oracleGeneral.zst FIFO cache size      481, 6346130 req, miss ratio 0.5702, byte miss ratio 0.5702
result/tencentBlock.ns2252.oracleGeneral.zst FIFO cache size     1443, 6346130 req, miss ratio 0.4122, byte miss ratio 0.4122
result/tencentBlock.ns2252.oracleGeneral.zst FIFO cache size     4812, 6346130 req, miss ratio 0.3068, byte miss ratio 0.3068
result/tencentBlock.ns2252.oracleGeneral.zst FIFO cache size    14438, 6346130 req, miss ratio 0.2504, byte miss ratio 0.2504
result/tencentBlock.ns2252.oracleGeneral.zst FIFO cache size    48127, 6346130 req, miss ratio 0.2043, byte miss ratio 0.2043
result/tencentBlock.ns2252.oracleGeneral.zst FIFO cache size    96254, 6346130 req, miss ratio 0.1861, byte miss ratio 0.1861
result/tencentBlock.ns2252.oracleGeneral.zst FIFO cache size   192508, 6346130 req, miss ratio 0.1172, byte miss ratio 0.1172
result/tencentBlock.ns2252.oracleGeneral.zst FIFO cache size   385016, 6346130 req, miss ratio 0.0888, byte miss ratio 0.0888
result/tencentBlock.ns2252.oracleGeneral.zst LRU cache size      481, 6346130 req, miss ratio 0.4824, byte miss ratio 0.4824
result/tencentBlock.ns2252.oracleGeneral.zst LRU cache size     1443, 6346130 req, miss ratio 0.3670, byte miss ratio 0.3670
result/tencentBlock.ns2252.oracleGeneral.zst LRU cache size     4812, 6346130 req, miss ratio 0.2692, byte miss ratio 0.2692
result/tencentBlock.ns2252.oracleGeneral.zst LRU cache size    14438, 6346130 req, miss ratio 0.2361, byte miss ratio 0.2361
result/tencentBlock.ns2252.oracleGeneral.zst LRU cache size    48127, 6346130 req, miss ratio 0.1975, byte miss ratio 0.1975
result/tencentBlock.ns2252.oracleGeneral.zst LRU cache size    96254, 6346130 req, miss ratio 0.1818, byte miss ratio 0.1818
result/tencentBlock.ns2252.oracleGeneral.zst LRU cache size   192508, 6346130 req, miss ratio 0.0978, byte miss ratio 0.0978
result/tencentBlock.ns2252.oracleGeneral.zst LRU cache size   385016, 6346130 req, miss ratio 0.0770, byte miss ratio 0.0770
result/tencentBlock.ns2252.oracleGeneral.zst ARC cache size      481, 6346130 req, miss ratio 0.4644, byte miss ratio 0.4644
result/tencentBlock.ns2252.oracleGeneral.zst ARC cache size     1443, 6346130 req, miss ratio 0.3007, byte miss ratio 0.3007
result/tencentBlock.ns2252.oracleGeneral.zst ARC cache size     4812, 6346130 req, miss ratio 0.2601, byte miss ratio 0.2601
result/tencentBlock.ns2252.oracleGeneral.zst ARC cache size    14438, 6346130 req, miss ratio 0.2302, byte miss ratio 0.2302
result/tencentBlock.ns2252.oracleGeneral.zst ARC cache size    48127, 6346130 req, miss ratio 0.1961, byte miss ratio 0.1961
result/tencentBlock.ns2252.oracleGeneral.zst ARC cache size    96254, 6346130 req, miss ratio 0.1819, byte miss ratio 0.1819
result/tencentBlock.ns2252.oracleGeneral.zst ARC cache size   192508, 6346130 req, miss ratio 0.0949, byte miss ratio 0.0949
result/tencentBlock.ns2252.oracleGeneral.zst ARC cache size   385016, 6346130 req, miss ratio 0.0781, byte miss ratio 0.0781
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-1 cache size      481, 6346130 req, miss ratio 0.4707, byte miss ratio 0.4707
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-1 cache size     1443, 6346130 req, miss ratio 0.2859, byte miss ratio 0.2859
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-1 cache size     4812, 6346130 req, miss ratio 0.2626, byte miss ratio 0.2626
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-1 cache size    14438, 6346130 req, miss ratio 0.2321, byte miss ratio 0.2321
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-1 cache size    48127, 6346130 req, miss ratio 0.2039, byte miss ratio 0.2039
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-1 cache size    96254, 6346130 req, miss ratio 0.1798, byte miss ratio 0.1798
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-1 cache size   192508, 6346130 req, miss ratio 0.0966, byte miss ratio 0.0966
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-1 cache size   385016, 6346130 req, miss ratio 0.0782, byte miss ratio 0.0782
result/tencentBlock.ns2252.oracleGeneral.zst LeCaR cache size      481, 6346130 req, miss ratio 0.4787, byte miss ratio 0.4787
result/tencentBlock.ns2252.oracleGeneral.zst LeCaR cache size     1443, 6346130 req, miss ratio 0.3483, byte miss ratio 0.3483
result/tencentBlock.ns2252.oracleGeneral.zst LeCaR cache size     4812, 6346130 req, miss ratio 0.2641, byte miss ratio 0.2641
result/tencentBlock.ns2252.oracleGeneral.zst LeCaR cache size    14438, 6346130 req, miss ratio 0.2346, byte miss ratio 0.2346
result/tencentBlock.ns2252.oracleGeneral.zst LeCaR cache size    48127, 6346130 req, miss ratio 0.1964, byte miss ratio 0.1964
result/tencentBlock.ns2252.oracleGeneral.zst LeCaR cache size    96254, 6346130 req, miss ratio 0.1805, byte miss ratio 0.1805
result/tencentBlock.ns2252.oracleGeneral.zst LeCaR cache size   192508, 6346130 req, miss ratio 0.0960, byte miss ratio 0.0960
result/tencentBlock.ns2252.oracleGeneral.zst LeCaR cache size   385016, 6346130 req, miss ratio 0.0775, byte miss ratio 0.0775
result/tencentBlock.ns2252.oracleGeneral.zst LHD cache size      481, 6346130 req, miss ratio 0.4789, byte miss ratio 0.4789
result/tencentBlock.ns2252.oracleGeneral.zst LHD cache size     1443, 6346130 req, miss ratio 0.3248, byte miss ratio 0.3248
result/tencentBlock.ns2252.oracleGeneral.zst LHD cache size     4812, 6346130 req, miss ratio 0.2624, byte miss ratio 0.2624
result/tencentBlock.ns2252.oracleGeneral.zst LHD cache size    14438, 6346130 req, miss ratio 0.2301, byte miss ratio 0.2301
result/tencentBlock.ns2252.oracleGeneral.zst LHD cache size    48127, 6346130 req, miss ratio 0.1917, byte miss ratio 0.1917
result/tencentBlock.ns2252.oracleGeneral.zst LHD cache size    96254, 6346130 req, miss ratio 0.1529, byte miss ratio 0.1529
result/tencentBlock.ns2252.oracleGeneral.zst LHD cache size   192508, 6346130 req, miss ratio 0.0939, byte miss ratio 0.0939
result/tencentBlock.ns2252.oracleGeneral.zst LHD cache size   385016, 6346130 req, miss ratio 0.0770, byte miss ratio 0.0770
result/tencentBlock.ns2252.oracleGeneral.zst Clock cache size      481, 6346130 req, miss ratio 0.4775, byte miss ratio 0.4775
result/tencentBlock.ns2252.oracleGeneral.zst Clock cache size     1443, 6346130 req, miss ratio 0.3587, byte miss ratio 0.3587
result/tencentBlock.ns2252.oracleGeneral.zst Clock cache size     4812, 6346130 req, miss ratio 0.2666, byte miss ratio 0.2666
result/tencentBlock.ns2252.oracleGeneral.zst Clock cache size    14438, 6346130 req, miss ratio 0.2367, byte miss ratio 0.2367
result/tencentBlock.ns2252.oracleGeneral.zst Clock cache size    48127, 6346130 req, miss ratio 0.1968, byte miss ratio 0.1968
result/tencentBlock.ns2252.oracleGeneral.zst Clock cache size    96254, 6346130 req, miss ratio 0.1814, byte miss ratio 0.1814
result/tencentBlock.ns2252.oracleGeneral.zst Clock cache size   192508, 6346130 req, miss ratio 0.1007, byte miss ratio 0.1007
result/tencentBlock.ns2252.oracleGeneral.zst Clock cache size   385016, 6346130 req, miss ratio 0.0783, byte miss ratio 0.0783
result/tencentBlock.ns2252.oracleGeneral.zst Cacheus cache size      481, 6346130 req, miss ratio 0.4630, byte miss ratio 0.4630
result/tencentBlock.ns2252.oracleGeneral.zst Cacheus cache size     1443, 6346130 req, miss ratio 0.3300, byte miss ratio 0.3300
result/tencentBlock.ns2252.oracleGeneral.zst Cacheus cache size     4812, 6346130 req, miss ratio 0.2602, byte miss ratio 0.2602
result/tencentBlock.ns2252.oracleGeneral.zst Cacheus cache size    14438, 6346130 req, miss ratio 0.2343, byte miss ratio 0.2343
result/tencentBlock.ns2252.oracleGeneral.zst Cacheus cache size    48127, 6346130 req, miss ratio 0.1938, byte miss ratio 0.1938
result/tencentBlock.ns2252.oracleGeneral.zst Cacheus cache size    96254, 6346130 req, miss ratio 0.1713, byte miss ratio 0.1713
result/tencentBlock.ns2252.oracleGeneral.zst Cacheus cache size   192508, 6346130 req, miss ratio 0.1011, byte miss ratio 0.1011
result/tencentBlock.ns2252.oracleGeneral.zst Cacheus cache size   385016, 6346130 req, miss ratio 0.0794, byte miss ratio 0.0794
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d-1 cache size      481, 6346130 req, miss ratio 0.4659, byte miss ratio 0.4659
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d-1 cache size     1443, 6346130 req, miss ratio 0.2856, byte miss ratio 0.2856
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d-1 cache size     4812, 6346130 req, miss ratio 0.2621, byte miss ratio 0.2621
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d-1 cache size    14438, 6346130 req, miss ratio 0.2317, byte miss ratio 0.2317
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d-1 cache size    48127, 6346130 req, miss ratio 0.1995, byte miss ratio 0.1995
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d-1 cache size    96254, 6346130 req, miss ratio 0.1809, byte miss ratio 0.1809
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d-1 cache size   192508, 6346130 req, miss ratio 0.0963, byte miss ratio 0.0963
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d-1 cache size   385016, 6346130 req, miss ratio 0.0782, byte miss ratio 0.0782
result/tencentBlock.ns2252.oracleGeneral.zst LRB cache size      481, 6346130 req, miss ratio 0.4916, byte miss ratio 0.4916
result/tencentBlock.ns2252.oracleGeneral.zst LRB cache size     1443, 6346130 req, miss ratio 0.3124, byte miss ratio 0.3124
result/tencentBlock.ns2252.oracleGeneral.zst LRB cache size     4812, 6346130 req, miss ratio 0.2742, byte miss ratio 0.2742
result/tencentBlock.ns2252.oracleGeneral.zst LRB cache size    14438, 6346130 req, miss ratio 0.2428, byte miss ratio 0.2428
result/tencentBlock.ns2252.oracleGeneral.zst LRB cache size    48127, 6346130 req, miss ratio 0.2010, byte miss ratio 0.2010
result/tencentBlock.ns2252.oracleGeneral.zst LRB cache size    96254, 6346130 req, miss ratio 0.1594, byte miss ratio 0.1594
result/tencentBlock.ns2252.oracleGeneral.zst LRB cache size   192508, 6346130 req, miss ratio 0.0922, byte miss ratio 0.0922
result/tencentBlock.ns2252.oracleGeneral.zst LRB cache size   385016, 6346130 req, miss ratio 0.0783, byte miss ratio 0.0783
result/tencentBlock.ns2252.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      481, 6346130 req, miss ratio 0.5084, byte miss ratio 0.5084
result/tencentBlock.ns2252.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1443, 6346130 req, miss ratio 0.3743, byte miss ratio 0.3743
result/tencentBlock.ns2252.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4812, 6346130 req, miss ratio 0.2798, byte miss ratio 0.2798
result/tencentBlock.ns2252.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14438, 6346130 req, miss ratio 0.2482, byte miss ratio 0.2482
result/tencentBlock.ns2252.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    48127, 6346130 req, miss ratio 0.2045, byte miss ratio 0.2045
result/tencentBlock.ns2252.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    96254, 6346130 req, miss ratio 0.1804, byte miss ratio 0.1804
result/tencentBlock.ns2252.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   192508, 6346130 req, miss ratio 0.1280, byte miss ratio 0.1280
result/tencentBlock.ns2252.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   385016, 6346130 req, miss ratio 0.0869, byte miss ratio 0.0869
result/tencentBlock.ns2252.oracleGeneral.zst TwoQ cache size      481, 6346130 req, miss ratio 0.4660, byte miss ratio 0.4660
result/tencentBlock.ns2252.oracleGeneral.zst TwoQ cache size     1443, 6346130 req, miss ratio 0.3009, byte miss ratio 0.3009
result/tencentBlock.ns2252.oracleGeneral.zst TwoQ cache size     4812, 6346130 req, miss ratio 0.2638, byte miss ratio 0.2638
result/tencentBlock.ns2252.oracleGeneral.zst TwoQ cache size    14438, 6346130 req, miss ratio 0.2369, byte miss ratio 0.2369
result/tencentBlock.ns2252.oracleGeneral.zst TwoQ cache size    48127, 6346130 req, miss ratio 0.2020, byte miss ratio 0.2020
result/tencentBlock.ns2252.oracleGeneral.zst TwoQ cache size    96254, 6346130 req, miss ratio 0.1477, byte miss ratio 0.1477
result/tencentBlock.ns2252.oracleGeneral.zst TwoQ cache size   192508, 6346130 req, miss ratio 0.1002, byte miss ratio 0.1002
result/tencentBlock.ns2252.oracleGeneral.zst TwoQ cache size   385016, 6346130 req, miss ratio 0.0888, byte miss ratio 0.0888
result/tencentBlock.ns2252.oracleGeneral.zst B-LRU cache size      481, 6346130 req, miss ratio 0.4925, byte miss ratio 0.4925
result/tencentBlock.ns2252.oracleGeneral.zst B-LRU cache size     1443, 6346130 req, miss ratio 0.3736, byte miss ratio 0.3736
result/tencentBlock.ns2252.oracleGeneral.zst B-LRU cache size     4812, 6346130 req, miss ratio 0.2897, byte miss ratio 0.2897
result/tencentBlock.ns2252.oracleGeneral.zst B-LRU cache size    14438, 6346130 req, miss ratio 0.2612, byte miss ratio 0.2612
result/tencentBlock.ns2252.oracleGeneral.zst B-LRU cache size    48127, 6346130 req, miss ratio 0.2344, byte miss ratio 0.2344
result/tencentBlock.ns2252.oracleGeneral.zst B-LRU cache size    96254, 6346130 req, miss ratio 0.2186, byte miss ratio 0.2186
result/tencentBlock.ns2252.oracleGeneral.zst B-LRU cache size   192508, 6346130 req, miss ratio 0.1456, byte miss ratio 0.1456
result/tencentBlock.ns2252.oracleGeneral.zst B-LRU cache size   385016, 6346130 req, miss ratio 0.1379, byte miss ratio 0.1379
result/tencentBlock.ns2252.oracleGeneral.zst S4LRU(25:25:25:25) cache size      481, 6346130 req, miss ratio 0.4843, byte miss ratio 0.4843
result/tencentBlock.ns2252.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1443, 6346130 req, miss ratio 0.3081, byte miss ratio 0.3081
result/tencentBlock.ns2252.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4812, 6346130 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns2252.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14438, 6346130 req, miss ratio 0.2428, byte miss ratio 0.2428
result/tencentBlock.ns2252.oracleGeneral.zst S4LRU(25:25:25:25) cache size    48127, 6346130 req, miss ratio 0.2074, byte miss ratio 0.2074
result/tencentBlock.ns2252.oracleGeneral.zst S4LRU(25:25:25:25) cache size    96254, 6346130 req, miss ratio 0.1733, byte miss ratio 0.1733
result/tencentBlock.ns2252.oracleGeneral.zst S4LRU(25:25:25:25) cache size   192508, 6346130 req, miss ratio 0.1097, byte miss ratio 0.1097
result/tencentBlock.ns2252.oracleGeneral.zst S4LRU(25:25:25:25) cache size   385016, 6346130 req, miss ratio 0.0781, byte miss ratio 0.0781
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO cache size      481, 6346130 req, miss ratio 0.4723, byte miss ratio 0.4723
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO cache size     1443, 6346130 req, miss ratio 0.2816, byte miss ratio 0.2816
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO cache size     4812, 6346130 req, miss ratio 0.2633, byte miss ratio 0.2633
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO cache size    14438, 6346130 req, miss ratio 0.2349, byte miss ratio 0.2349
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO cache size    48127, 6346130 req, miss ratio 0.2064, byte miss ratio 0.2064
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO cache size    96254, 6346130 req, miss ratio 0.1766, byte miss ratio 0.1766
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO cache size   192508, 6346130 req, miss ratio 0.0978, byte miss ratio 0.0978
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO cache size   385016, 6346130 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d cache size      481, 6346130 req, miss ratio 0.4670, byte miss ratio 0.4670
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d cache size     1443, 6346130 req, miss ratio 0.2862, byte miss ratio 0.2862
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d cache size     4812, 6346130 req, miss ratio 0.2625, byte miss ratio 0.2625
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d cache size    14438, 6346130 req, miss ratio 0.2342, byte miss ratio 0.2342
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d cache size    48127, 6346130 req, miss ratio 0.2019, byte miss ratio 0.2019
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d cache size    96254, 6346130 req, miss ratio 0.1752, byte miss ratio 0.1752
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d cache size   192508, 6346130 req, miss ratio 0.0979, byte miss ratio 0.0979
result/tencentBlock.ns2252.oracleGeneral.zst S3FIFO-d cache size   385016, 6346130 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      481, 6346130 req, miss ratio 0.5354, byte miss ratio 0.5354
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1443, 6346130 req, miss ratio 0.3751, byte miss ratio 0.3751
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4812, 6346130 req, miss ratio 0.3585, byte miss ratio 0.3585
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14438, 6346130 req, miss ratio 0.2762, byte miss ratio 0.2762
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    48127, 6346130 req, miss ratio 0.2273, byte miss ratio 0.2273
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    96254, 6346130 req, miss ratio 0.1769, byte miss ratio 0.1769
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   192508, 6346130 req, miss ratio 0.1188, byte miss ratio 0.1188
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   385016, 6346130 req, miss ratio 0.0830, byte miss ratio 0.0830
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      481, 6346130 req, miss ratio 0.5292, byte miss ratio 0.5292
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1443, 6346130 req, miss ratio 0.3170, byte miss ratio 0.3170
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4812, 6346130 req, miss ratio 0.2796, byte miss ratio 0.2796
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14438, 6346130 req, miss ratio 0.3304, byte miss ratio 0.3304
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    48127, 6346130 req, miss ratio 0.2182, byte miss ratio 0.2182
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    96254, 6346130 req, miss ratio 0.1507, byte miss ratio 0.1507
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   192508, 6346130 req, miss ratio 0.0934, byte miss ratio 0.0934
result/tencentBlock.ns2252.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   385016, 6346130 req, miss ratio 0.0796, byte miss ratio 0.0796
