result/tencentBlock.ns2376.oracleGeneral.zst FIFO cache size     2256, 60202760 req, miss ratio 0.8076, byte miss ratio 0.8076
result/tencentBlock.ns2376.oracleGeneral.zst FIFO cache size     6769, 60202760 req, miss ratio 0.6912, byte miss ratio 0.6912
result/tencentBlock.ns2376.oracleGeneral.zst FIFO cache size    22564, 60202760 req, miss ratio 0.5797, byte miss ratio 0.5797
result/tencentBlock.ns2376.oracleGeneral.zst FIFO cache size    67692, 60202760 req, miss ratio 0.4669, byte miss ratio 0.4669
result/tencentBlock.ns2376.oracleGeneral.zst FIFO cache size   225640, 60202760 req, miss ratio 0.2538, byte miss ratio 0.2538
result/tencentBlock.ns2376.oracleGeneral.zst FIFO cache size   451280, 60202760 req, miss ratio 0.1543, byte miss ratio 0.1543
result/tencentBlock.ns2376.oracleGeneral.zst FIFO cache size   902560, 60202760 req, miss ratio 0.0792, byte miss ratio 0.0792
result/tencentBlock.ns2376.oracleGeneral.zst FIFO cache size  1805120, 60202760 req, miss ratio 0.0452, byte miss ratio 0.0452
result/tencentBlock.ns2376.oracleGeneral.zst Cacheus cache size     2256, 60202760 req, miss ratio 0.7816, byte miss ratio 0.7816
result/tencentBlock.ns2376.oracleGeneral.zst Cacheus cache size     6769, 60202760 req, miss ratio 0.6622, byte miss ratio 0.6622
result/tencentBlock.ns2376.oracleGeneral.zst Cacheus cache size    22564, 60202760 req, miss ratio 0.5458, byte miss ratio 0.5458
result/tencentBlock.ns2376.oracleGeneral.zst Cacheus cache size    67692, 60202760 req, miss ratio 0.4384, byte miss ratio 0.4384
result/tencentBlock.ns2376.oracleGeneral.zst Cacheus cache size   225640, 60202760 req, miss ratio 0.2163, byte miss ratio 0.2163
result/tencentBlock.ns2376.oracleGeneral.zst Cacheus cache size   451280, 60202760 req, miss ratio 0.1201, byte miss ratio 0.1201
result/tencentBlock.ns2376.oracleGeneral.zst Cacheus cache size   902560, 60202760 req, miss ratio 0.0547, byte miss ratio 0.0547
result/tencentBlock.ns2376.oracleGeneral.zst Cacheus cache size  1805120, 60202760 req, miss ratio 0.0381, byte miss ratio 0.0381
result/tencentBlock.ns2376.oracleGeneral.zst LRU cache size     2256, 60202760 req, miss ratio 0.7941, byte miss ratio 0.7941
result/tencentBlock.ns2376.oracleGeneral.zst LRU cache size     6769, 60202760 req, miss ratio 0.6705, byte miss ratio 0.6705
result/tencentBlock.ns2376.oracleGeneral.zst LRU cache size    22564, 60202760 req, miss ratio 0.5591, byte miss ratio 0.5591
result/tencentBlock.ns2376.oracleGeneral.zst LRU cache size    67692, 60202760 req, miss ratio 0.4438, byte miss ratio 0.4438
