result/tencentBlock.ns25663.oracleGeneral.zst Cacheus cache size      278, 1888496 req, miss ratio 0.5116, byte miss ratio 0.5116
result/tencentBlock.ns25663.oracleGeneral.zst Cacheus cache size      835, 1888496 req, miss ratio 0.4188, byte miss ratio 0.4188
result/tencentBlock.ns25663.oracleGeneral.zst Cacheus cache size     2784, 1888496 req, miss ratio 0.2913, byte miss ratio 0.2913
result/tencentBlock.ns25663.oracleGeneral.zst Cacheus cache size     8353, 1888496 req, miss ratio 0.2658, byte miss ratio 0.2658
result/tencentBlock.ns25663.oracleGeneral.zst Cacheus cache size    27843, 1888496 req, miss ratio 0.2177, byte miss ratio 0.2177
result/tencentBlock.ns25663.oracleGeneral.zst Cacheus cache size    55687, 1888496 req, miss ratio 0.1874, byte miss ratio 0.1874
result/tencentBlock.ns25663.oracleGeneral.zst Cacheus cache size   111374, 1888496 req, miss ratio 0.1619, byte miss ratio 0.1619
result/tencentBlock.ns25663.oracleGeneral.zst Cacheus cache size   222748, 1888496 req, miss ratio 0.1478, byte miss ratio 0.1478
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-1 cache size      278, 1888496 req, miss ratio 0.5189, byte miss ratio 0.5189
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-1 cache size      835, 1888496 req, miss ratio 0.4118, byte miss ratio 0.4118
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-1 cache size     2784, 1888496 req, miss ratio 0.2833, byte miss ratio 0.2833
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-1 cache size     8353, 1888496 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-1 cache size    27843, 1888496 req, miss ratio 0.2237, byte miss ratio 0.2237
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-1 cache size    55687, 1888496 req, miss ratio 0.1947, byte miss ratio 0.1947
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-1 cache size   111374, 1888496 req, miss ratio 0.1615, byte miss ratio 0.1615
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-1 cache size   222748, 1888496 req, miss ratio 0.1476, byte miss ratio 0.1476
