result/tencentBlock.ns5268.oracleGeneral.zst FIFO cache size      168, 4867334 req, miss ratio 0.5264, byte miss ratio 0.5264
result/tencentBlock.ns5268.oracleGeneral.zst FIFO cache size      505, 4867334 req, miss ratio 0.4002, byte miss ratio 0.4002
result/tencentBlock.ns5268.oracleGeneral.zst FIFO cache size     1685, 4867334 req, miss ratio 0.3335, byte miss ratio 0.3335
result/tencentBlock.ns5268.oracleGeneral.zst FIFO cache size     5056, 4867334 req, miss ratio 0.2791, byte miss ratio 0.2791
result/tencentBlock.ns5268.oracleGeneral.zst FIFO cache size    16854, 4867334 req, miss ratio 0.1756, byte miss ratio 0.1756
result/tencentBlock.ns5268.oracleGeneral.zst FIFO cache size    33709, 4867334 req, miss ratio 0.1426, byte miss ratio 0.1426
result/tencentBlock.ns5268.oracleGeneral.zst FIFO cache size    67418, 4867334 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns5268.oracleGeneral.zst FIFO cache size   134836, 4867334 req, miss ratio 0.0442, byte miss ratio 0.0442
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-1 cache size      168, 4867334 req, miss ratio 0.4277, byte miss ratio 0.4277
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-1 cache size      505, 4867334 req, miss ratio 0.3265, byte miss ratio 0.3265
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-1 cache size     1685, 4867334 req, miss ratio 0.2616, byte miss ratio 0.2616
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-1 cache size     5056, 4867334 req, miss ratio 0.1862, byte miss ratio 0.1862
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-1 cache size    16854, 4867334 req, miss ratio 0.1328, byte miss ratio 0.1328
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-1 cache size    33709, 4867334 req, miss ratio 0.1173, byte miss ratio 0.1173
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-1 cache size    67418, 4867334 req, miss ratio 0.0778, byte miss ratio 0.0778
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-1 cache size   134836, 4867334 req, miss ratio 0.0355, byte miss ratio 0.0355
result/tencentBlock.ns5268.oracleGeneral.zst ARC cache size      168, 4867334 req, miss ratio 0.4362, byte miss ratio 0.4362
result/tencentBlock.ns5268.oracleGeneral.zst ARC cache size      505, 4867334 req, miss ratio 0.3252, byte miss ratio 0.3252
result/tencentBlock.ns5268.oracleGeneral.zst ARC cache size     1685, 4867334 req, miss ratio 0.2620, byte miss ratio 0.2620
result/tencentBlock.ns5268.oracleGeneral.zst ARC cache size     5056, 4867334 req, miss ratio 0.1846, byte miss ratio 0.1846
result/tencentBlock.ns5268.oracleGeneral.zst ARC cache size    16854, 4867334 req, miss ratio 0.1327, byte miss ratio 0.1327
result/tencentBlock.ns5268.oracleGeneral.zst ARC cache size    33709, 4867334 req, miss ratio 0.1210, byte miss ratio 0.1210
result/tencentBlock.ns5268.oracleGeneral.zst ARC cache size    67418, 4867334 req, miss ratio 0.0733, byte miss ratio 0.0733
result/tencentBlock.ns5268.oracleGeneral.zst ARC cache size   134836, 4867334 req, miss ratio 0.0355, byte miss ratio 0.0355
result/tencentBlock.ns5268.oracleGeneral.zst clock2 cache size      168, 4867334 req, miss ratio 0.4837, byte miss ratio 0.4837
result/tencentBlock.ns5268.oracleGeneral.zst clock2 cache size      505, 4867334 req, miss ratio 0.3610, byte miss ratio 0.3610
result/tencentBlock.ns5268.oracleGeneral.zst clock2 cache size     1685, 4867334 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tencentBlock.ns5268.oracleGeneral.zst clock2 cache size     5056, 4867334 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns5268.oracleGeneral.zst clock2 cache size    16854, 4867334 req, miss ratio 0.1428, byte miss ratio 0.1428
result/tencentBlock.ns5268.oracleGeneral.zst clock2 cache size    33709, 4867334 req, miss ratio 0.1209, byte miss ratio 0.1209
result/tencentBlock.ns5268.oracleGeneral.zst clock2 cache size    67418, 4867334 req, miss ratio 0.0909, byte miss ratio 0.0909
result/tencentBlock.ns5268.oracleGeneral.zst clock2 cache size   134836, 4867334 req, miss ratio 0.0356, byte miss ratio 0.0356
result/tencentBlock.ns5268.oracleGeneral.zst Clock cache size      168, 4867334 req, miss ratio 0.4860, byte miss ratio 0.4860
result/tencentBlock.ns5268.oracleGeneral.zst Clock cache size      505, 4867334 req, miss ratio 0.3686, byte miss ratio 0.3686
result/tencentBlock.ns5268.oracleGeneral.zst Clock cache size     1685, 4867334 req, miss ratio 0.3062, byte miss ratio 0.3062
result/tencentBlock.ns5268.oracleGeneral.zst Clock cache size     5056, 4867334 req, miss ratio 0.2509, byte miss ratio 0.2509
result/tencentBlock.ns5268.oracleGeneral.zst Clock cache size    16854, 4867334 req, miss ratio 0.1440, byte miss ratio 0.1440
result/tencentBlock.ns5268.oracleGeneral.zst Clock cache size    33709, 4867334 req, miss ratio 0.1225, byte miss ratio 0.1225
result/tencentBlock.ns5268.oracleGeneral.zst Clock cache size    67418, 4867334 req, miss ratio 0.0858, byte miss ratio 0.0858
result/tencentBlock.ns5268.oracleGeneral.zst Clock cache size   134836, 4867334 req, miss ratio 0.0355, byte miss ratio 0.0355
