result/tencentBlock.ns5473.oracleGeneral.zst LIRS cache size     5003, 37307337 req, miss ratio 0.4737, byte miss ratio 0.4737
result/tencentBlock.ns5473.oracleGeneral.zst LIRS cache size    15011, 37307337 req, miss ratio 0.4124, byte miss ratio 0.4124
result/tencentBlock.ns5473.oracleGeneral.zst LIRS cache size    50038, 37307337 req, miss ratio 0.2611, byte miss ratio 0.2611
result/tencentBlock.ns5473.oracleGeneral.zst LIRS cache size   150114, 37307337 req, miss ratio 0.2123, byte miss ratio 0.2123
result/tencentBlock.ns5473.oracleGeneral.zst LIRS cache size   500382, 37307337 req, miss ratio 0.1824, byte miss ratio 0.1824
result/tencentBlock.ns5473.oracleGeneral.zst LIRS cache size  1000765, 37307337 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns5473.oracleGeneral.zst LIRS cache size  2001530, 37307337 req, miss ratio 0.1485, byte miss ratio 0.1485
result/tencentBlock.ns5473.oracleGeneral.zst LIRS cache size  4003061, 37307337 req, miss ratio 0.1360, byte miss ratio 0.1360
result/tencentBlock.ns5473.oracleGeneral.zst clock2 cache size     5003, 37307337 req, miss ratio 0.4691, byte miss ratio 0.4691
result/tencentBlock.ns5473.oracleGeneral.zst clock2 cache size    15011, 37307337 req, miss ratio 0.4184, byte miss ratio 0.4184
result/tencentBlock.ns5473.oracleGeneral.zst clock2 cache size    50038, 37307337 req, miss ratio 0.3068, byte miss ratio 0.3068
result/tencentBlock.ns5473.oracleGeneral.zst clock2 cache size   150114, 37307337 req, miss ratio 0.2087, byte miss ratio 0.2087
result/tencentBlock.ns5473.oracleGeneral.zst clock2 cache size   500382, 37307337 req, miss ratio 0.1902, byte miss ratio 0.1902
result/tencentBlock.ns5473.oracleGeneral.zst clock2 cache size  1000765, 37307337 req, miss ratio 0.1618, byte miss ratio 0.1618
result/tencentBlock.ns5473.oracleGeneral.zst clock2 cache size  2001530, 37307337 req, miss ratio 0.1410, byte miss ratio 0.1410
result/tencentBlock.ns5473.oracleGeneral.zst clock2 cache size  4003061, 37307337 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns5473.oracleGeneral.zst FIFO cache size     5003, 37307337 req, miss ratio 0.4974, byte miss ratio 0.4974
result/tencentBlock.ns5473.oracleGeneral.zst FIFO cache size    15011, 37307337 req, miss ratio 0.4325, byte miss ratio 0.4325
result/tencentBlock.ns5473.oracleGeneral.zst FIFO cache size    50038, 37307337 req, miss ratio 0.3375, byte miss ratio 0.3375
result/tencentBlock.ns5473.oracleGeneral.zst FIFO cache size   150114, 37307337 req, miss ratio 0.2548, byte miss ratio 0.2548
result/tencentBlock.ns5473.oracleGeneral.zst FIFO cache size   500382, 37307337 req, miss ratio 0.2060, byte miss ratio 0.2060
result/tencentBlock.ns5473.oracleGeneral.zst FIFO cache size  1000765, 37307337 req, miss ratio 0.1658, byte miss ratio 0.1658
result/tencentBlock.ns5473.oracleGeneral.zst FIFO cache size  2001530, 37307337 req, miss ratio 0.1420, byte miss ratio 0.1420
result/tencentBlock.ns5473.oracleGeneral.zst FIFO cache size  4003061, 37307337 req, miss ratio 0.1356, byte miss ratio 0.1356
result/tencentBlock.ns5473.oracleGeneral.zst Cacheus cache size     5003, 37307337 req, miss ratio 0.4601, byte miss ratio 0.4601
result/tencentBlock.ns5473.oracleGeneral.zst Cacheus cache size    15011, 37307337 req, miss ratio 0.4079, byte miss ratio 0.4079
result/tencentBlock.ns5473.oracleGeneral.zst Cacheus cache size    50038, 37307337 req, miss ratio 0.2816, byte miss ratio 0.2816
result/tencentBlock.ns5473.oracleGeneral.zst Cacheus cache size   150114, 37307337 req, miss ratio 0.2114, byte miss ratio 0.2114
result/tencentBlock.ns5473.oracleGeneral.zst Cacheus cache size   500382, 37307337 req, miss ratio 0.2207, byte miss ratio 0.2207
result/tencentBlock.ns5473.oracleGeneral.zst Cacheus cache size  1000765, 37307337 req, miss ratio 0.1575, byte miss ratio 0.1575
result/tencentBlock.ns5473.oracleGeneral.zst Cacheus cache size  2001530, 37307337 req, miss ratio 0.1429, byte miss ratio 0.1429
result/tencentBlock.ns5473.oracleGeneral.zst Cacheus cache size  4003061, 37307337 req, miss ratio 0.1343, byte miss ratio 0.1343
