result/tencentBlock.ns5732.oracleGeneral.zst clock2 cache size     4063, 9980890 req, miss ratio 0.9950, byte miss ratio 0.9950
result/tencentBlock.ns5732.oracleGeneral.zst clock2 cache size    12189, 9980890 req, miss ratio 0.9933, byte miss ratio 0.9933
result/tencentBlock.ns5732.oracleGeneral.zst clock2 cache size    40631, 9980890 req, miss ratio 0.9686, byte miss ratio 0.9686
result/tencentBlock.ns5732.oracleGeneral.zst clock2 cache size   121895, 9980890 req, miss ratio 0.8387, byte miss ratio 0.8387
result/tencentBlock.ns5732.oracleGeneral.zst clock2 cache size   406319, 9980890 req, miss ratio 0.6448, byte miss ratio 0.6448
result/tencentBlock.ns5732.oracleGeneral.zst clock2 cache size   812638, 9980890 req, miss ratio 0.5730, byte miss ratio 0.5730
result/tencentBlock.ns5732.oracleGeneral.zst clock2 cache size  1625277, 9980890 req, miss ratio 0.5153, byte miss ratio 0.5153
result/tencentBlock.ns5732.oracleGeneral.zst clock2 cache size  3250554, 9980890 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns5732.oracleGeneral.zst Clock cache size     4063, 9980890 req, miss ratio 0.9950, byte miss ratio 0.9950
result/tencentBlock.ns5732.oracleGeneral.zst Clock cache size    12189, 9980890 req, miss ratio 0.9933, byte miss ratio 0.9933
result/tencentBlock.ns5732.oracleGeneral.zst Clock cache size    40631, 9980890 req, miss ratio 0.9688, byte miss ratio 0.9688
result/tencentBlock.ns5732.oracleGeneral.zst Clock cache size   121895, 9980890 req, miss ratio 0.8390, byte miss ratio 0.8390
result/tencentBlock.ns5732.oracleGeneral.zst Clock cache size   406319, 9980890 req, miss ratio 0.6399, byte miss ratio 0.6399
result/tencentBlock.ns5732.oracleGeneral.zst Clock cache size   812638, 9980890 req, miss ratio 0.5727, byte miss ratio 0.5727
result/tencentBlock.ns5732.oracleGeneral.zst Clock cache size  1625277, 9980890 req, miss ratio 0.5142, byte miss ratio 0.5142
result/tencentBlock.ns5732.oracleGeneral.zst Clock cache size  3250554, 9980890 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns5732.oracleGeneral.zst ARC cache size     4063, 9980890 req, miss ratio 0.9935, byte miss ratio 0.9935
result/tencentBlock.ns5732.oracleGeneral.zst ARC cache size    12189, 9980890 req, miss ratio 0.9911, byte miss ratio 0.9911
result/tencentBlock.ns5732.oracleGeneral.zst ARC cache size    40631, 9980890 req, miss ratio 0.9653, byte miss ratio 0.9653
result/tencentBlock.ns5732.oracleGeneral.zst ARC cache size   121895, 9980890 req, miss ratio 0.8466, byte miss ratio 0.8466
result/tencentBlock.ns5732.oracleGeneral.zst ARC cache size   406319, 9980890 req, miss ratio 0.6494, byte miss ratio 0.6494
result/tencentBlock.ns5732.oracleGeneral.zst ARC cache size   812638, 9980890 req, miss ratio 0.5818, byte miss ratio 0.5818
result/tencentBlock.ns5732.oracleGeneral.zst ARC cache size  1625277, 9980890 req, miss ratio 0.5120, byte miss ratio 0.5120
result/tencentBlock.ns5732.oracleGeneral.zst ARC cache size  3250554, 9980890 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns5732.oracleGeneral.zst LIRS cache size     4063, 9980890 req, miss ratio 0.9932, byte miss ratio 0.9932
result/tencentBlock.ns5732.oracleGeneral.zst LIRS cache size    12189, 9980890 req, miss ratio 0.9867, byte miss ratio 0.9867
result/tencentBlock.ns5732.oracleGeneral.zst LIRS cache size    40631, 9980890 req, miss ratio 0.9562, byte miss ratio 0.9562
result/tencentBlock.ns5732.oracleGeneral.zst LIRS cache size   121895, 9980890 req, miss ratio 0.8878, byte miss ratio 0.8878
result/tencentBlock.ns5732.oracleGeneral.zst LIRS cache size   406319, 9980890 req, miss ratio 0.7680, byte miss ratio 0.7680
result/tencentBlock.ns5732.oracleGeneral.zst LIRS cache size   812638, 9980890 req, miss ratio 0.6997, byte miss ratio 0.6997
result/tencentBlock.ns5732.oracleGeneral.zst LIRS cache size  1625277, 9980890 req, miss ratio 0.5903, byte miss ratio 0.5903
result/tencentBlock.ns5732.oracleGeneral.zst LIRS cache size  3250554, 9980890 req, miss ratio 0.4333, byte miss ratio 0.4333
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-1 cache size     4063, 9980890 req, miss ratio 0.9933, byte miss ratio 0.9933
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-1 cache size    12189, 9980890 req, miss ratio 0.9902, byte miss ratio 0.9902
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-1 cache size    40631, 9980890 req, miss ratio 0.9588, byte miss ratio 0.9588
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-1 cache size   121895, 9980890 req, miss ratio 0.8879, byte miss ratio 0.8879
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-1 cache size   406319, 9980890 req, miss ratio 0.7409, byte miss ratio 0.7409
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-1 cache size   812638, 9980890 req, miss ratio 0.6295, byte miss ratio 0.6295
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-1 cache size  1625277, 9980890 req, miss ratio 0.5126, byte miss ratio 0.5126
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-1 cache size  3250554, 9980890 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns5732.oracleGeneral.zst LRU cache size     4063, 9980890 req, miss ratio 0.9950, byte miss ratio 0.9950
result/tencentBlock.ns5732.oracleGeneral.zst LRU cache size    12189, 9980890 req, miss ratio 0.9934, byte miss ratio 0.9934
