result/tencentBlock.ns6814.oracleGeneral.zst LRU cache size     2246, 56981299 req, miss ratio 0.7821, byte miss ratio 0.7821
result/tencentBlock.ns6814.oracleGeneral.zst LRU cache size     6739, 56981299 req, miss ratio 0.6575, byte miss ratio 0.6575
result/tencentBlock.ns6814.oracleGeneral.zst LRU cache size    22463, 56981299 req, miss ratio 0.5512, byte miss ratio 0.5512
result/tencentBlock.ns6814.oracleGeneral.zst LRU cache size    67390, 56981299 req, miss ratio 0.4348, byte miss ratio 0.4348
result/tencentBlock.ns6814.oracleGeneral.zst LRU cache size   224635, 56981299 req, miss ratio 0.2130, byte miss ratio 0.2130
result/tencentBlock.ns6814.oracleGeneral.zst LRU cache size   449271, 56981299 req, miss ratio 0.1252, byte miss ratio 0.1252
result/tencentBlock.ns6814.oracleGeneral.zst LRU cache size   898542, 56981299 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns6814.oracleGeneral.zst LRU cache size  1797084, 56981299 req, miss ratio 0.0398, byte miss ratio 0.0398
result/tencentBlock.ns6814.oracleGeneral.zst LIRS cache size     2246, 56981299 req, miss ratio 0.7891, byte miss ratio 0.7891
result/tencentBlock.ns6814.oracleGeneral.zst LIRS cache size     6739, 56981299 req, miss ratio 0.7058, byte miss ratio 0.7058
result/tencentBlock.ns6814.oracleGeneral.zst LIRS cache size    22463, 56981299 req, miss ratio 0.5970, byte miss ratio 0.5970
result/tencentBlock.ns6814.oracleGeneral.zst LIRS cache size    67390, 56981299 req, miss ratio 0.4492, byte miss ratio 0.4492
result/tencentBlock.ns6814.oracleGeneral.zst LIRS cache size   224635, 56981299 req, miss ratio 0.2317, byte miss ratio 0.2317
result/tencentBlock.ns6814.oracleGeneral.zst LIRS cache size   449271, 56981299 req, miss ratio 0.1454, byte miss ratio 0.1454
result/tencentBlock.ns6814.oracleGeneral.zst LIRS cache size   898542, 56981299 req, miss ratio 0.0581, byte miss ratio 0.0581
result/tencentBlock.ns6814.oracleGeneral.zst LIRS cache size  1797084, 56981299 req, miss ratio 0.0404, byte miss ratio 0.0404
result/tencentBlock.ns6814.oracleGeneral.zst ARC cache size     2246, 56981299 req, miss ratio 0.7706, byte miss ratio 0.7706
result/tencentBlock.ns6814.oracleGeneral.zst ARC cache size     6739, 56981299 req, miss ratio 0.6514, byte miss ratio 0.6514
result/tencentBlock.ns6814.oracleGeneral.zst ARC cache size    22463, 56981299 req, miss ratio 0.5467, byte miss ratio 0.5467
result/tencentBlock.ns6814.oracleGeneral.zst ARC cache size    67390, 56981299 req, miss ratio 0.4282, byte miss ratio 0.4282
result/tencentBlock.ns6814.oracleGeneral.zst ARC cache size   224635, 56981299 req, miss ratio 0.2250, byte miss ratio 0.2250
result/tencentBlock.ns6814.oracleGeneral.zst ARC cache size   449271, 56981299 req, miss ratio 0.1376, byte miss ratio 0.1376
result/tencentBlock.ns6814.oracleGeneral.zst ARC cache size   898542, 56981299 req, miss ratio 0.0547, byte miss ratio 0.0547
result/tencentBlock.ns6814.oracleGeneral.zst ARC cache size  1797084, 56981299 req, miss ratio 0.0402, byte miss ratio 0.0402
result/tencentBlock.ns6814.oracleGeneral.zst clock2 cache size     2246, 56981299 req, miss ratio 0.7766, byte miss ratio 0.7766
result/tencentBlock.ns6814.oracleGeneral.zst clock2 cache size     6739, 56981299 req, miss ratio 0.6551, byte miss ratio 0.6551
result/tencentBlock.ns6814.oracleGeneral.zst clock2 cache size    22463, 56981299 req, miss ratio 0.5421, byte miss ratio 0.5421
result/tencentBlock.ns6814.oracleGeneral.zst clock2 cache size    67390, 56981299 req, miss ratio 0.4296, byte miss ratio 0.4296
result/tencentBlock.ns6814.oracleGeneral.zst clock2 cache size   224635, 56981299 req, miss ratio 0.2151, byte miss ratio 0.2151
result/tencentBlock.ns6814.oracleGeneral.zst clock2 cache size   449271, 56981299 req, miss ratio 0.1234, byte miss ratio 0.1234
result/tencentBlock.ns6814.oracleGeneral.zst clock2 cache size   898542, 56981299 req, miss ratio 0.0565, byte miss ratio 0.0565
result/tencentBlock.ns6814.oracleGeneral.zst clock2 cache size  1797084, 56981299 req, miss ratio 0.0402, byte miss ratio 0.0402
result/tencentBlock.ns6814.oracleGeneral.zst LHD cache size     2246, 56981299 req, miss ratio 0.7727, byte miss ratio 0.7727
result/tencentBlock.ns6814.oracleGeneral.zst LHD cache size     6739, 56981299 req, miss ratio 0.6490, byte miss ratio 0.6490
result/tencentBlock.ns6814.oracleGeneral.zst LHD cache size    22463, 56981299 req, miss ratio 0.5308, byte miss ratio 0.5308
result/tencentBlock.ns6814.oracleGeneral.zst LHD cache size    67390, 56981299 req, miss ratio 0.4099, byte miss ratio 0.4099
result/tencentBlock.ns6814.oracleGeneral.zst LHD cache size   224635, 56981299 req, miss ratio 0.2094, byte miss ratio 0.2094
result/tencentBlock.ns6814.oracleGeneral.zst LHD cache size   449271, 56981299 req, miss ratio 0.1203, byte miss ratio 0.1203
result/tencentBlock.ns6814.oracleGeneral.zst LHD cache size   898542, 56981299 req, miss ratio 0.0575, byte miss ratio 0.0575
result/tencentBlock.ns6814.oracleGeneral.zst LHD cache size  1797084, 56981299 req, miss ratio 0.0405, byte miss ratio 0.0405
result/tencentBlock.ns6814.oracleGeneral.zst FIFO cache size     2246, 56981299 req, miss ratio 0.7960, byte miss ratio 0.7960
result/tencentBlock.ns6814.oracleGeneral.zst FIFO cache size     6739, 56981299 req, miss ratio 0.6787, byte miss ratio 0.6787
result/tencentBlock.ns6814.oracleGeneral.zst FIFO cache size    22463, 56981299 req, miss ratio 0.5722, byte miss ratio 0.5722
result/tencentBlock.ns6814.oracleGeneral.zst FIFO cache size    67390, 56981299 req, miss ratio 0.4586, byte miss ratio 0.4586
result/tencentBlock.ns6814.oracleGeneral.zst FIFO cache size   224635, 56981299 req, miss ratio 0.2495, byte miss ratio 0.2495
result/tencentBlock.ns6814.oracleGeneral.zst FIFO cache size   449271, 56981299 req, miss ratio 0.1565, byte miss ratio 0.1565
result/tencentBlock.ns6814.oracleGeneral.zst FIFO cache size   898542, 56981299 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns6814.oracleGeneral.zst FIFO cache size  1797084, 56981299 req, miss ratio 0.0472, byte miss ratio 0.0472
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-1 cache size     2246, 56981299 req, miss ratio 0.7790, byte miss ratio 0.7790
