result/tencentBlock.ns9951.oracleGeneral.zst LeCaR cache size      698, 4043845 req, miss ratio 0.3165, byte miss ratio 0.3165
result/tencentBlock.ns9951.oracleGeneral.zst LeCaR cache size     2094, 4043845 req, miss ratio 0.3134, byte miss ratio 0.3134
result/tencentBlock.ns9951.oracleGeneral.zst LeCaR cache size     6980, 4043845 req, miss ratio 0.3114, byte miss ratio 0.3114
result/tencentBlock.ns9951.oracleGeneral.zst LeCaR cache size    20940, 4043845 req, miss ratio 0.3093, byte miss ratio 0.3093
result/tencentBlock.ns9951.oracleGeneral.zst LeCaR cache size    69800, 4043845 req, miss ratio 0.2670, byte miss ratio 0.2670
result/tencentBlock.ns9951.oracleGeneral.zst LeCaR cache size   139601, 4043845 req, miss ratio 0.1847, byte miss ratio 0.1847
result/tencentBlock.ns9951.oracleGeneral.zst LeCaR cache size   279203, 4043845 req, miss ratio 0.1780, byte miss ratio 0.1780
result/tencentBlock.ns9951.oracleGeneral.zst LeCaR cache size   558406, 4043845 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns9951.oracleGeneral.zst LIRS cache size      698, 4043845 req, miss ratio 0.3186, byte miss ratio 0.3186
result/tencentBlock.ns9951.oracleGeneral.zst LIRS cache size     2094, 4043845 req, miss ratio 0.3130, byte miss ratio 0.3130
result/tencentBlock.ns9951.oracleGeneral.zst LIRS cache size     6980, 4043845 req, miss ratio 0.3106, byte miss ratio 0.3106
result/tencentBlock.ns9951.oracleGeneral.zst LIRS cache size    20940, 4043845 req, miss ratio 0.2949, byte miss ratio 0.2949
result/tencentBlock.ns9951.oracleGeneral.zst LIRS cache size    69800, 4043845 req, miss ratio 0.2493, byte miss ratio 0.2493
result/tencentBlock.ns9951.oracleGeneral.zst LIRS cache size   139601, 4043845 req, miss ratio 0.1834, byte miss ratio 0.1834
result/tencentBlock.ns9951.oracleGeneral.zst LIRS cache size   279203, 4043845 req, miss ratio 0.1770, byte miss ratio 0.1770
result/tencentBlock.ns9951.oracleGeneral.zst LIRS cache size   558406, 4043845 req, miss ratio 0.1730, byte miss ratio 0.1730
result/tencentBlock.ns9951.oracleGeneral.zst LHD cache size      698, 4043845 req, miss ratio 0.3168, byte miss ratio 0.3168
result/tencentBlock.ns9951.oracleGeneral.zst LHD cache size     2094, 4043845 req, miss ratio 0.3132, byte miss ratio 0.3132
result/tencentBlock.ns9951.oracleGeneral.zst LHD cache size     6980, 4043845 req, miss ratio 0.3089, byte miss ratio 0.3089
result/tencentBlock.ns9951.oracleGeneral.zst LHD cache size    20940, 4043845 req, miss ratio 0.3005, byte miss ratio 0.3005
result/tencentBlock.ns9951.oracleGeneral.zst LHD cache size    69800, 4043845 req, miss ratio 0.2387, byte miss ratio 0.2387
