result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRU cache size      922, 171305316 req, miss ratio 0.3250, byte miss ratio 0.3250
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRU cache size     2768, 171305316 req, miss ratio 0.2479, byte miss ratio 0.2479
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRU cache size     9229, 171305316 req, miss ratio 0.1369, byte miss ratio 0.1369
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRU cache size    27688, 171305316 req, miss ratio 0.0781, byte miss ratio 0.0781
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRU cache size    92294, 171305316 req, miss ratio 0.0375, byte miss ratio 0.0375
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRU cache size   184588, 171305316 req, miss ratio 0.0227, byte miss ratio 0.0227
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRU cache size   369177, 171305316 req, miss ratio 0.0112, byte miss ratio 0.0112
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst LRU cache size   738354, 171305316 req, miss ratio 0.0056, byte miss ratio 0.0056
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst clock2 cache size      922, 171305316 req, miss ratio 0.3228, byte miss ratio 0.3228
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst clock2 cache size     2768, 171305316 req, miss ratio 0.2523, byte miss ratio 0.2523
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst clock2 cache size     9229, 171305316 req, miss ratio 0.1374, byte miss ratio 0.1374
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst clock2 cache size    27688, 171305316 req, miss ratio 0.0781, byte miss ratio 0.0781
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst clock2 cache size    92294, 171305316 req, miss ratio 0.0373, byte miss ratio 0.0373
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst clock2 cache size   184588, 171305316 req, miss ratio 0.0226, byte miss ratio 0.0226
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst clock2 cache size   369177, 171305316 req, miss ratio 0.0109, byte miss ratio 0.0109
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst clock2 cache size   738354, 171305316 req, miss ratio 0.0057, byte miss ratio 0.0057
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst ARC cache size      922, 171305316 req, miss ratio 0.3250, byte miss ratio 0.3250
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst ARC cache size     2768, 171305316 req, miss ratio 0.2480, byte miss ratio 0.2480
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst ARC cache size     9229, 171305316 req, miss ratio 0.1369, byte miss ratio 0.1369
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst ARC cache size    27688, 171305316 req, miss ratio 0.0781, byte miss ratio 0.0781
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst ARC cache size    92294, 171305316 req, miss ratio 0.0375, byte miss ratio 0.0375
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst ARC cache size   184588, 171305316 req, miss ratio 0.0227, byte miss ratio 0.0227
