result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LHD cache size     9301, 302534839 req, miss ratio 0.1613, byte miss ratio 0.1613
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LHD cache size    27904, 302534839 req, miss ratio 0.1049, byte miss ratio 0.1049
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LHD cache size    93016, 302534839 req, miss ratio 0.0706, byte miss ratio 0.0706
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LHD cache size   279048, 302534839 req, miss ratio 0.0532, byte miss ratio 0.0532
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LHD cache size   930163, 302534839 req, miss ratio 0.0409, byte miss ratio 0.0409
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LHD cache size  1860326, 302534839 req, miss ratio 0.0383, byte miss ratio 0.0383
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LHD cache size  3720653, 302534839 req, miss ratio 0.0325, byte miss ratio 0.0325
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LHD cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst ARC cache size     9301, 302534839 req, miss ratio 0.1719, byte miss ratio 0.1719
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst ARC cache size    27904, 302534839 req, miss ratio 0.1153, byte miss ratio 0.1153
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst ARC cache size    93016, 302534839 req, miss ratio 0.0788, byte miss ratio 0.0788
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst ARC cache size   279048, 302534839 req, miss ratio 0.0581, byte miss ratio 0.0581
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst ARC cache size   930163, 302534839 req, miss ratio 0.0431, byte miss ratio 0.0431
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst ARC cache size  1860326, 302534839 req, miss ratio 0.0367, byte miss ratio 0.0367
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst ARC cache size  3720653, 302534839 req, miss ratio 0.0328, byte miss ratio 0.0328
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst ARC cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
