result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size      712, 257114254 req, miss ratio 0.2399, byte miss ratio 0.2399
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size     2138, 257114254 req, miss ratio 0.1100, byte miss ratio 0.1100
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size     7128, 257114254 req, miss ratio 0.0307, byte miss ratio 0.0307
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size    21386, 257114254 req, miss ratio 0.0078, byte miss ratio 0.0078
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size    71287, 257114254 req, miss ratio 0.0041, byte miss ratio 0.0041
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size   142575, 257114254 req, miss ratio 0.0035, byte miss ratio 0.0035
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size   285150, 257114254 req, miss ratio 0.0031, byte miss ratio 0.0031
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size      712, 257114254 req, miss ratio 0.2642, byte miss ratio 0.2642
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size     2138, 257114254 req, miss ratio 0.1284, byte miss ratio 0.1284
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size     7128, 257114254 req, miss ratio 0.0365, byte miss ratio 0.0365
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size    21386, 257114254 req, miss ratio 0.0090, byte miss ratio 0.0090
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size    71287, 257114254 req, miss ratio 0.0041, byte miss ratio 0.0041
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size   142575, 257114254 req, miss ratio 0.0034, byte miss ratio 0.0034
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size   285150, 257114254 req, miss ratio 0.0030, byte miss ratio 0.0030
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size      712, 257114254 req, miss ratio 0.2477, byte miss ratio 0.2477
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size     2138, 257114254 req, miss ratio 0.1166, byte miss ratio 0.1166
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size     7128, 257114254 req, miss ratio 0.0323, byte miss ratio 0.0323
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size    21386, 257114254 req, miss ratio 0.0079, byte miss ratio 0.0079
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size    71287, 257114254 req, miss ratio 0.0039, byte miss ratio 0.0039
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size   142575, 257114254 req, miss ratio 0.0033, byte miss ratio 0.0033
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size   285150, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size      712, 257114254 req, miss ratio 0.2588, byte miss ratio 0.2588
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size     2138, 257114254 req, miss ratio 0.1251, byte miss ratio 0.1251
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size     7128, 257114254 req, miss ratio 0.0352, byte miss ratio 0.0352
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size    21386, 257114254 req, miss ratio 0.0086, byte miss ratio 0.0086
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size    71287, 257114254 req, miss ratio 0.0040, byte miss ratio 0.0040
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size   142575, 257114254 req, miss ratio 0.0033, byte miss ratio 0.0033
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size   285150, 257114254 req, miss ratio 0.0030, byte miss ratio 0.0030
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size      712, 257114254 req, miss ratio 0.2355, byte miss ratio 0.2355
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     2138, 257114254 req, miss ratio 0.1077, byte miss ratio 0.1077
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     7128, 257114254 req, miss ratio 0.0303, byte miss ratio 0.0303
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    21386, 257114254 req, miss ratio 0.0073, byte miss ratio 0.0073
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    71287, 257114254 req, miss ratio 0.0037, byte miss ratio 0.0037
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   142575, 257114254 req, miss ratio 0.0032, byte miss ratio 0.0032
