result/strato_negative_result_cache.0.oracleGeneral.sample10.zst clock2 cache size     5645, 507257408 req, miss ratio 0.2745, byte miss ratio 0.2745
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst clock2 cache size    16935, 507257408 req, miss ratio 0.1833, byte miss ratio 0.1833
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst clock2 cache size    56450, 507257408 req, miss ratio 0.1060, byte miss ratio 0.1060
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst clock2 cache size   169350, 507257408 req, miss ratio 0.0599, byte miss ratio 0.0599
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst clock2 cache size   564500, 507257408 req, miss ratio 0.0308, byte miss ratio 0.0308
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst clock2 cache size  1129000, 507257408 req, miss ratio 0.0209, byte miss ratio 0.0209
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst clock2 cache size  2258000, 507257408 req, miss ratio 0.0145, byte miss ratio 0.0145
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst clock2 cache size  4516001, 507257408 req, miss ratio 0.0114, byte miss ratio 0.0114
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Clock cache size     5645, 507257408 req, miss ratio 0.2853, byte miss ratio 0.2853
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Clock cache size    16935, 507257408 req, miss ratio 0.1916, byte miss ratio 0.1916
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Clock cache size    56450, 507257408 req, miss ratio 0.1113, byte miss ratio 0.1113
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Clock cache size   169350, 507257408 req, miss ratio 0.0631, byte miss ratio 0.0631
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Clock cache size   564500, 507257408 req, miss ratio 0.0322, byte miss ratio 0.0322
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Clock cache size  1129000, 507257408 req, miss ratio 0.0221, byte miss ratio 0.0221
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Clock cache size  2258000, 507257408 req, miss ratio 0.0148, byte miss ratio 0.0148
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst Clock cache size  4516001, 507257408 req, miss ratio 0.0115, byte miss ratio 0.0115
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LIRS cache size     5645, 507257408 req, miss ratio 0.2636, byte miss ratio 0.2636
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LIRS cache size    16935, 507257408 req, miss ratio 0.1796, byte miss ratio 0.1796
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LIRS cache size    56450, 507257408 req, miss ratio 0.1054, byte miss ratio 0.1054
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LIRS cache size   169350, 507257408 req, miss ratio 0.0602, byte miss ratio 0.0602
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LIRS cache size   564500, 507257408 req, miss ratio 0.0317, byte miss ratio 0.0317
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LIRS cache size  1129000, 507257408 req, miss ratio 0.0216, byte miss ratio 0.0216
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LIRS cache size  2258000, 507257408 req, miss ratio 0.0144, byte miss ratio 0.0144
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LIRS cache size  4516001, 507257408 req, miss ratio 0.0113, byte miss ratio 0.0113
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LHD cache size     5645, 507257408 req, miss ratio 0.2499, byte miss ratio 0.2499
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LHD cache size    16935, 507257408 req, miss ratio 0.1669, byte miss ratio 0.1669
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LHD cache size    56450, 507257408 req, miss ratio 0.0976, byte miss ratio 0.0976
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LHD cache size   169350, 507257408 req, miss ratio 0.0555, byte miss ratio 0.0555
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LHD cache size   564500, 507257408 req, miss ratio 0.0306, byte miss ratio 0.0306
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LHD cache size  1129000, 507257408 req, miss ratio 0.0215, byte miss ratio 0.0215
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LHD cache size  2258000, 507257408 req, miss ratio 0.0143, byte miss ratio 0.0143
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LHD cache size  4516001, 507257408 req, miss ratio 0.0114, byte miss ratio 0.0114
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst ARC cache size     5645, 507257408 req, miss ratio 0.2628, byte miss ratio 0.2628
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst ARC cache size    16935, 507257408 req, miss ratio 0.1792, byte miss ratio 0.1792
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst ARC cache size    56450, 507257408 req, miss ratio 0.1062, byte miss ratio 0.1062
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst ARC cache size   169350, 507257408 req, miss ratio 0.0611, byte miss ratio 0.0611
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst ARC cache size   564500, 507257408 req, miss ratio 0.0322, byte miss ratio 0.0322
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst ARC cache size  1129000, 507257408 req, miss ratio 0.0224, byte miss ratio 0.0224
