result/w43.oracleGeneral.bin.zst ARC cache size     3722, 15617420 req, miss ratio 0.8309, byte miss ratio 0.8309
result/w43.oracleGeneral.bin.zst ARC cache size    11167, 15617420 req, miss ratio 0.8131, byte miss ratio 0.8131
result/w43.oracleGeneral.bin.zst ARC cache size    37225, 15617420 req, miss ratio 0.7560, byte miss ratio 0.7560
result/w43.oracleGeneral.bin.zst ARC cache size   111677, 15617420 req, miss ratio 0.6623, byte miss ratio 0.6623
result/w43.oracleGeneral.bin.zst ARC cache size   372258, 15617420 req, miss ratio 0.5709, byte miss ratio 0.5709
result/w43.oracleGeneral.bin.zst ARC cache size   744516, 15617420 req, miss ratio 0.4223, byte miss ratio 0.4223
result/w43.oracleGeneral.bin.zst ARC cache size  1489033, 15617420 req, miss ratio 0.2756, byte miss ratio 0.2756
result/w43.oracleGeneral.bin.zst ARC cache size  2978066, 15617420 req, miss ratio 0.2407, byte miss ratio 0.2407
result/w43.oracleGeneral.bin.zst Cacheus cache size     3722, 15617420 req, miss ratio 0.8306, byte miss ratio 0.8306
result/w43.oracleGeneral.bin.zst Cacheus cache size    11167, 15617420 req, miss ratio 0.8167, byte miss ratio 0.8167
result/w43.oracleGeneral.bin.zst Cacheus cache size    37225, 15617420 req, miss ratio 0.7728, byte miss ratio 0.7728
result/w43.oracleGeneral.bin.zst Cacheus cache size   111677, 15617420 req, miss ratio 0.6983, byte miss ratio 0.6983
result/w43.oracleGeneral.bin.zst Cacheus cache size   372258, 15617420 req, miss ratio 0.5882, byte miss ratio 0.5882
result/w43.oracleGeneral.bin.zst Cacheus cache size   744516, 15617420 req, miss ratio 0.3932, byte miss ratio 0.3932
result/w43.oracleGeneral.bin.zst Cacheus cache size  1489033, 15617420 req, miss ratio 0.2844, byte miss ratio 0.2844
result/w43.oracleGeneral.bin.zst Cacheus cache size  2978066, 15617420 req, miss ratio 0.2400, byte miss ratio 0.2400
result/w43.oracleGeneral.bin.zst LeCaR cache size     3722, 15617420 req, miss ratio 0.8413, byte miss ratio 0.8413
result/w43.oracleGeneral.bin.zst LeCaR cache size    11167, 15617420 req, miss ratio 0.8244, byte miss ratio 0.8244
result/w43.oracleGeneral.bin.zst LeCaR cache size    37225, 15617420 req, miss ratio 0.8020, byte miss ratio 0.8020
result/w43.oracleGeneral.bin.zst LeCaR cache size   111677, 15617420 req, miss ratio 0.7435, byte miss ratio 0.7435
result/w43.oracleGeneral.bin.zst LeCaR cache size   372258, 15617420 req, miss ratio 0.6368, byte miss ratio 0.6368
result/w43.oracleGeneral.bin.zst LeCaR cache size   744516, 15617420 req, miss ratio 0.4450, byte miss ratio 0.4450
result/w43.oracleGeneral.bin.zst LeCaR cache size  1489033, 15617420 req, miss ratio 0.2850, byte miss ratio 0.2850
result/w43.oracleGeneral.bin.zst LeCaR cache size  2978066, 15617420 req, miss ratio 0.2409, byte miss ratio 0.2409
result/w43.oracleGeneral.bin.zst LRU cache size     3722, 15617420 req, miss ratio 0.8438, byte miss ratio 0.8438
result/w43.oracleGeneral.bin.zst LRU cache size    11167, 15617420 req, miss ratio 0.8260, byte miss ratio 0.8260
result/w43.oracleGeneral.bin.zst LRU cache size    37225, 15617420 req, miss ratio 0.8027, byte miss ratio 0.8027
result/w43.oracleGeneral.bin.zst LRU cache size   111677, 15617420 req, miss ratio 0.7468, byte miss ratio 0.7468
result/w43.oracleGeneral.bin.zst LRU cache size   372258, 15617420 req, miss ratio 0.6420, byte miss ratio 0.6420
result/w43.oracleGeneral.bin.zst LRU cache size   744516, 15617420 req, miss ratio 0.4622, byte miss ratio 0.4622
result/w43.oracleGeneral.bin.zst LRU cache size  1489033, 15617420 req, miss ratio 0.2961, byte miss ratio 0.2961
result/w43.oracleGeneral.bin.zst LRU cache size  2978066, 15617420 req, miss ratio 0.2409, byte miss ratio 0.2409
result/w43.oracleGeneral.bin.zst Clock cache size     3722, 15617420 req, miss ratio 0.8427, byte miss ratio 0.8427
result/w43.oracleGeneral.bin.zst Clock cache size    11167, 15617420 req, miss ratio 0.8250, byte miss ratio 0.8250
result/w43.oracleGeneral.bin.zst Clock cache size    37225, 15617420 req, miss ratio 0.8019, byte miss ratio 0.8019
result/w43.oracleGeneral.bin.zst Clock cache size   111677, 15617420 req, miss ratio 0.7433, byte miss ratio 0.7433
result/w43.oracleGeneral.bin.zst Clock cache size   372258, 15617420 req, miss ratio 0.6388, byte miss ratio 0.6388
result/w43.oracleGeneral.bin.zst Clock cache size   744516, 15617420 req, miss ratio 0.4650, byte miss ratio 0.4650
result/w43.oracleGeneral.bin.zst Clock cache size  1489033, 15617420 req, miss ratio 0.2937, byte miss ratio 0.2937
result/w43.oracleGeneral.bin.zst Clock cache size  2978066, 15617420 req, miss ratio 0.2407, byte miss ratio 0.2407
result/w43.oracleGeneral.bin.zst S3FIFO-1 cache size     3722, 15617420 req, miss ratio 0.8325, byte miss ratio 0.8325
result/w43.oracleGeneral.bin.zst S3FIFO-1 cache size    11167, 15617420 req, miss ratio 0.8106, byte miss ratio 0.8106
result/w43.oracleGeneral.bin.zst S3FIFO-1 cache size    37225, 15617420 req, miss ratio 0.7449, byte miss ratio 0.7449
result/w43.oracleGeneral.bin.zst S3FIFO-1 cache size   111677, 15617420 req, miss ratio 0.6542, byte miss ratio 0.6542
result/w43.oracleGeneral.bin.zst S3FIFO-1 cache size   372258, 15617420 req, miss ratio 0.5701, byte miss ratio 0.5701
result/w43.oracleGeneral.bin.zst S3FIFO-1 cache size   744516, 15617420 req, miss ratio 0.4051, byte miss ratio 0.4051
result/w43.oracleGeneral.bin.zst S3FIFO-1 cache size  1489033, 15617420 req, miss ratio 0.2742, byte miss ratio 0.2742
result/w43.oracleGeneral.bin.zst S3FIFO-1 cache size  2978066, 15617420 req, miss ratio 0.2407, byte miss ratio 0.2407
result/w43.oracleGeneral.bin.zst LIRS cache size     3722, 15617420 req, miss ratio 0.8438, byte miss ratio 0.8438
result/w43.oracleGeneral.bin.zst LIRS cache size    11167, 15617420 req, miss ratio 0.8164, byte miss ratio 0.8164
result/w43.oracleGeneral.bin.zst LIRS cache size    37225, 15617420 req, miss ratio 0.7550, byte miss ratio 0.7550
result/w43.oracleGeneral.bin.zst LIRS cache size   111677, 15617420 req, miss ratio 0.6598, byte miss ratio 0.6598
result/w43.oracleGeneral.bin.zst LIRS cache size   372258, 15617420 req, miss ratio 0.5539, byte miss ratio 0.5539
result/w43.oracleGeneral.bin.zst LIRS cache size   744516, 15617420 req, miss ratio 0.3775, byte miss ratio 0.3775
result/w43.oracleGeneral.bin.zst LIRS cache size  1489033, 15617420 req, miss ratio 0.2983, byte miss ratio 0.2983
result/w43.oracleGeneral.bin.zst LIRS cache size  2978066, 15617420 req, miss ratio 0.2386, byte miss ratio 0.2386
result/w43.oracleGeneral.bin.zst clock2 cache size     3722, 15617420 req, miss ratio 0.8416, byte miss ratio 0.8416
result/w43.oracleGeneral.bin.zst clock2 cache size    11167, 15617420 req, miss ratio 0.8242, byte miss ratio 0.8242
result/w43.oracleGeneral.bin.zst clock2 cache size    37225, 15617420 req, miss ratio 0.8009, byte miss ratio 0.8009
result/w43.oracleGeneral.bin.zst clock2 cache size   111677, 15617420 req, miss ratio 0.7401, byte miss ratio 0.7401
result/w43.oracleGeneral.bin.zst clock2 cache size   372258, 15617420 req, miss ratio 0.6270, byte miss ratio 0.6270
result/w43.oracleGeneral.bin.zst clock2 cache size   744516, 15617420 req, miss ratio 0.4488, byte miss ratio 0.4488
