result/w58.oracleGeneral.bin.zst Clock cache size     1351, 10530695 req, miss ratio 0.6331, byte miss ratio 0.6331
result/w58.oracleGeneral.bin.zst Clock cache size     4054, 10530695 req, miss ratio 0.5554, byte miss ratio 0.5554
result/w58.oracleGeneral.bin.zst Clock cache size    13513, 10530695 req, miss ratio 0.5009, byte miss ratio 0.5009
result/w58.oracleGeneral.bin.zst Clock cache size    40540, 10530695 req, miss ratio 0.4519, byte miss ratio 0.4519
result/w58.oracleGeneral.bin.zst Clock cache size   135135, 10530695 req, miss ratio 0.3964, byte miss ratio 0.3964
result/w58.oracleGeneral.bin.zst Clock cache size   270270, 10530695 req, miss ratio 0.2610, byte miss ratio 0.2610
result/w58.oracleGeneral.bin.zst Clock cache size   540540, 10530695 req, miss ratio 0.1695, byte miss ratio 0.1695
result/w58.oracleGeneral.bin.zst Clock cache size  1081080, 10530695 req, miss ratio 0.1376, byte miss ratio 0.1376
result/w58.oracleGeneral.bin.zst LeCaR cache size     1351, 10530695 req, miss ratio 0.6253, byte miss ratio 0.6253
result/w58.oracleGeneral.bin.zst LeCaR cache size     4054, 10530695 req, miss ratio 0.5504, byte miss ratio 0.5504
result/w58.oracleGeneral.bin.zst LeCaR cache size    13513, 10530695 req, miss ratio 0.4947, byte miss ratio 0.4947
result/w58.oracleGeneral.bin.zst LeCaR cache size    40540, 10530695 req, miss ratio 0.4453, byte miss ratio 0.4453
result/w58.oracleGeneral.bin.zst LeCaR cache size   135135, 10530695 req, miss ratio 0.3894, byte miss ratio 0.3894
result/w58.oracleGeneral.bin.zst LeCaR cache size   270270, 10530695 req, miss ratio 0.2545, byte miss ratio 0.2545
result/w58.oracleGeneral.bin.zst LeCaR cache size   540540, 10530695 req, miss ratio 0.1676, byte miss ratio 0.1676
result/w58.oracleGeneral.bin.zst LeCaR cache size  1081080, 10530695 req, miss ratio 0.1393, byte miss ratio 0.1393
result/w58.oracleGeneral.bin.zst LIRS cache size     1351, 10530695 req, miss ratio 0.6091, byte miss ratio 0.6091
result/w58.oracleGeneral.bin.zst LIRS cache size     4054, 10530695 req, miss ratio 0.5497, byte miss ratio 0.5497
result/w58.oracleGeneral.bin.zst LIRS cache size    13513, 10530695 req, miss ratio 0.4866, byte miss ratio 0.4866
result/w58.oracleGeneral.bin.zst LIRS cache size    40540, 10530695 req, miss ratio 0.4127, byte miss ratio 0.4127
result/w58.oracleGeneral.bin.zst LIRS cache size   135135, 10530695 req, miss ratio 0.3001, byte miss ratio 0.3001
result/w58.oracleGeneral.bin.zst LIRS cache size   270270, 10530695 req, miss ratio 0.2244, byte miss ratio 0.2244
result/w58.oracleGeneral.bin.zst LIRS cache size   540540, 10530695 req, miss ratio 0.1471, byte miss ratio 0.1471
result/w58.oracleGeneral.bin.zst LIRS cache size  1081080, 10530695 req, miss ratio 0.1372, byte miss ratio 0.1372
result/w58.oracleGeneral.bin.zst ARC cache size     1351, 10530695 req, miss ratio 0.6066, byte miss ratio 0.6066
result/w58.oracleGeneral.bin.zst ARC cache size     4054, 10530695 req, miss ratio 0.5382, byte miss ratio 0.5382
result/w58.oracleGeneral.bin.zst ARC cache size    13513, 10530695 req, miss ratio 0.4814, byte miss ratio 0.4814
result/w58.oracleGeneral.bin.zst ARC cache size    40540, 10530695 req, miss ratio 0.4114, byte miss ratio 0.4114
result/w58.oracleGeneral.bin.zst ARC cache size   135135, 10530695 req, miss ratio 0.3568, byte miss ratio 0.3568
result/w58.oracleGeneral.bin.zst ARC cache size   270270, 10530695 req, miss ratio 0.2256, byte miss ratio 0.2256
result/w58.oracleGeneral.bin.zst ARC cache size   540540, 10530695 req, miss ratio 0.1557, byte miss ratio 0.1557
result/w58.oracleGeneral.bin.zst ARC cache size  1081080, 10530695 req, miss ratio 0.1376, byte miss ratio 0.1376
result/w58.oracleGeneral.bin.zst FIFO cache size     1351, 10530695 req, miss ratio 0.6595, byte miss ratio 0.6595
result/w58.oracleGeneral.bin.zst FIFO cache size     4054, 10530695 req, miss ratio 0.5802, byte miss ratio 0.5802
result/w58.oracleGeneral.bin.zst FIFO cache size    13513, 10530695 req, miss ratio 0.5176, byte miss ratio 0.5176
result/w58.oracleGeneral.bin.zst FIFO cache size    40540, 10530695 req, miss ratio 0.4691, byte miss ratio 0.4691
result/w58.oracleGeneral.bin.zst FIFO cache size   135135, 10530695 req, miss ratio 0.3949, byte miss ratio 0.3949
result/w58.oracleGeneral.bin.zst FIFO cache size   270270, 10530695 req, miss ratio 0.2586, byte miss ratio 0.2586
result/w58.oracleGeneral.bin.zst FIFO cache size   540540, 10530695 req, miss ratio 0.1801, byte miss ratio 0.1801
result/w58.oracleGeneral.bin.zst FIFO cache size  1081080, 10530695 req, miss ratio 0.1643, byte miss ratio 0.1643
result/w58.oracleGeneral.bin.zst S3FIFO-1 cache size     1351, 10530695 req, miss ratio 0.6029, byte miss ratio 0.6029
result/w58.oracleGeneral.bin.zst S3FIFO-1 cache size     4054, 10530695 req, miss ratio 0.5427, byte miss ratio 0.5427
result/w58.oracleGeneral.bin.zst S3FIFO-1 cache size    13513, 10530695 req, miss ratio 0.4711, byte miss ratio 0.4711
result/w58.oracleGeneral.bin.zst S3FIFO-1 cache size    40540, 10530695 req, miss ratio 0.4122, byte miss ratio 0.4122
result/w58.oracleGeneral.bin.zst S3FIFO-1 cache size   135135, 10530695 req, miss ratio 0.3325, byte miss ratio 0.3325
result/w58.oracleGeneral.bin.zst S3FIFO-1 cache size   270270, 10530695 req, miss ratio 0.2173, byte miss ratio 0.2173
result/w58.oracleGeneral.bin.zst S3FIFO-1 cache size   540540, 10530695 req, miss ratio 0.1555, byte miss ratio 0.1555
result/w58.oracleGeneral.bin.zst S3FIFO-1 cache size  1081080, 10530695 req, miss ratio 0.1376, byte miss ratio 0.1376
result/w58.oracleGeneral.bin.zst LRU cache size     1351, 10530695 req, miss ratio 0.6356, byte miss ratio 0.6356
result/w58.oracleGeneral.bin.zst LRU cache size     4054, 10530695 req, miss ratio 0.5578, byte miss ratio 0.5578
result/w58.oracleGeneral.bin.zst LRU cache size    13513, 10530695 req, miss ratio 0.5024, byte miss ratio 0.5024
result/w58.oracleGeneral.bin.zst LRU cache size    40540, 10530695 req, miss ratio 0.4567, byte miss ratio 0.4567
result/w58.oracleGeneral.bin.zst LRU cache size   135135, 10530695 req, miss ratio 0.3987, byte miss ratio 0.3987
result/w58.oracleGeneral.bin.zst LRU cache size   270270, 10530695 req, miss ratio 0.2585, byte miss ratio 0.2585
result/w58.oracleGeneral.bin.zst LRU cache size   540540, 10530695 req, miss ratio 0.1708, byte miss ratio 0.1708
result/w58.oracleGeneral.bin.zst LRU cache size  1081080, 10530695 req, miss ratio 0.1410, byte miss ratio 0.1410
result/w58.oracleGeneral.bin.zst LHD cache size     1351, 10530695 req, miss ratio 0.6237, byte miss ratio 0.6237
result/w58.oracleGeneral.bin.zst LHD cache size     4054, 10530695 req, miss ratio 0.5509, byte miss ratio 0.5509
result/w58.oracleGeneral.bin.zst LHD cache size    13513, 10530695 req, miss ratio 0.4874, byte miss ratio 0.4874
