result/w73.oracleGeneral.bin.zst Clock cache size      601, 6368815 req, miss ratio 0.7443, byte miss ratio 0.7443
result/w73.oracleGeneral.bin.zst Clock cache size     1803, 6368815 req, miss ratio 0.7236, byte miss ratio 0.7236
result/w73.oracleGeneral.bin.zst Clock cache size     6012, 6368815 req, miss ratio 0.6968, byte miss ratio 0.6968
result/w73.oracleGeneral.bin.zst Clock cache size    18036, 6368815 req, miss ratio 0.6446, byte miss ratio 0.6446
result/w73.oracleGeneral.bin.zst Clock cache size    60122, 6368815 req, miss ratio 0.4501, byte miss ratio 0.4501
result/w73.oracleGeneral.bin.zst Clock cache size   120245, 6368815 req, miss ratio 0.3149, byte miss ratio 0.3149
result/w73.oracleGeneral.bin.zst Clock cache size   240490, 6368815 req, miss ratio 0.1800, byte miss ratio 0.1800
result/w73.oracleGeneral.bin.zst Clock cache size   480981, 6368815 req, miss ratio 0.1045, byte miss ratio 0.1045
result/w73.oracleGeneral.bin.zst clock2 cache size      601, 6368815 req, miss ratio 0.7395, byte miss ratio 0.7395
result/w73.oracleGeneral.bin.zst clock2 cache size     1803, 6368815 req, miss ratio 0.7200, byte miss ratio 0.7200
result/w73.oracleGeneral.bin.zst clock2 cache size     6012, 6368815 req, miss ratio 0.6934, byte miss ratio 0.6934
result/w73.oracleGeneral.bin.zst clock2 cache size    18036, 6368815 req, miss ratio 0.6409, byte miss ratio 0.6409
result/w73.oracleGeneral.bin.zst clock2 cache size    60122, 6368815 req, miss ratio 0.4387, byte miss ratio 0.4387
result/w73.oracleGeneral.bin.zst clock2 cache size   120245, 6368815 req, miss ratio 0.2948, byte miss ratio 0.2948
result/w73.oracleGeneral.bin.zst clock2 cache size   240490, 6368815 req, miss ratio 0.1801, byte miss ratio 0.1801
result/w73.oracleGeneral.bin.zst clock2 cache size   480981, 6368815 req, miss ratio 0.0994, byte miss ratio 0.0994
result/w73.oracleGeneral.bin.zst LIRS cache size      601, 6368815 req, miss ratio 0.7215, byte miss ratio 0.7215
