result/w88.oracleGeneral.bin.zst clock2 cache size      418, 4711053 req, miss ratio 0.5225, byte miss ratio 0.5225
result/w88.oracleGeneral.bin.zst clock2 cache size     1254, 4711053 req, miss ratio 0.4361, byte miss ratio 0.4361
result/w88.oracleGeneral.bin.zst clock2 cache size     4180, 4711053 req, miss ratio 0.3524, byte miss ratio 0.3524
result/w88.oracleGeneral.bin.zst clock2 cache size    12540, 4711053 req, miss ratio 0.2789, byte miss ratio 0.2789
result/w88.oracleGeneral.bin.zst clock2 cache size    41802, 4711053 req, miss ratio 0.2289, byte miss ratio 0.2289
result/w88.oracleGeneral.bin.zst clock2 cache size    83605, 4711053 req, miss ratio 0.1878, byte miss ratio 0.1878
result/w88.oracleGeneral.bin.zst clock2 cache size   167210, 4711053 req, miss ratio 0.1453, byte miss ratio 0.1453
result/w88.oracleGeneral.bin.zst clock2 cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin.zst LHD cache size      418, 4711053 req, miss ratio 0.5157, byte miss ratio 0.5157
result/w88.oracleGeneral.bin.zst LHD cache size     1254, 4711053 req, miss ratio 0.4333, byte miss ratio 0.4333
result/w88.oracleGeneral.bin.zst LHD cache size     4180, 4711053 req, miss ratio 0.3460, byte miss ratio 0.3460
result/w88.oracleGeneral.bin.zst LHD cache size    12540, 4711053 req, miss ratio 0.2778, byte miss ratio 0.2778
result/w88.oracleGeneral.bin.zst LHD cache size    41802, 4711053 req, miss ratio 0.2295, byte miss ratio 0.2295
result/w88.oracleGeneral.bin.zst LHD cache size    83605, 4711053 req, miss ratio 0.1811, byte miss ratio 0.1811
result/w88.oracleGeneral.bin.zst LHD cache size   167210, 4711053 req, miss ratio 0.1305, byte miss ratio 0.1305
result/w88.oracleGeneral.bin.zst LHD cache size   334421, 4711053 req, miss ratio 0.0938, byte miss ratio 0.0938
result/w88.oracleGeneral.bin.zst Cacheus cache size      418, 4711053 req, miss ratio 0.5072, byte miss ratio 0.5072
result/w88.oracleGeneral.bin.zst Cacheus cache size     1254, 4711053 req, miss ratio 0.4207, byte miss ratio 0.4207
result/w88.oracleGeneral.bin.zst Cacheus cache size     4180, 4711053 req, miss ratio 0.3390, byte miss ratio 0.3390
result/w88.oracleGeneral.bin.zst Cacheus cache size    12540, 4711053 req, miss ratio 0.2847, byte miss ratio 0.2847
result/w88.oracleGeneral.bin.zst Cacheus cache size    41802, 4711053 req, miss ratio 0.2244, byte miss ratio 0.2244
result/w88.oracleGeneral.bin.zst Cacheus cache size    83605, 4711053 req, miss ratio 0.1854, byte miss ratio 0.1854
result/w88.oracleGeneral.bin.zst Cacheus cache size   167210, 4711053 req, miss ratio 0.1209, byte miss ratio 0.1209
result/w88.oracleGeneral.bin.zst Cacheus cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin.zst LIRS cache size      418, 4711053 req, miss ratio 0.5156, byte miss ratio 0.5156
result/w88.oracleGeneral.bin.zst LIRS cache size     1254, 4711053 req, miss ratio 0.4308, byte miss ratio 0.4308
result/w88.oracleGeneral.bin.zst LIRS cache size     4180, 4711053 req, miss ratio 0.3454, byte miss ratio 0.3454
result/w88.oracleGeneral.bin.zst LIRS cache size    12540, 4711053 req, miss ratio 0.2940, byte miss ratio 0.2940
result/w88.oracleGeneral.bin.zst LIRS cache size    41802, 4711053 req, miss ratio 0.2151, byte miss ratio 0.2151
result/w88.oracleGeneral.bin.zst LIRS cache size    83605, 4711053 req, miss ratio 0.1724, byte miss ratio 0.1724
result/w88.oracleGeneral.bin.zst LIRS cache size   167210, 4711053 req, miss ratio 0.1181, byte miss ratio 0.1181
result/w88.oracleGeneral.bin.zst LIRS cache size   334421, 4711053 req, miss ratio 0.0915, byte miss ratio 0.0915
result/w88.oracleGeneral.bin.zst Clock cache size      418, 4711053 req, miss ratio 0.5208, byte miss ratio 0.5208
result/w88.oracleGeneral.bin.zst Clock cache size     1254, 4711053 req, miss ratio 0.4379, byte miss ratio 0.4379
result/w88.oracleGeneral.bin.zst Clock cache size     4180, 4711053 req, miss ratio 0.3529, byte miss ratio 0.3529
result/w88.oracleGeneral.bin.zst Clock cache size    12540, 4711053 req, miss ratio 0.2820, byte miss ratio 0.2820
result/w88.oracleGeneral.bin.zst Clock cache size    41802, 4711053 req, miss ratio 0.2382, byte miss ratio 0.2382
result/w88.oracleGeneral.bin.zst Clock cache size    83605, 4711053 req, miss ratio 0.1886, byte miss ratio 0.1886
result/w88.oracleGeneral.bin.zst Clock cache size   167210, 4711053 req, miss ratio 0.1263, byte miss ratio 0.1263
result/w88.oracleGeneral.bin.zst Clock cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin.zst LRU cache size      418, 4711053 req, miss ratio 0.5197, byte miss ratio 0.5197
result/w88.oracleGeneral.bin.zst LRU cache size     1254, 4711053 req, miss ratio 0.4380, byte miss ratio 0.4380
result/w88.oracleGeneral.bin.zst LRU cache size     4180, 4711053 req, miss ratio 0.3527, byte miss ratio 0.3527
result/w88.oracleGeneral.bin.zst LRU cache size    12540, 4711053 req, miss ratio 0.2808, byte miss ratio 0.2808
result/w88.oracleGeneral.bin.zst LRU cache size    41802, 4711053 req, miss ratio 0.2467, byte miss ratio 0.2467
result/w88.oracleGeneral.bin.zst LRU cache size    83605, 4711053 req, miss ratio 0.1891, byte miss ratio 0.1891
result/w88.oracleGeneral.bin.zst LRU cache size   167210, 4711053 req, miss ratio 0.1223, byte miss ratio 0.1223
result/w88.oracleGeneral.bin.zst LRU cache size   334421, 4711053 req, miss ratio 0.0905, byte miss ratio 0.0905
result/w88.oracleGeneral.bin.zst ARC cache size      418, 4711053 req, miss ratio 0.5017, byte miss ratio 0.5017
